source_column,storage_type,source_class,parquet_type,variable_label,source_format,missing_values,missing_range,public,publication_note
copbend1,double,numeric,,POLICE ALLOWED TO BEND RULES (Q7E),F9.2,,,TRUE,Retained
copbend2,double,numeric,,POLICE ALLOWED TO BEND RULES (QQ7E),F9.2,,,TRUE,Retained
death1,double,numeric,,DEATH MOST APPROP. FOR SOME CRIMES (Q9),F9.2,,,TRUE,Retained
death2,double,numeric,,DEATH MOST APPROP. FOR SOME CRIMES (QQ9),F9.2,,,TRUE,Retained
legsoft1,double,numeric,,LEGALIZE SOFT DRUGS (Q5),F9.2,,,TRUE,Retained
legsoft2,double,numeric,,LEGALIZE SOFT DRUGS (QQ5),F9.2,,,TRUE,Retained
fewjury1,double,numeric,,FEWER JURY TRIALS (Q6A),F9.2,,,TRUE,Retained
fewjury2,double,numeric,,FEWER JURY TRIALS (QQ6A),F9.2,,,TRUE,Retained
ctrules1,double,numeric,,COURT RULES LESS ON SIDE ACCUSED (Q6C),F9.2,,,TRUE,Retained
ctrules2,double,numeric,,COURT RULES LESS ON SIDE ACCUSED (QQ6C),F9.2,,,TRUE,Retained
presum1,double,numeric,,END PRESUMPTION OF INNOCENCE (Q6D),F9.2,,,TRUE,Retained
presum2,double,numeric,,END PRESUMPTION OF INNOCENCE (QQ6D),F9.2,,,TRUE,Retained
confess1,double,numeric,,CONFESSIONS ALONE NOT CONVICT (Q6B),F9.2,,,TRUE,Retained
confess2,double,numeric,,CONFESSIONS ALONE NOT CONVICT (QQ6B),F9.2,,,TRUE,Retained
rtsil1,double,numeric,,RIGHT TO SILENCE (Q7A),F9.2,,,TRUE,Retained
rtsil2,double,numeric,,RIGHT TO SILENCE (QQ7A),F9.2,,,TRUE,Retained
mentsil1,double,numeric,,SILENCE MENTIONABLE IN COURT (Q7B),F9.2,,,TRUE,Retained
mentsil2,double,numeric,,SILENCE MENTIONABLE IN COURT (QQ7B),F9.2,,,TRUE,Retained
cb1warn1,double,numeric,,1ST-X CHILD BURGLAR: JUST WARN (Q13A),F9.2,,,TRUE,Retained
cb1warn2,double,numeric,,1ST-X CHILD BURGLAR: JUST WARN (QQ13A),F9.2,,,TRUE,Retained
cb1serv1,double,numeric,,1ST-X CHILD BURGLAR: COMM. SERV. (Q13B),F9.2,,,TRUE,Retained
cb1serv2,double,numeric,,1ST-X CHILD BURGLAR: COMM. SERV. (QQ13B),F9.2,,,TRUE,Retained
cb1inst1,double,numeric,,1ST-X CHILD BURGLAR: SPEC. INST. (Q13C),F9.2,,,TRUE,Retained
cb1inst2,double,numeric,,1ST-X CHILD BURGLAR: SPEC. INST. (QQ13C),F9.2,,,TRUE,Retained
cb1pris1,double,numeric,,1ST-X CHILD BURGLAR: ORD. PRISON (Q13D),F9.2,,,TRUE,Retained
cb1pris2,double,numeric,,1ST-X CHILD BURGLAR: ORD. PRISON (QQ13D),F9.2,,,TRUE,Retained
