legacy_field,definition_version,caseid,source_row,historical_value,approved_value
meanage,nic-08-v3,10000630,35,1943.2941176470588,43.294117647058826
mode,nic-03-v2,10000630,35,1,0
ppage,nic-08-v3,10000650,36,1929,29
meanage,nic-08-v3,10000650,36,1938.4,38.4
mode,nic-03-v2,10000650,36,1,0
ppage,nic-08-v3,10000670,37,1929,29
meanage,nic-08-v3,10000670,37,1944.9444444444443,44.94444444444444
mode,nic-03-v2,10000670,37,1,0
ppage,nic-08-v3,10000710,39,1966,66
meanage,nic-08-v3,10000710,39,1942.8666666666666,42.86666666666667
mode,nic-03-v2,10000710,39,1,0
ppage,nic-08-v3,10000740,41,1950,50
meanage,nic-08-v3,10000740,41,1943.2777777777778,43.27777777777778
mode,nic-03-v2,10000740,41,1,0
ppage,nic-08-v3,10000760,43,1962,62
meanage,nic-08-v3,10000760,43,1938.8181818181818,38.81818181818182
mode,nic-03-v2,10000760,43,1,0
ppage,nic-08-v3,10000800,45,1927,27
meanage,nic-08-v3,10000800,45,1933.2142857142858,35.69230769230769
mode,nic-03-v2,10000800,45,1,0
ppage,nic-08-v3,10000830,47,1937,37
meanage,nic-08-v3,10000830,47,1938.4,38.4
mode,nic-03-v2,10000830,47,1,0
ppage,nic-08-v3,10000840,48,1977,77
meanage,nic-08-v3,10000840,48,1941.3529411764705,43.8125
mode,nic-03-v2,10000840,48,1,0
ppage,nic-08-v3,10000900,52,1923,23
meanage,nic-08-v3,10000900,52,1931.5714285714287,31.571428571428573
mode,nic-03-v2,10000900,52,1,0
ppage,nic-08-v3,10000920,53,1920,20
meanage,nic-08-v3,10000920,53,1942.8666666666666,42.86666666666667
mode,nic-03-v2,10000920,53,1,0
ppage,nic-08-v3,10000940,55,1965,65
meanage,nic-08-v3,10000940,55,1939.0588235294117,39.05882352941177
mode,nic-03-v2,10000940,55,1,0
ppage,nic-08-v3,10000970,57,1928,28
meanage,nic-08-v3,10000970,57,1935.4705882352941,35.470588235294116
mode,nic-03-v2,10000970,57,1,0
ppage,nic-08-v3,10001000,59,1941,41
meanage,nic-08-v3,10001000,59,1936.9333333333334,39.57142857142857
mode,nic-03-v2,10001000,59,1,0
ppage,nic-08-v3,10001030,62,1943,43
meanage,nic-08-v3,10001030,62,1941.5,41.5
mode,nic-03-v2,10001030,62,1,0
ppage,nic-08-v3,10001070,63,1940,40
meanage,nic-08-v3,10001070,63,1946.7777777777778,46.77777777777778
mode,nic-03-v2,10001070,63,1,0
ppage,nic-08-v3,10001130,65,1936,36
meanage,nic-08-v3,10001130,65,1941.5,41.5
mode,nic-03-v2,10001130,65,1,0
ppage,nic-08-v3,10001140,66,1945,45
meanage,nic-08-v3,10001140,66,1946,46
mode,nic-03-v2,10001140,66,1,0
ppage,nic-08-v3,10001150,67,1932,32
meanage,nic-08-v3,10001150,67,1938.2,38.2
mode,nic-03-v2,10001150,67,1,0
ppage,nic-08-v3,10001170,68,1925,25
meanage,nic-08-v3,10001170,68,1946.2142857142858,41.92857142857143
mode,nic-03-v2,10001170,68,1,0
ppage,nic-08-v3,10001180,69,1942,42
meanage,nic-08-v3,10001180,69,1941.5,41.5
mode,nic-03-v2,10001180,69,1,0
ppage,nic-08-v3,10001190,70,1956,56
meanage,nic-08-v3,10001190,70,1942.8666666666666,42.86666666666667
mode,nic-03-v2,10001190,70,1,0
ppage,nic-08-v3,10001220,73,1938,38
meanage,nic-08-v3,10001220,73,1945.076923076923,45.07692307692308
mode,nic-03-v2,10001220,73,1,0
ppage,nic-08-v3,10001230,74,1938,38
meanage,nic-08-v3,10001230,74,1943.3529411764705,43.35294117647059
mode,nic-03-v2,10001230,74,1,0
ppage,nic-08-v3,10001250,75,1940,40
meanage,nic-08-v3,10001250,75,1946.7777777777778,46.77777777777778
mode,nic-03-v2,10001250,75,1,0
ppage,nic-08-v3,10001300,77,1942,42
meanage,nic-08-v3,10001300,77,1943.3846153846155,43.38461538461539
mode,nic-03-v2,10001300,77,1,0
ppage,nic-08-v3,10001320,78,1952,52
meanage,nic-08-v3,10001320,78,1938.8181818181818,38.81818181818182
mode,nic-03-v2,10001320,78,1,0
ppage,nic-08-v3,10001400,80,1946,46
meanage,nic-08-v3,10001400,80,1941.3333333333333,44.214285714285715
mode,nic-03-v2,10001400,80,1,0
ppage,nic-08-v3,10001420,81,1922,22
meanage,nic-08-v3,10001420,81,1935.4705882352941,35.470588235294116
mode,nic-03-v2,10001420,81,1,0
ppage,nic-08-v3,10001470,82,1928,28
meanage,nic-08-v3,10001470,82,1946,46
mode,nic-03-v2,10001470,82,1,0
ppage,nic-08-v3,10001520,85,1949,49
meanage,nic-08-v3,10001520,85,1943.6875,43.6875
mode,nic-03-v2,10001520,85,1,0
ppage,nic-08-v3,10001540,87,1930,30
meanage,nic-08-v3,10001540,87,1939.0588235294117,39.05882352941177
mode,nic-03-v2,10001540,87,1,0
ppage,nic-08-v3,10001560,88,1936,36
meanage,nic-08-v3,10001560,88,1943.6875,43.6875
mode,nic-03-v2,10001560,88,1,0
ppage,nic-08-v3,10001570,89,1936,36
meanage,nic-08-v3,10001570,89,1938.2,38.2
mode,nic-03-v2,10001570,89,1,0
ppage,nic-08-v3,10001590,90,1985,85
meanage,nic-08-v3,10001590,90,1945.076923076923,45.07692307692308
mode,nic-03-v2,10001590,90,1,0
ppage,nic-08-v3,10001620,91,1950,50
meanage,nic-08-v3,10001620,91,1938.4,38.4
mode,nic-03-v2,10001620,91,1,0
ppage,nic-08-v3,10001820,97,1935,35
meanage,nic-08-v3,10001820,97,1941.3529411764705,43.8125
mode,nic-03-v2,10001820,97,1,0
ppage,nic-08-v3,10001860,99,1950,50
meanage,nic-08-v3,10001860,99,1946,46
mode,nic-03-v2,10001860,99,1,0
ppage,nic-08-v3,10001870,100,1946,46
meanage,nic-08-v3,10001870,100,1944.9444444444443,44.94444444444444
mode,nic-03-v2,10001870,100,1,0
ppage,nic-08-v3,10001880,101,1926,26
meanage,nic-08-v3,10001880,101,1936.8461538461538,36.84615384615385
mode,nic-03-v2,10001880,101,1,0
ppage,nic-08-v3,10001890,102,1950,50
meanage,nic-08-v3,10001890,102,1946.8125,46.8125
mode,nic-03-v2,10001890,102,1,0
ppage,nic-08-v3,10001900,103,1954,54
meanage,nic-08-v3,10001900,103,1947,47
mode,nic-03-v2,10001900,103,1,0
ppage,nic-08-v3,10001950,105,1937,37
meanage,nic-08-v3,10001950,105,1942.8666666666666,42.86666666666667
mode,nic-03-v2,10001950,105,1,0
ppage,nic-08-v3,10001960,106,1927,27
meanage,nic-08-v3,10001960,106,1942,42
mode,nic-03-v2,10001960,106,1,0
ppage,nic-08-v3,10002060,112,1926,26
meanage,nic-08-v3,10002060,112,1936.8461538461538,36.84615384615385
mode,nic-03-v2,10002060,112,1,0
ppage,nic-08-v3,10002070,113,1942,42
meanage,nic-08-v3,10002070,113,1943.3529411764705,43.35294117647059
mode,nic-03-v2,10002070,113,1,0
ppage,nic-08-v3,10002100,114,1954,54
meanage,nic-08-v3,10002100,114,1936.8461538461538,36.84615384615385
mode,nic-03-v2,10002100,114,1,0
ppage,nic-08-v3,10002120,116,1934,34
meanage,nic-08-v3,10002120,116,1946.8125,46.8125
mode,nic-03-v2,10002120,116,1,0
ppage,nic-08-v3,10002170,120,1972,72
meanage,nic-08-v3,10002170,120,1948.0833333333333,48.083333333333336
mode,nic-03-v2,10002170,120,1,0
ppage,nic-08-v3,10002180,121,1958,58
meanage,nic-08-v3,10002180,121,1946.2142857142858,41.92857142857143
mode,nic-03-v2,10002180,121,1,0
ppage,nic-08-v3,10002330,126,1934,34
meanage,nic-08-v3,10002330,126,1942.8666666666666,42.86666666666667
mode,nic-03-v2,10002330,126,1,0
ppage,nic-08-v3,10002350,127,1952,52
meanage,nic-08-v3,10002350,127,1946.8125,46.8125
mode,nic-03-v2,10002350,127,1,0
ppage,nic-08-v3,10002410,130,1933,33
meanage,nic-08-v3,10002410,130,1946.6,46.6
mode,nic-03-v2,10002410,130,1,0
ppage,nic-08-v3,10002420,131,1927,27
meanage,nic-08-v3,10002420,131,1943.2941176470588,43.294117647058826
mode,nic-03-v2,10002420,131,1,0
ppage,nic-08-v3,10002490,134,1953,53
meanage,nic-08-v3,10002490,134,1948.0833333333333,48.083333333333336
mode,nic-03-v2,10002490,134,1,0
ppage,nic-08-v3,10002500,135,1937,37
meanage,nic-08-v3,10002500,135,1931.5714285714287,31.571428571428573
mode,nic-03-v2,10002500,135,1,0
ppage,nic-08-v3,10002530,138,1931,31
meanage,nic-08-v3,10002530,138,1933.2142857142858,35.69230769230769
mode,nic-03-v2,10002530,138,1,0
ppage,nic-08-v3,10002570,139,1971,71
meanage,nic-08-v3,10002570,139,1943.3529411764705,43.35294117647059
mode,nic-03-v2,10002570,139,1,0
ppage,nic-08-v3,10002620,141,1943,43
meanage,nic-08-v3,10002620,141,1946.2142857142858,41.92857142857143
mode,nic-03-v2,10002620,141,1,0
ppage,nic-08-v3,10002640,142,1935,35
meanage,nic-08-v3,10002640,142,1943.3846153846155,43.38461538461539
mode,nic-03-v2,10002640,142,1,0
ppage,nic-08-v3,10002720,147,1958,58
meanage,nic-08-v3,10002720,147,1943.2941176470588,43.294117647058826
mode,nic-03-v2,10002720,147,1,0
ppage,nic-08-v3,10002730,148,1919,19
meanage,nic-08-v3,10002730,148,1939.0588235294117,39.05882352941177
mode,nic-03-v2,10002730,148,1,0
ppage,nic-08-v3,10002770,151,1934,34
meanage,nic-08-v3,10002770,151,1938.4,38.4
mode,nic-03-v2,10002770,151,1,0
ppage,nic-08-v3,10002780,152,1931,31
meanage,nic-08-v3,10002780,152,1941.3333333333333,44.214285714285715
mode,nic-03-v2,10002780,152,1,0
ppage,nic-08-v3,10002800,154,1951,51
meanage,nic-08-v3,10002800,154,1935.4705882352941,35.470588235294116
mode,nic-03-v2,10002800,154,1,0
ppage,nic-08-v3,10002810,155,1919,19
meanage,nic-08-v3,10002810,155,1946.7777777777778,46.77777777777778
mode,nic-03-v2,10002810,155,1,0
ppage,nic-08-v3,10002820,156,1928,28
meanage,nic-08-v3,10002820,156,1943.2777777777778,43.27777777777778
mode,nic-03-v2,10002820,156,1,0
ppage,nic-08-v3,10002830,157,1963,63
meanage,nic-08-v3,10002830,157,1946,46
mode,nic-03-v2,10002830,157,1,0
ppage,nic-08-v3,10002870,158,1955,55
meanage,nic-08-v3,10002870,158,1947,47
mode,nic-03-v2,10002870,158,1,0
ppage,nic-08-v3,10002890,159,1929,29
meanage,nic-08-v3,10002890,159,1941.5,41.5
mode,nic-03-v2,10002890,159,1,0
ppage,nic-08-v3,10002940,160,1927,27
meanage,nic-08-v3,10002940,160,1943.6875,43.6875
mode,nic-03-v2,10002940,160,1,0
ppage,nic-08-v3,10003000,161,1952,52
meanage,nic-08-v3,10003000,161,1943.6875,43.6875
mode,nic-03-v2,10003000,161,1,0
ppage,nic-08-v3,10003020,163,1942,42
meanage,nic-08-v3,10003020,163,1944.9444444444443,44.94444444444444
mode,nic-03-v2,10003020,163,1,0
ppage,nic-08-v3,10003090,168,1966,66
meanage,nic-08-v3,10003090,168,1943.3529411764705,43.35294117647059
mode,nic-03-v2,10003090,168,1,0
ppage,nic-08-v3,10003120,169,1944,44
meanage,nic-08-v3,10003120,169,1941.5,41.5
mode,nic-03-v2,10003120,169,1,0
ppage,nic-08-v3,10003130,170,1929,29
meanage,nic-08-v3,10003130,170,1938.8181818181818,38.81818181818182
mode,nic-03-v2,10003130,170,1,0
ppage,nic-08-v3,10003150,172,1935,35
meanage,nic-08-v3,10003150,172,1944.9444444444443,44.94444444444444
mode,nic-03-v2,10003150,172,1,0
ppage,nic-08-v3,10003260,176,1941,41
meanage,nic-08-v3,10003260,176,1946.6,46.6
mode,nic-03-v2,10003260,176,1,0
ppage,nic-08-v3,10003270,177,1944,44
meanage,nic-08-v3,10003270,177,1938.2,38.2
mode,nic-03-v2,10003270,177,1,0
ppage,nic-08-v3,10003290,178,1923,23
meanage,nic-08-v3,10003290,178,1931.5714285714287,31.571428571428573
mode,nic-03-v2,10003290,178,1,0
ppage,nic-08-v3,10003330,181,1949,49
meanage,nic-08-v3,10003330,181,1946.6,46.6
mode,nic-03-v2,10003330,181,1,0
ppage,nic-08-v3,10003340,182,1927,27
meanage,nic-08-v3,10003340,182,1942,42
mode,nic-03-v2,10003340,182,1,0
ppage,nic-08-v3,10003350,183,1964,64
meanage,nic-08-v3,10003350,183,1938.4,38.4
mode,nic-03-v2,10003350,183,1,0
ppage,nic-08-v3,10003400,186,1937,37
meanage,nic-08-v3,10003400,186,1935.4705882352941,35.470588235294116
mode,nic-03-v2,10003400,186,1,0
ppage,nic-08-v3,10003410,187,1941,41
meanage,nic-08-v3,10003410,187,1946,46
mode,nic-03-v2,10003410,187,1,0
ppage,nic-08-v3,10003430,189,1970,70
meanage,nic-08-v3,10003430,189,1943.2777777777778,43.27777777777778
mode,nic-03-v2,10003430,189,1,0
ppage,nic-08-v3,10003440,190,1922,22
meanage,nic-08-v3,10003440,190,1931.5714285714287,31.571428571428573
mode,nic-03-v2,10003440,190,1,0
ppage,nic-08-v3,10003460,191,1959,59
meanage,nic-08-v3,10003460,191,1944.9444444444443,44.94444444444444
mode,nic-03-v2,10003460,191,1,0
ppage,nic-08-v3,10003500,192,1923,23
meanage,nic-08-v3,10003500,192,1946.8125,46.8125
mode,nic-03-v2,10003500,192,1,0
ppage,nic-08-v3,10003520,193,1931,31
meanage,nic-08-v3,10003520,193,1938.4,38.4
mode,nic-03-v2,10003520,193,1,0
ppage,nic-08-v3,10003580,196,1941,41
meanage,nic-08-v3,10003580,196,1945.076923076923,45.07692307692308
mode,nic-03-v2,10003580,196,1,0
ppage,nic-08-v3,10003610,197,1946,46
meanage,nic-08-v3,10003610,197,1943.2941176470588,43.294117647058826
mode,nic-03-v2,10003610,197,1,0
ppage,nic-08-v3,10003620,198,1953,53
meanage,nic-08-v3,10003620,198,1942,42
mode,nic-03-v2,10003620,198,1,0
ppage,nic-08-v3,10003660,199,1949,49
meanage,nic-08-v3,10003660,199,1944.9444444444443,44.94444444444444
mode,nic-03-v2,10003660,199,1,0
ppage,nic-08-v3,10003690,200,1954,54
meanage,nic-08-v3,10003690,200,1938.4,38.4
mode,nic-03-v2,10003690,200,1,0
ppage,nic-08-v3,10003710,201,1937,37
meanage,nic-08-v3,10003710,201,1943.3846153846155,43.38461538461539
mode,nic-03-v2,10003710,201,1,0
ppage,nic-08-v3,10003870,204,1926,26
meanage,nic-08-v3,10003870,204,1943.3529411764705,43.35294117647059
mode,nic-03-v2,10003870,204,1,0
ppage,nic-08-v3,10003880,205,1953,53
meanage,nic-08-v3,10003880,205,1935.4705882352941,35.470588235294116
mode,nic-03-v2,10003880,205,1,0
ppage,nic-08-v3,10003900,207,1952,52
meanage,nic-08-v3,10003900,207,1938.4,38.4
mode,nic-03-v2,10003900,207,1,0
ppage,nic-08-v3,10003930,208,1961,61
meanage,nic-08-v3,10003930,208,1946.8125,46.8125
mode,nic-03-v2,10003930,208,1,0
ppage,nic-08-v3,10004040,211,,
meanage,nic-08-v3,10004040,211,1943.3529411764705,43.35294117647059
mode,nic-03-v2,10004040,211,1,0
ppage,nic-08-v3,10004080,212,1942,42
meanage,nic-08-v3,10004080,212,1942.8666666666666,42.86666666666667
mode,nic-03-v2,10004080,212,1,0
ppage,nic-08-v3,10004110,214,1961,61
meanage,nic-08-v3,10004110,214,1946.2142857142858,41.92857142857143
mode,nic-03-v2,10004110,214,1,0
ppage,nic-08-v3,10004150,215,,
meanage,nic-08-v3,10004150,215,1941.3333333333333,44.214285714285715
mode,nic-03-v2,10004150,215,1,0
ppage,nic-08-v3,10004160,216,1949,49
meanage,nic-08-v3,10004160,216,1941.5,41.5
mode,nic-03-v2,10004160,216,1,0
ppage,nic-08-v3,10004230,219,1949,49
meanage,nic-08-v3,10004230,219,1942.8666666666666,42.86666666666667
mode,nic-03-v2,10004230,219,1,0
ppage,nic-08-v3,10004250,220,1928,28
meanage,nic-08-v3,10004250,220,1941.3529411764705,43.8125
mode,nic-03-v2,10004250,220,1,0
ppage,nic-08-v3,10004270,221,1931,31
meanage,nic-08-v3,10004270,221,1943.3529411764705,43.35294117647059
mode,nic-03-v2,10004270,221,1,0
ppage,nic-08-v3,10004280,222,1965,65
meanage,nic-08-v3,10004280,222,1943.3846153846155,43.38461538461539
mode,nic-03-v2,10004280,222,1,0
ppage,nic-08-v3,10004330,224,1946,46
meanage,nic-08-v3,10004330,224,1938.8181818181818,38.81818181818182
mode,nic-03-v2,10004330,224,1,0
ppage,nic-08-v3,10004340,225,1941,41
meanage,nic-08-v3,10004340,225,1941.3333333333333,44.214285714285715
mode,nic-03-v2,10004340,225,1,0
ppage,nic-08-v3,10004380,228,1951,51
meanage,nic-08-v3,10004380,228,1941.3333333333333,44.214285714285715
mode,nic-03-v2,10004380,228,1,0
ppage,nic-08-v3,10004420,231,1944,44
meanage,nic-08-v3,10004420,231,1942.8666666666666,42.86666666666667
mode,nic-03-v2,10004420,231,1,0
ppage,nic-08-v3,10004460,233,1919,19
meanage,nic-08-v3,10004460,233,1946.2142857142858,41.92857142857143
mode,nic-03-v2,10004460,233,1,0
ppage,nic-08-v3,10004540,234,1935,35
meanage,nic-08-v3,10004540,234,1941.5,41.5
mode,nic-03-v2,10004540,234,1,0
ppage,nic-08-v3,10004630,238,1958,58
meanage,nic-08-v3,10004630,238,1946.6,46.6
mode,nic-03-v2,10004630,238,1,0
ppage,nic-08-v3,10004660,239,1945,45
meanage,nic-08-v3,10004660,239,1943.6875,43.6875
mode,nic-03-v2,10004660,239,1,0
ppage,nic-08-v3,10004670,240,,
meanage,nic-08-v3,10004670,240,1938.2,38.2
mode,nic-03-v2,10004670,240,1,0
ppage,nic-08-v3,10004690,242,1925,25
meanage,nic-08-v3,10004690,242,1943.6875,43.6875
mode,nic-03-v2,10004690,242,1,0
ppage,nic-08-v3,10004700,243,1945,45
meanage,nic-08-v3,10004700,243,1938.2,38.2
mode,nic-03-v2,10004700,243,1,0
ppage,nic-08-v3,10004710,244,1955,55
meanage,nic-08-v3,10004710,244,1933.2142857142858,35.69230769230769
mode,nic-03-v2,10004710,244,1,0
ppage,nic-08-v3,10004720,245,1932,32
meanage,nic-08-v3,10004720,245,1945.076923076923,45.07692307692308
mode,nic-03-v2,10004720,245,1,0
ppage,nic-08-v3,10004760,247,1951,51
meanage,nic-08-v3,10004760,247,1938.4,38.4
mode,nic-03-v2,10004760,247,1,0
ppage,nic-08-v3,10004850,249,1925,25
meanage,nic-08-v3,10004850,249,1945.076923076923,45.07692307692308
mode,nic-03-v2,10004850,249,1,0
ppage,nic-08-v3,10004860,250,1925,25
meanage,nic-08-v3,10004860,250,1938.4,38.4
mode,nic-03-v2,10004860,250,1,0
ppage,nic-08-v3,10004930,256,1923,23
meanage,nic-08-v3,10004930,256,1939.0588235294117,39.05882352941177
mode,nic-03-v2,10004930,256,1,0
ppage,nic-08-v3,10004970,257,1932,32
meanage,nic-08-v3,10004970,257,1941.3529411764705,43.8125
mode,nic-03-v2,10004970,257,1,0
ppage,nic-08-v3,10004980,258,1961,61
meanage,nic-08-v3,10004980,258,1933.2142857142858,35.69230769230769
mode,nic-03-v2,10004980,258,1,0
ppage,nic-08-v3,10005000,259,1941,41
meanage,nic-08-v3,10005000,259,1936.8461538461538,36.84615384615385
mode,nic-03-v2,10005000,259,1,0
ppage,nic-08-v3,10005010,260,1936,36
meanage,nic-08-v3,10005010,260,1941.3529411764705,43.8125
mode,nic-03-v2,10005010,260,1,0
ppage,nic-08-v3,10005030,261,1954,54
meanage,nic-08-v3,10005030,261,1943.3529411764705,43.35294117647059
mode,nic-03-v2,10005030,261,1,0
ppage,nic-08-v3,10005040,262,1933,33
meanage,nic-08-v3,10005040,262,1946.8125,46.8125
mode,nic-03-v2,10005040,262,1,0
ppage,nic-08-v3,10005050,263,1946,46
meanage,nic-08-v3,10005050,263,1943.2777777777778,43.27777777777778
mode,nic-03-v2,10005050,263,1,0
ppage,nic-08-v3,10005150,268,1939,39
meanage,nic-08-v3,10005150,268,1931.5714285714287,31.571428571428573
mode,nic-03-v2,10005150,268,1,0
ppage,nic-08-v3,10005160,269,1977,77
meanage,nic-08-v3,10005160,269,1942.8666666666666,42.86666666666667
mode,nic-03-v2,10005160,269,1,0
ppage,nic-08-v3,10005180,270,1943,43
meanage,nic-08-v3,10005180,270,1942.8666666666666,42.86666666666667
mode,nic-03-v2,10005180,270,1,0
ppage,nic-08-v3,10005260,276,1925,25
meanage,nic-08-v3,10005260,276,1941.3333333333333,44.214285714285715
mode,nic-03-v2,10005260,276,1,0
ppage,nic-08-v3,10005270,277,1927,27
meanage,nic-08-v3,10005270,277,1943.2777777777778,43.27777777777778
mode,nic-03-v2,10005270,277,1,0
ppage,nic-08-v3,10005360,281,1930,30
meanage,nic-08-v3,10005360,281,1943.3529411764705,43.35294117647059
mode,nic-03-v2,10005360,281,1,0
ppage,nic-08-v3,10005400,282,1921,21
meanage,nic-08-v3,10005400,282,1943.3529411764705,43.35294117647059
mode,nic-03-v2,10005400,282,1,0
ppage,nic-08-v3,10005410,283,1924,24
meanage,nic-08-v3,10005410,283,1938.8181818181818,38.81818181818182
mode,nic-03-v2,10005410,283,1,0
ppage,nic-08-v3,10005420,284,1930,30
meanage,nic-08-v3,10005420,284,1939.0588235294117,39.05882352941177
mode,nic-03-v2,10005420,284,1,0
ppage,nic-08-v3,10005430,285,1946,46
meanage,nic-08-v3,10005430,285,1936.8461538461538,36.84615384615385
mode,nic-03-v2,10005430,285,1,0
ppage,nic-08-v3,10005440,286,1934,34
meanage,nic-08-v3,10005440,286,1936.8461538461538,36.84615384615385
mode,nic-03-v2,10005440,286,1,0
ppage,nic-08-v3,10005450,287,1937,37
meanage,nic-08-v3,10005450,287,1943.3846153846155,43.38461538461539
mode,nic-03-v2,10005450,287,1,0
ppage,nic-08-v3,10005460,288,1951,51
meanage,nic-08-v3,10005460,288,1943.6875,43.6875
mode,nic-03-v2,10005460,288,1,0
ppage,nic-08-v3,10005580,293,1901,
meanage,nic-08-v3,10005580,293,1941.3333333333333,44.214285714285715
mode,nic-03-v2,10005580,293,1,0
ppage,nic-08-v3,10005650,299,1941,41
meanage,nic-08-v3,10005650,299,1946.6,46.6
mode,nic-03-v2,10005650,299,1,0
ppage,nic-08-v3,10005691,303,1924,24
meanage,nic-08-v3,10005691,303,1938.4,38.4
mode,nic-03-v2,10005691,303,1,0
ppage,nic-08-v3,10005730,308,1927,27
meanage,nic-08-v3,10005730,308,1938.2,38.2
mode,nic-03-v2,10005730,308,1,0
ppage,nic-08-v3,10005800,315,1935,35
meanage,nic-08-v3,10005800,315,1941.3333333333333,44.214285714285715
mode,nic-03-v2,10005800,315,1,0
ppage,nic-08-v3,10005810,316,1971,71
meanage,nic-08-v3,10005810,316,1943.6875,43.6875
mode,nic-03-v2,10005810,316,1,0
ppage,nic-08-v3,10005820,317,1930,30
meanage,nic-08-v3,10005820,317,1931.5714285714287,31.571428571428573
mode,nic-03-v2,10005820,317,1,0
ppage,nic-08-v3,10005830,318,1931,31
meanage,nic-08-v3,10005830,318,1931.5714285714287,31.571428571428573
mode,nic-03-v2,10005830,318,1,0
ppage,nic-08-v3,10005840,319,1923,23
meanage,nic-08-v3,10005840,319,1946.7777777777778,46.77777777777778
mode,nic-03-v2,10005840,319,1,0
ppage,nic-08-v3,10005850,320,1925,25
meanage,nic-08-v3,10005850,320,1938.2,38.2
mode,nic-03-v2,10005850,320,1,0
ppage,nic-08-v3,10005860,321,1964,64
meanage,nic-08-v3,10005860,321,1946.8125,46.8125
mode,nic-03-v2,10005860,321,1,0
ppage,nic-08-v3,10005890,323,1939,39
meanage,nic-08-v3,10005890,323,1946.8125,46.8125
mode,nic-03-v2,10005890,323,1,0
ppage,nic-08-v3,10005920,325,1937,37
meanage,nic-08-v3,10005920,325,1946.7777777777778,46.77777777777778
mode,nic-03-v2,10005920,325,1,0
ppage,nic-08-v3,10005930,326,1935,35
meanage,nic-08-v3,10005930,326,1945.076923076923,45.07692307692308
mode,nic-03-v2,10005930,326,1,0
ppage,nic-08-v3,10005960,328,1939,39
meanage,nic-08-v3,10005960,328,1942,42
mode,nic-03-v2,10005960,328,1,0
ppage,nic-08-v3,10006040,334,1939,39
meanage,nic-08-v3,10006040,334,1938.4,38.4
mode,nic-03-v2,10006040,334,1,0
ppage,nic-08-v3,10006070,335,1943,43
meanage,nic-08-v3,10006070,335,1943.6875,43.6875
mode,nic-03-v2,10006070,335,1,0
ppage,nic-08-v3,10006110,339,1928,28
meanage,nic-08-v3,10006110,339,1938.2,38.2
mode,nic-03-v2,10006110,339,1,0
