scenario,caseid,age,online
historical,10013270,NA,0
historical,10013280,77,0
historical,10013350,30,0
historical,10013380,44,0
historical,10013390,58,0
historical,10013430,57,0
historical,10013520,27,0
historical,10013540,59,0
historical,10013590,65,0
historical,10013620,41,0
historical,10013630,59,0
historical,10013670,68,0
historical,10013710,46,0
historical,10013730,41,0
historical,10013760,61,0
historical,10013790,66,0
historical,10013800,58,0
historical,10013810,71,0
historical,10013830,43,0
historical,10013890,66,0
historical,10014010,58,0
historical,10014040,62,0
historical,10014190,76,0
historical,10014281,53,0
historical,10014282,72,0
historical,10014283,65,0
historical,10014320,59,0
historical,10014330,68,0
historical,10014360,74,0
historical,10014450,67,0
historical,10014510,23,0
historical,10014530,59,0
historical,10014550,57,0
historical,10014560,58,0
historical,10014570,56,0
historical,10014590,63,0
historical,10014610,50,0
historical,10014640,23,0
historical,10014650,30,0
historical,10014670,74,0
historical,10014680,50,0
historical,10014690,44,0
historical,10014710,51,0
historical,10014720,57,0
historical,10014750,56,0
historical,10014790,42,0
historical,10014800,62,0
historical,10014810,60,0
historical,10014830,56,0
historical,10014840,55,0
historical,10014860,48,0
historical,10014930,46,0
historical,10014940,34,0
historical,10014950,51,0
historical,10014960,64,0
historical,10014980,51,0
historical,10014990,69,0
candidate_unadapted,NA,NA,0
candidate_unadapted,10000080,NA,0
candidate_unadapted,10000100,NA,0
candidate_unadapted,10000110,NA,0
candidate_unadapted,10000130,NA,0
candidate_unadapted,10000160,NA,0
candidate_unadapted,10000250,NA,0
candidate_unadapted,10000270,NA,0
candidate_unadapted,10000310,NA,0
candidate_unadapted,10000380,NA,0
candidate_unadapted,10000400,NA,0
candidate_unadapted,10000440,NA,0
candidate_unadapted,10000460,NA,0
candidate_unadapted,10000500,NA,0
candidate_unadapted,10000510,NA,0
candidate_unadapted,10000520,NA,0
candidate_unadapted,10000570,NA,0
candidate_unadapted,10000571,NA,0
candidate_unadapted,10000590,NA,0
candidate_unadapted,10000610,NA,0
candidate_unadapted,10000630,NA,0
candidate_unadapted,10000650,NA,0
candidate_unadapted,10000670,NA,0
candidate_unadapted,10000710,NA,0
candidate_unadapted,10000740,NA,0
candidate_unadapted,10000760,NA,0
candidate_unadapted,10000800,NA,0
candidate_unadapted,10000830,NA,0
candidate_unadapted,10000840,NA,0
candidate_unadapted,10000900,NA,0
candidate_unadapted,10000920,NA,0
candidate_unadapted,10000940,NA,0
candidate_unadapted,10000970,NA,0
candidate_unadapted,10001000,NA,0
candidate_unadapted,10001030,NA,0
candidate_unadapted,10001070,NA,0
candidate_unadapted,10001130,NA,0
candidate_unadapted,10001140,NA,0
candidate_unadapted,10001150,NA,0
candidate_unadapted,10001170,NA,0
candidate_unadapted,10001180,NA,0
candidate_unadapted,10001190,NA,0
candidate_unadapted,10001220,NA,0
candidate_unadapted,10001230,NA,0
candidate_unadapted,10001250,NA,0
candidate_unadapted,10001300,NA,0
candidate_unadapted,10001320,NA,0
candidate_unadapted,10001400,NA,0
candidate_unadapted,10001420,NA,0
candidate_unadapted,10001470,NA,0
candidate_unadapted,10001520,NA,0
candidate_unadapted,10001540,NA,0
candidate_unadapted,10001560,NA,0
candidate_unadapted,10001570,NA,0
candidate_unadapted,10001590,NA,0
candidate_unadapted,10001620,NA,0
candidate_unadapted,10001820,NA,0
candidate_unadapted,10001860,NA,0
candidate_unadapted,10001870,NA,0
candidate_unadapted,10001880,NA,0
candidate_unadapted,10001890,NA,0
candidate_unadapted,10001900,NA,0
candidate_unadapted,10001950,NA,0
candidate_unadapted,10001960,NA,0
candidate_unadapted,10002060,NA,0
candidate_unadapted,10002070,NA,0
candidate_unadapted,10002100,NA,0
candidate_unadapted,10002120,NA,0
candidate_unadapted,10002170,NA,0
candidate_unadapted,10002180,NA,0
candidate_unadapted,10002330,NA,0
candidate_unadapted,10002350,NA,0
candidate_unadapted,10002410,NA,0
candidate_unadapted,10002420,NA,0
candidate_unadapted,10002490,NA,0
candidate_unadapted,10002500,NA,0
candidate_unadapted,10002530,NA,0
candidate_unadapted,10002570,NA,0
candidate_unadapted,10002620,NA,0
candidate_unadapted,10002640,NA,0
candidate_unadapted,10002720,NA,0
candidate_unadapted,10002730,NA,0
candidate_unadapted,10002770,NA,0
candidate_unadapted,10002780,NA,0
candidate_unadapted,10002800,NA,0
candidate_unadapted,10002810,NA,0
candidate_unadapted,10002820,NA,0
candidate_unadapted,10002830,NA,0
candidate_unadapted,10002870,NA,0
candidate_unadapted,10002890,NA,0
candidate_unadapted,10002940,NA,0
candidate_unadapted,10003000,NA,0
candidate_unadapted,10003020,NA,0
candidate_unadapted,10003090,NA,0
candidate_unadapted,10003120,NA,0
candidate_unadapted,10003130,NA,0
candidate_unadapted,10003150,NA,0
candidate_unadapted,10003260,NA,0
candidate_unadapted,10003270,NA,0
candidate_unadapted,10003290,NA,0
candidate_unadapted,10003330,NA,0
candidate_unadapted,10003340,NA,0
candidate_unadapted,10003350,NA,0
candidate_unadapted,10003400,NA,0
candidate_unadapted,10003410,NA,0
candidate_unadapted,10003430,NA,0
candidate_unadapted,10003440,NA,0
candidate_unadapted,10003460,NA,0
candidate_unadapted,10003500,NA,0
candidate_unadapted,10003520,NA,0
candidate_unadapted,10003580,NA,0
candidate_unadapted,10003610,NA,0
candidate_unadapted,10003620,NA,0
candidate_unadapted,10003660,NA,0
candidate_unadapted,10003690,NA,0
candidate_unadapted,10003710,NA,0
candidate_unadapted,10003870,NA,0
candidate_unadapted,10003880,NA,0
candidate_unadapted,10003900,NA,0
candidate_unadapted,10003930,NA,0
candidate_unadapted,10004040,NA,0
candidate_unadapted,10004080,NA,0
candidate_unadapted,10004110,NA,0
candidate_unadapted,10004150,NA,0
candidate_unadapted,10004160,NA,0
candidate_unadapted,10004230,NA,0
candidate_unadapted,10004250,NA,0
candidate_unadapted,10004270,NA,0
candidate_unadapted,10004280,NA,0
candidate_unadapted,10004330,NA,0
candidate_unadapted,10004340,NA,0
candidate_unadapted,10004380,NA,0
candidate_unadapted,10004420,NA,0
candidate_unadapted,10004460,NA,0
candidate_unadapted,10004540,NA,0
candidate_unadapted,10004630,NA,0
candidate_unadapted,10004660,NA,0
candidate_unadapted,10004670,NA,0
candidate_unadapted,10004690,NA,0
candidate_unadapted,10004700,NA,0
candidate_unadapted,10004710,NA,0
candidate_unadapted,10004720,NA,0
candidate_unadapted,10004760,NA,0
candidate_unadapted,10004850,NA,0
candidate_unadapted,10004860,NA,0
candidate_unadapted,10004930,NA,0
candidate_unadapted,10004970,NA,0
candidate_unadapted,10004980,NA,0
candidate_unadapted,10005000,NA,0
candidate_unadapted,10005010,NA,0
candidate_unadapted,10005030,NA,0
candidate_unadapted,10005040,NA,0
candidate_unadapted,10005050,NA,0
candidate_unadapted,10005150,NA,0
candidate_unadapted,10005160,NA,0
candidate_unadapted,10005180,NA,0
candidate_unadapted,10005260,NA,0
candidate_unadapted,10005270,NA,0
candidate_unadapted,10005360,NA,0
candidate_unadapted,10005400,NA,0
candidate_unadapted,10005410,NA,0
candidate_unadapted,10005420,NA,0
candidate_unadapted,10005430,NA,0
candidate_unadapted,10005440,NA,0
candidate_unadapted,10005450,NA,0
candidate_unadapted,10005460,NA,0
candidate_unadapted,10005580,NA,0
candidate_unadapted,10005650,NA,0
candidate_unadapted,10005691,NA,0
candidate_unadapted,10005730,NA,0
candidate_unadapted,10005800,NA,0
candidate_unadapted,10005810,NA,0
candidate_unadapted,10005820,NA,0
candidate_unadapted,10005830,NA,0
candidate_unadapted,10005840,NA,0
candidate_unadapted,10005850,NA,0
candidate_unadapted,10005860,NA,0
candidate_unadapted,10005890,NA,0
candidate_unadapted,10005920,NA,0
candidate_unadapted,10005930,NA,0
candidate_unadapted,10005960,NA,0
candidate_unadapted,10006040,NA,0
candidate_unadapted,10006070,NA,0
candidate_unadapted,10006110,NA,0
candidate_unadapted,10006200,NA,0
candidate_unadapted,10006220,NA,0
candidate_unadapted,10006280,NA,0
candidate_unadapted,10006310,NA,0
candidate_unadapted,10006320,NA,0
candidate_unadapted,10006330,NA,0
candidate_unadapted,10006340,NA,0
candidate_unadapted,10006350,NA,0
candidate_unadapted,10006360,NA,0
candidate_unadapted,10006390,NA,0
candidate_unadapted,10006400,NA,0
candidate_unadapted,10006430,NA,0
candidate_unadapted,10006500,NA,0
candidate_unadapted,10006510,NA,0
candidate_unadapted,10006540,NA,0
candidate_unadapted,10006580,NA,0
candidate_unadapted,10006620,NA,0
candidate_unadapted,10006660,NA,0
candidate_unadapted,10006700,NA,0
candidate_unadapted,10006710,NA,0
candidate_unadapted,10006740,NA,0
candidate_unadapted,10006760,NA,0
candidate_unadapted,10006780,NA,0
candidate_unadapted,10006790,NA,0
candidate_unadapted,10006800,NA,0
candidate_unadapted,10006880,NA,0
candidate_unadapted,10006900,NA,0
candidate_unadapted,10006920,NA,0
candidate_unadapted,10006930,NA,0
candidate_unadapted,10006960,NA,0
candidate_unadapted,10007010,NA,0
candidate_unadapted,10007140,NA,0
candidate_unadapted,10007160,NA,0
candidate_unadapted,10007170,NA,0
candidate_unadapted,10007180,NA,0
candidate_unadapted,10007190,NA,0
candidate_unadapted,10007210,NA,0
candidate_unadapted,10007220,NA,0
candidate_unadapted,10007250,NA,0
candidate_unadapted,10007390,NA,0
candidate_unadapted,10007410,NA,0
candidate_unadapted,10007430,NA,0
candidate_unadapted,10007450,NA,0
candidate_unadapted,10007471,NA,0
candidate_unadapted,10007520,NA,0
candidate_unadapted,10007570,NA,0
candidate_unadapted,10007580,NA,0
candidate_unadapted,10007590,NA,0
candidate_unadapted,10007620,NA,0
candidate_unadapted,10007640,NA,0
candidate_unadapted,10007710,NA,0
candidate_unadapted,10007720,NA,0
candidate_unadapted,10007730,NA,0
candidate_unadapted,10007750,NA,0
candidate_unadapted,10007760,NA,0
candidate_unadapted,10007780,NA,0
candidate_unadapted,10007840,NA,0
candidate_unadapted,10007860,NA,0
candidate_unadapted,10007960,NA,0
candidate_unadapted,10008030,NA,0
candidate_unadapted,10008050,NA,0
candidate_unadapted,10008060,NA,0
candidate_unadapted,10008070,NA,0
candidate_unadapted,10008080,NA,0
candidate_unadapted,10008090,NA,0
candidate_unadapted,10008110,NA,0
candidate_unadapted,10008120,NA,0
candidate_unadapted,10008130,NA,0
candidate_unadapted,10008150,NA,0
candidate_unadapted,10008210,NA,0
candidate_unadapted,10008220,NA,0
candidate_unadapted,10008240,NA,0
candidate_unadapted,10008260,NA,0
candidate_unadapted,10008310,NA,0
candidate_unadapted,10008320,NA,0
candidate_unadapted,10008350,NA,0
candidate_unadapted,10008380,NA,0
candidate_unadapted,10008400,NA,0
candidate_unadapted,10008420,NA,0
candidate_unadapted,10008430,NA,0
candidate_unadapted,10008440,NA,0
candidate_unadapted,10008450,NA,0
candidate_unadapted,10008451,NA,0
candidate_unadapted,10008460,NA,0
candidate_unadapted,10008580,NA,0
candidate_unadapted,10008590,NA,0
candidate_unadapted,10008640,NA,0
candidate_unadapted,10008660,NA,0
candidate_unadapted,10008690,NA,0
candidate_unadapted,10008710,NA,0
candidate_unadapted,10008740,NA,0
candidate_unadapted,10008750,NA,0
candidate_unadapted,10008780,NA,0
candidate_unadapted,10008840,NA,0
candidate_unadapted,10008890,NA,0
candidate_unadapted,10008930,NA,0
candidate_unadapted,10008940,NA,0
candidate_unadapted,10009000,NA,0
candidate_unadapted,10009030,NA,0
candidate_unadapted,10009090,NA,0
candidate_unadapted,10009150,NA,0
candidate_unadapted,10009180,NA,0
candidate_unadapted,10009251,NA,0
candidate_unadapted,10009390,NA,0
candidate_unadapted,10009440,NA,0
candidate_unadapted,10009460,NA,0
candidate_unadapted,10009520,NA,0
candidate_unadapted,10009530,NA,0
candidate_unadapted,10009590,NA,0
candidate_unadapted,10009630,NA,0
candidate_unadapted,10009650,NA,0
candidate_unadapted,10009670,NA,0
candidate_unadapted,10009750,NA,0
candidate_unadapted,10009810,NA,0
candidate_unadapted,10009840,NA,0
candidate_unadapted,10009870,NA,0
candidate_unadapted,10009970,NA,0
candidate_unadapted,10009990,NA,0
candidate_unadapted,10010000,NA,0
candidate_unadapted,10010030,NA,0
candidate_unadapted,10010060,NA,0
candidate_unadapted,10010080,NA,0
candidate_unadapted,10010110,NA,0
candidate_unadapted,10010120,NA,0
candidate_unadapted,10010140,NA,0
candidate_unadapted,10010160,NA,0
candidate_unadapted,10010180,NA,0
candidate_unadapted,10010200,NA,0
candidate_unadapted,10010210,NA,0
candidate_unadapted,10010220,NA,0
candidate_unadapted,10010230,NA,0
candidate_unadapted,10010250,NA,0
candidate_unadapted,10010280,NA,0
candidate_unadapted,10010330,NA,0
candidate_unadapted,10010340,NA,0
candidate_unadapted,10010360,NA,0
candidate_unadapted,10010390,NA,0
candidate_unadapted,10010520,NA,0
candidate_unadapted,10010550,NA,0
candidate_unadapted,10010580,NA,0
candidate_unadapted,10010600,NA,0
candidate_unadapted,10010620,NA,0
candidate_unadapted,10010630,NA,0
candidate_unadapted,10010640,NA,0
candidate_unadapted,10010650,NA,0
candidate_unadapted,10010660,NA,0
candidate_unadapted,10010690,NA,0
candidate_unadapted,10010700,NA,0
candidate_unadapted,10010710,NA,0
candidate_unadapted,10010720,NA,0
candidate_unadapted,10010730,NA,0
candidate_unadapted,10010760,NA,0
candidate_unadapted,10010770,NA,0
candidate_unadapted,10010850,NA,0
candidate_unadapted,10010870,NA,0
candidate_unadapted,10010960,NA,0
candidate_unadapted,10011020,NA,0
candidate_unadapted,10011030,NA,0
candidate_unadapted,10011040,NA,0
candidate_unadapted,10011120,NA,0
candidate_unadapted,10011130,NA,0
candidate_unadapted,10011150,NA,0
candidate_unadapted,10011180,NA,0
candidate_unadapted,10011200,NA,0
candidate_unadapted,10011210,NA,0
candidate_unadapted,10011220,NA,0
candidate_unadapted,10011230,NA,0
candidate_unadapted,10011240,NA,0
candidate_unadapted,10011310,NA,0
candidate_unadapted,10011320,NA,0
candidate_unadapted,10011330,NA,0
candidate_unadapted,10011370,NA,0
candidate_unadapted,10011430,NA,0
candidate_unadapted,10011440,NA,0
candidate_unadapted,10011450,NA,0
candidate_unadapted,10011470,NA,0
candidate_unadapted,10011490,NA,0
candidate_unadapted,10011500,NA,0
candidate_unadapted,10011510,NA,0
candidate_unadapted,10011520,NA,0
candidate_unadapted,10011550,NA,0
candidate_unadapted,10011560,NA,0
candidate_unadapted,10011580,NA,0
candidate_unadapted,10011630,NA,0
candidate_unadapted,10011650,NA,0
candidate_unadapted,10011660,NA,0
candidate_unadapted,10011680,NA,0
candidate_unadapted,10011740,NA,0
candidate_unadapted,10011900,NA,0
candidate_unadapted,10011960,NA,0
candidate_unadapted,10012080,NA,0
candidate_unadapted,10012090,NA,0
candidate_unadapted,10012092,NA,0
candidate_unadapted,10012120,NA,0
candidate_unadapted,10012140,NA,0
candidate_unadapted,10012170,NA,0
candidate_unadapted,10012200,NA,0
candidate_unadapted,10012220,NA,0
candidate_unadapted,10012230,NA,0
candidate_unadapted,10012240,NA,0
candidate_unadapted,10012270,NA,0
candidate_unadapted,10012310,NA,0
candidate_unadapted,10012320,NA,0
candidate_unadapted,10012370,NA,0
candidate_unadapted,10012390,NA,0
candidate_unadapted,10012470,NA,0
candidate_unadapted,10012490,NA,0
candidate_unadapted,10012540,NA,0
candidate_unadapted,10012580,NA,0
candidate_unadapted,10012660,NA,0
candidate_unadapted,10012680,NA,0
candidate_unadapted,10012700,NA,0
candidate_unadapted,10012740,NA,0
candidate_unadapted,10012790,NA,0
candidate_unadapted,10012800,NA,0
candidate_unadapted,10012810,NA,0
candidate_unadapted,10012820,NA,0
candidate_unadapted,10012830,NA,0
candidate_unadapted,10012840,NA,0
candidate_unadapted,10012850,NA,0
candidate_unadapted,10012990,NA,0
candidate_unadapted,10013030,NA,0
candidate_unadapted,10013040,NA,0
candidate_unadapted,10013041,NA,0
candidate_unadapted,10013130,NA,0
candidate_unadapted,10013270,NA,0
candidate_unadapted,10013280,NA,0
candidate_unadapted,10013350,NA,0
candidate_unadapted,10013380,NA,0
candidate_unadapted,10013390,NA,0
candidate_unadapted,10013430,NA,0
candidate_unadapted,10013520,NA,0
candidate_unadapted,10013540,NA,0
candidate_unadapted,10013590,NA,0
candidate_unadapted,10013620,NA,0
candidate_unadapted,10013630,NA,0
candidate_unadapted,10013670,NA,0
candidate_unadapted,10013710,NA,0
candidate_unadapted,10013730,NA,0
candidate_unadapted,10013760,NA,0
candidate_unadapted,10013790,NA,0
candidate_unadapted,10013800,NA,0
candidate_unadapted,10013810,NA,0
candidate_unadapted,10013830,NA,0
candidate_unadapted,10013890,NA,0
candidate_unadapted,10014010,NA,0
candidate_unadapted,10014040,NA,0
candidate_unadapted,10014190,NA,0
candidate_unadapted,10014281,NA,0
candidate_unadapted,10014282,NA,0
candidate_unadapted,10014283,NA,0
candidate_unadapted,10014320,NA,0
candidate_unadapted,10014330,NA,0
candidate_unadapted,10014360,NA,0
candidate_unadapted,10014450,NA,0
candidate_unadapted,10014510,NA,0
candidate_unadapted,10014530,NA,0
candidate_unadapted,10014550,NA,0
candidate_unadapted,10014560,NA,0
candidate_unadapted,10014570,NA,0
candidate_unadapted,10014590,NA,0
candidate_unadapted,10014610,NA,0
candidate_unadapted,10014640,NA,0
candidate_unadapted,10014650,NA,0
candidate_unadapted,10014670,NA,0
candidate_unadapted,10014680,NA,0
candidate_unadapted,10014690,NA,0
candidate_unadapted,10014710,NA,0
candidate_unadapted,10014720,NA,0
candidate_unadapted,10014750,NA,0
candidate_unadapted,10014790,NA,0
candidate_unadapted,10014800,NA,0
candidate_unadapted,10014810,NA,0
candidate_unadapted,10014830,NA,0
candidate_unadapted,10014840,NA,0
candidate_unadapted,10014860,NA,0
candidate_unadapted,10014930,NA,0
candidate_unadapted,10014940,NA,0
candidate_unadapted,10014950,NA,0
candidate_unadapted,10014960,NA,0
candidate_unadapted,10014980,NA,0
candidate_unadapted,10014990,NA,0
candidate_adapted,NA,NA,0
candidate_adapted,10000080,34,0
candidate_adapted,10000100,31,0
candidate_adapted,10000110,35,0
candidate_adapted,10000130,45,0
candidate_adapted,10000160,28,0
candidate_adapted,10000250,65,0
candidate_adapted,10000270,62,0
candidate_adapted,10000310,63,0
candidate_adapted,10000380,23,0
candidate_adapted,10000400,25,0
candidate_adapted,10000440,28,0
candidate_adapted,10000460,NA,0
candidate_adapted,10000500,54,0
candidate_adapted,10000510,47,0
candidate_adapted,10000520,50,0
candidate_adapted,10000570,81,0
candidate_adapted,10000571,49,0
candidate_adapted,10000590,46,0
candidate_adapted,10000610,45,0
candidate_adapted,10000630,48,0
candidate_adapted,10000650,29,0
candidate_adapted,10000670,29,0
candidate_adapted,10000710,66,0
candidate_adapted,10000740,50,0
candidate_adapted,10000760,62,0
candidate_adapted,10000800,27,0
candidate_adapted,10000830,37,0
