HHID	group1	group2
220607	24.0	7.0
220610	12.0	22.0
220903	4.0	7.0
220904	19.0	24.0
220912	13.0	13.0
220913	21.0	11.0
230101	21.0	16.0
230104	18.0	5.0
230105	20.0	9.0
230110	7.0	25.0
230402	4.0	5.0
230406	21.0	24.0
230408	10.0	18.0
230410	12.0	22.0
230507	5.0	16.0
230508	17.0	19.0
230510	20.0	18.0
230604	21.0	23.0
230605	19.0	5.0
230609	23.0	7.0
230610	3.0	22.0
230704	23.0	23.0
230705	16.0	21.0
230708	20.0	7.0
230710	1.0	24.0
240301	24.0	13.0
240302	2.0	23.0
240308	9.0	1.0
240310	11.0	4.0
240401	16.0	25.0
240404	9.0	17.0
240412	16.0	2.0
240413	2.0	18.0
240507	22.0	15.0
240508	9.0	24.0
240511	8.0	18.0
240514	4.0	8.0
240601	11.0	1.0
240605	10.0	14.0
240607	4.0	20.0
240612	24.0	6.0
240801	21.0	20.0
240803	3.0	4.0
240805	24.0	24.0
240806	18.0	4.0
250104	13.0	16.0
250106	10.0	22.0
250108	14.0	17.0
250111	1.0	18.0
250402	18.0	8.0
250406	24.0	2.0
250503	3.0	18.0
250505	19.0	24.0
250508	20.0	12.0
250510	1.0	24.0
250601	24.0	6.0
250604	7.0	23.0
250612	25.0	11.0
250613	8.0	2.0
250802	3.0	8.0
250804	7.0	14.0
250807	16.0	4.0
250811	11.0	16.0
260103	19.0	15.0
260105	23.0	2.0
260107	25.0	17.0
260110	9.0	7.0
260203	13.0	14.0
260209	24.0	17.0
260210	14.0	17.0
260211	10.0	3.0
260503	2.0	19.0
260504	10.0	10.0
260507	5.0	8.0
260508	13.0	1.0
260706	13.0	12.0
260709	13.0	23.0
260710	11.0	9.0
260712	15.0	15.0
260902	21.0	17.0
260903	12.0	21.0
260907	2.0	3.0
260911	24.0	23.0
270301	10.0	2.0
270304	7.0	11.0
270308	2.0	1.0
270309	7.0	14.0
270403	3.0	8.0
270404	11.0	8.0
270407	18.0	9.0
270602	8.0	17.0
270603	6.0	13.0
270606	21.0	10.0
270608	9.0	4.0
270802	25.0	14.0
270806	10.0	25.0
270810	23.0	8.0
270813	11.0	15.0
270902	8.0	11.0
270904	7.0	14.0
270906	18.0	21.0
270908	20.0	17.0
280103	12.0	10.0
280104	18.0	13.0
280107	9.0	14.0
280111	13.0	7.0
280302	9.0	8.0
280306	20.0	13.0
280307	15.0	18.0
280310	8.0	10.0
280401	22.0	1.0
280404	4.0	22.0
280408	16.0	11.0
280410	21.0	3.0
280701	9.0	11.0
280702	22.0	14.0
280708	9.0	5.0
280710	21.0	6.0
281001	13.0	20.0
281003	5.0	19.0
281006	25.0	9.0
281008	8.0	3.0
290103	7.0	1.0
290106	17.0	19.0
290107	4.0	7.0
290110	15.0	9.0
290401	14.0	23.0
290404	10.0	11.0
290405	23.0	18.0
290408	8.0	17.0
290701	3.0	19.0
290707	18.0	15.0
290710	19.0	14.0
290903	25.0	25.0
290905	4.0	18.0
290908	9.0	2.0
290909	6.0	8.0
291001	9.0	20.0
291010	6.0	3.0
291011	8.0	5.0
291012	3.0	3.0
300205	5.0	8.0
300208	9.0	4.0
300210	8.0	5.0
300304	5.0	15.0
300310	1.0	6.0
300708	25.0	15.0
300710	19.0	3.0
300801	12.0	4.0
300802	17.0	18.0
300807	12.0	16.0
300809	5.0	5.0
301003	15.0	17.0
301005	16.0	14.0
301006	6.0	16.0
301010	18.0	25.0
