source_row,caseid,historical_sample,addfac1,reduce1,addfac2,reduce2,historical_post,candidate_post
146,30001460,TRUE,8,8,10,10,1,1
147,30001470,TRUE,10,10,1,0,0,0.05
148,30001480,TRUE,10,10,10,10,1,1
149,30001490,TRUE,7,7,5,10,1,0.75
150,30001500,TRUE,9,0,7,9,0.9,0.8
151,30001510,TRUE,10,10,10,10,1,1
152,30001520,TRUE,10,10,10,10,1,1
153,30001530,TRUE,10,6,7,8,0.8,0.75
154,30001540,TRUE,10,10,10,5,0.5,0.75
155,30001550,TRUE,NA,10,5,8,0.8,0.65
156,30001560,TRUE,10,10,9,10,1,0.95
157,30001570,TRUE,10,10,10,10,1,1
158,30001580,TRUE,10,0,6,7,0.7,0.65
159,30001590,TRUE,4,7,8,10,1,0.9
160,30001600,TRUE,9,8,10,9,0.9,0.95
161,30001610,TRUE,8,8,10,8,0.8,0.9
162,30001620,TRUE,10,10,6,8,0.8,0.7
163,30001630,TRUE,9,10,10,10,1,1
164,30001640,TRUE,7,7,7,10,1,0.85
165,30001650,TRUE,10,10,10,10,1,1
166,30001660,TRUE,10,10,0,7,0.7,0.35
167,30001670,TRUE,9,10,10,5,0.5,0.75
168,30001680,TRUE,8,8,10,8,0.8,0.9
169,30001690,TRUE,8,10,10,10,1,1
170,30001700,TRUE,9,8,10,10,1,1
171,30001710,TRUE,8,8,10,10,1,1
172,30001720,TRUE,NA,NA,7,6,0.6,0.65
173,30001730,TRUE,10,8,9,10,1,0.95
174,30001740,TRUE,8,5,8,10,1,0.9
175,30001750,TRUE,2,10,6,10,1,0.8
176,30001760,TRUE,8,8,7,9,0.9,0.8
177,30001770,TRUE,6,8,8,10,1,0.9
178,30001780,TRUE,10,10,10,10,1,1
179,30001790,TRUE,10,5,9,9,0.9,0.9
180,30001800,TRUE,5,10,8,10,1,0.9
181,30001810,TRUE,10,10,7,10,1,0.85
182,30001820,TRUE,9,8,10,9,0.9,0.95
183,30001830,TRUE,9,10,10,9,0.9,0.95
184,30001840,TRUE,8,7,10,9,0.9,0.95
185,30001850,TRUE,10,10,10,8,0.8,0.9
186,30001860,TRUE,10,0,8,8,0.8,0.8
187,30001870,TRUE,5,5,5,9,0.9,0.7
188,30001880,TRUE,5,5,4,8,0.8,0.6
189,30001890,TRUE,7,9,10,10,1,1
190,30001900,TRUE,10,10,10,10,1,1
191,30001910,TRUE,10,10,3,10,1,0.65
192,30001920,TRUE,5,7,8,10,1,0.9
193,30001930,TRUE,10,10,10,10,1,1
194,30001940,TRUE,7,5,7,6,0.6,0.65
195,30001950,TRUE,10,10,10,10,1,1
196,30001960,TRUE,10,10,10,10,1,1
197,30001970,TRUE,8,10,7,9,0.9,0.8
198,30001980,TRUE,10,10,10,10,1,1
199,30001990,TRUE,10,10,10,9,0.9,0.95
200,30002000,TRUE,10,10,10,8,0.8,0.9
201,30002010,TRUE,2,10,8,5,0.5,0.65
202,30002020,TRUE,10,10,9,10,1,0.95
203,30002030,TRUE,10,8,10,10,1,1
204,30002040,TRUE,5,5,6,10,1,0.8
205,30002050,TRUE,5,5,5,10,1,0.75
206,30002060,TRUE,8,5,10,10,1,1
207,30002070,TRUE,9,5,10,9,0.9,0.95
208,30002080,TRUE,10,10,9,NA,0.5,0.9
209,30002090,TRUE,9,9,NA,10,1,1
210,30002100,TRUE,3,5,8,8,0.8,0.8
211,30002110,TRUE,7,5,10,8,0.8,0.9
212,30002120,TRUE,10,7,8,10,1,0.9
213,30002130,TRUE,9,9,10,9,0.9,0.95
214,30002140,TRUE,10,10,10,10,1,1
215,30002150,TRUE,9,10,10,9,0.9,0.95
216,30002160,TRUE,10,10,9,10,1,0.95
217,30002170,TRUE,10,10,10,10,1,1
218,30002180,TRUE,10,10,8,5,0.5,0.65
219,30002190,TRUE,5,10,7,10,1,0.85
220,30002200,TRUE,10,4,8,8,0.8,0.8
221,30002210,TRUE,10,10,10,10,1,1
222,30002220,TRUE,9,6,10,8,0.8,0.9
223,30002230,TRUE,9,9,9,9,0.9,0.9
224,30002240,TRUE,7,8,0,10,1,0.5
225,30002250,TRUE,5,10,10,10,1,1
226,30002260,TRUE,3,10,8,10,1,0.9
227,30002270,TRUE,7,5,8,7,0.7,0.75
228,30002280,TRUE,8,8,9,8,0.8,0.85
229,30002290,TRUE,10,8,5,6,0.6,0.55
230,30002300,TRUE,10,10,10,10,1,1
231,30002310,TRUE,5,10,10,10,1,1
232,30002320,TRUE,6,10,10,9,0.9,0.95
233,30002330,FALSE,8,8,NA,NA,0.5,0.5
234,30002340,FALSE,NA,5,NA,NA,0.5,0.5
235,30002350,FALSE,10,8,NA,NA,0.5,0.5
236,30002360,FALSE,7,8,NA,NA,0.5,0.5
237,30002370,FALSE,8,7,NA,NA,0.5,0.5
238,30002380,FALSE,10,10,NA,NA,0.5,0.5
239,30002390,FALSE,10,8,NA,NA,0.5,0.5
240,30002400,FALSE,6,8,NA,NA,0.5,0.5
241,30002410,FALSE,10,8,NA,NA,0.5,0.5
242,30002420,FALSE,6,8,NA,NA,0.5,0.5
243,30002430,FALSE,5,5,NA,NA,0.5,0.5
244,30002440,FALSE,7,7,NA,NA,0.5,0.5
245,30002450,FALSE,10,10,NA,NA,0.5,0.5
246,30002460,FALSE,NA,5,NA,NA,0.5,0.5
247,30002470,FALSE,10,10,NA,NA,0.5,0.5
248,30002480,FALSE,7,10,NA,NA,0.5,0.5
249,30002490,FALSE,10,10,NA,NA,0.5,0.5
250,30002500,FALSE,NA,10,NA,NA,0.5,0.5
251,30002510,FALSE,10,10,NA,NA,0.5,0.5
252,30002520,FALSE,NA,10,NA,NA,0.5,0.5
253,30002530,FALSE,4,5,NA,NA,0.5,0.5
254,30002540,FALSE,10,10,NA,NA,0.5,0.5
255,30002550,FALSE,7,7,NA,NA,0.5,0.5
256,30002560,FALSE,10,8,NA,NA,0.5,0.5
257,30002570,FALSE,7,10,NA,NA,0.5,0.5
258,30002580,FALSE,NA,1,NA,NA,0.5,0.5
259,30002590,FALSE,10,3,NA,NA,0.5,0.5
260,30002600,FALSE,9,7,NA,NA,0.5,0.5
261,30002610,FALSE,10,10,NA,NA,0.5,0.5
262,30002620,FALSE,7,7,NA,NA,0.5,0.5
263,30002630,FALSE,8,10,NA,NA,0.5,0.5
264,30002640,FALSE,5,4,NA,NA,0.5,0.5
265,30002650,FALSE,10,10,NA,NA,0.5,0.5
266,30002660,FALSE,10,10,NA,NA,0.5,0.5
267,30002670,FALSE,10,10,NA,NA,0.5,0.5
268,30002680,FALSE,10,10,NA,NA,0.5,0.5
269,30002690,FALSE,9,5,NA,NA,0.5,0.5
270,30002700,FALSE,NA,5,NA,NA,0.5,0.5
271,30002710,FALSE,7,6,NA,NA,0.5,0.5
272,30002720,FALSE,NA,5,NA,NA,0.5,0.5
273,30002730,FALSE,10,10,NA,NA,0.5,0.5
274,30002740,FALSE,9,9,NA,NA,0.5,0.5
275,30002750,FALSE,8,10,NA,NA,0.5,0.5
276,30002760,FALSE,10,10,NA,NA,0.5,0.5
277,30002770,FALSE,8,9,NA,NA,0.5,0.5
278,30002780,FALSE,8,8,NA,NA,0.5,0.5
279,30002790,FALSE,10,10,NA,NA,0.5,0.5
280,30002800,FALSE,9,10,NA,NA,0.5,0.5
281,30002810,FALSE,10,5,NA,NA,0.5,0.5
282,30002820,FALSE,7,8,NA,NA,0.5,0.5
283,30002830,FALSE,5,6,NA,NA,0.5,0.5
284,30002840,FALSE,NA,10,NA,NA,0.5,0.5
285,30002850,FALSE,10,10,NA,NA,0.5,0.5
286,30002860,FALSE,7,8,NA,NA,0.5,0.5
287,30002870,FALSE,5,6,NA,NA,0.5,0.5
288,30002880,FALSE,0,NA,NA,NA,0.5,0.5
289,30002890,FALSE,10,7,NA,NA,0.5,0.5
290,30002900,FALSE,5,10,NA,NA,0.5,0.5
291,30002910,FALSE,10,10,NA,NA,0.5,0.5
292,30002920,FALSE,8,9,NA,NA,0.5,0.5
293,30002930,FALSE,10,10,NA,NA,0.5,0.5
294,30002940,FALSE,NA,NA,NA,NA,0.5,0.5
295,30002950,FALSE,5,5,NA,NA,0.5,0.5
296,30002960,FALSE,8,9,NA,NA,0.5,0.5
297,30002970,FALSE,0,0,NA,NA,0.5,0.5
298,30002980,FALSE,8,5,NA,NA,0.5,0.5
299,30002990,FALSE,NA,10,NA,NA,0.5,0.5
300,30003000,FALSE,10,10,NA,NA,0.5,0.5
301,30003010,FALSE,10,10,NA,NA,0.5,0.5
302,30003020,FALSE,10,1,NA,NA,0.5,0.5
303,30003030,FALSE,10,10,NA,NA,0.5,0.5
304,30003040,FALSE,10,10,NA,NA,0.5,0.5
305,30003050,FALSE,7,5,NA,NA,0.5,0.5
306,30003060,FALSE,NA,8,NA,NA,0.5,0.5
307,30003070,FALSE,8,9,NA,NA,0.5,0.5
308,30003080,FALSE,8,6,NA,NA,0.5,0.5
309,30003090,FALSE,8,10,NA,NA,0.5,0.5
310,30003100,FALSE,6,8,NA,NA,0.5,0.5
311,30003110,FALSE,8,10,NA,NA,0.5,0.5
312,30003120,FALSE,6,5,NA,NA,0.5,0.5
313,30003130,FALSE,10,10,NA,NA,0.5,0.5
314,30003140,FALSE,10,8,NA,NA,0.5,0.5
315,30003150,FALSE,10,10,NA,NA,0.5,0.5
316,30003160,FALSE,10,10,NA,NA,0.5,0.5
317,30003170,FALSE,6,6,NA,NA,0.5,0.5
318,30003180,FALSE,9,8,NA,NA,0.5,0.5
319,30003190,FALSE,4,10,NA,NA,0.5,0.5
320,30003200,FALSE,5,8,NA,NA,0.5,0.5
321,30003210,FALSE,10,8,NA,NA,0.5,0.5
322,30003220,FALSE,9,9,NA,NA,0.5,0.5
323,30003230,FALSE,10,10,NA,NA,0.5,0.5
324,30003240,FALSE,NA,10,NA,NA,0.5,0.5
325,30003250,FALSE,7,8,NA,NA,0.5,0.5
326,30003260,FALSE,10,10,NA,NA,0.5,0.5
327,30003270,FALSE,5,5,NA,NA,0.5,0.5
328,30003280,FALSE,10,10,NA,NA,0.5,0.5
329,30003290,FALSE,NA,10,NA,NA,0.5,0.5
330,30003300,FALSE,3,6,NA,NA,0.5,0.5
331,30003310,FALSE,9,10,NA,NA,0.5,0.5
332,30003320,FALSE,NA,NA,NA,NA,0.5,0.5
333,30003330,FALSE,NA,10,NA,NA,0.5,0.5
334,30003340,FALSE,10,10,NA,NA,0.5,0.5
335,30003350,FALSE,7,8,NA,NA,0.5,0.5
336,30003360,FALSE,7,5,NA,NA,0.5,0.5
337,30003370,FALSE,8,7,NA,NA,0.5,0.5
338,30003380,FALSE,10,8,NA,NA,0.5,0.5
339,30003390,FALSE,9,9,NA,NA,0.5,0.5
340,30003400,FALSE,1,10,NA,NA,0.5,0.5
341,30003410,FALSE,10,10,NA,NA,0.5,0.5
342,30003420,FALSE,5,8,NA,NA,0.5,0.5
343,30003430,FALSE,10,10,NA,NA,0.5,0.5
344,30003440,FALSE,6,5,NA,NA,0.5,0.5
345,30003450,FALSE,7,10,NA,NA,0.5,0.5
346,30003460,FALSE,8,10,NA,NA,0.5,0.5
347,30003470,FALSE,10,10,NA,NA,0.5,0.5
348,30003480,FALSE,5,5,NA,NA,0.5,0.5
349,30003490,FALSE,9,2,NA,NA,0.5,0.5
350,30003500,FALSE,NA,8,NA,NA,0.5,0.5
351,30003510,FALSE,9,9,NA,NA,0.5,0.5
352,30003520,FALSE,10,10,NA,NA,0.5,0.5
353,30003530,FALSE,6,10,NA,NA,0.5,0.5
354,30003540,FALSE,10,9,NA,NA,0.5,0.5
355,30003550,FALSE,NA,6,NA,NA,0.5,0.5
356,30003560,FALSE,8,8,NA,NA,0.5,0.5
357,30003570,FALSE,8,8,NA,NA,0.5,0.5
358,30003580,FALSE,6,7,NA,NA,0.5,0.5
359,30003590,FALSE,10,10,NA,NA,0.5,0.5
360,30003600,FALSE,10,8,NA,NA,0.5,0.5
361,30003610,FALSE,10,10,NA,NA,0.5,0.5
362,30003620,FALSE,10,10,NA,NA,0.5,0.5
363,30003630,FALSE,8,5,NA,NA,0.5,0.5
364,30003640,FALSE,8,10,NA,NA,0.5,0.5
365,30003650,FALSE,10,10,NA,NA,0.5,0.5
366,30003660,FALSE,10,10,NA,NA,0.5,0.5
367,30003670,FALSE,5,7,NA,NA,0.5,0.5
368,30003680,FALSE,5,10,NA,NA,0.5,0.5
369,30003690,FALSE,7,7,NA,NA,0.5,0.5
370,30003700,FALSE,5,NA,NA,NA,0.5,0.5
371,30003710,FALSE,10,10,NA,NA,0.5,0.5
372,30003720,FALSE,5,5,NA,NA,0.5,0.5
373,30003730,FALSE,7,10,NA,NA,0.5,0.5
374,30003740,FALSE,7,8,NA,NA,0.5,0.5
375,30003750,FALSE,7,4,NA,NA,0.5,0.5
376,30003760,FALSE,6,6,NA,NA,0.5,0.5
377,30003770,FALSE,9,10,NA,NA,0.5,0.5
378,30003780,FALSE,10,10,NA,NA,0.5,0.5
379,30003790,FALSE,7,8,NA,NA,0.5,0.5
380,30003800,FALSE,5,5,NA,NA,0.5,0.5
381,30003810,FALSE,7,10,NA,NA,0.5,0.5
382,30003820,FALSE,10,7,NA,NA,0.5,0.5
383,30003830,FALSE,5,8,NA,NA,0.5,0.5
384,30003840,FALSE,10,10,NA,NA,0.5,0.5
385,30003850,FALSE,10,10,NA,NA,0.5,0.5
386,30003860,FALSE,8,7,NA,NA,0.5,0.5
387,30003870,FALSE,10,5,NA,NA,0.5,0.5
388,30003880,FALSE,10,10,NA,NA,0.5,0.5
389,30003890,FALSE,5,8,NA,NA,0.5,0.5
390,30003900,FALSE,8,10,NA,NA,0.5,0.5
391,30003910,FALSE,9,7,NA,NA,0.5,0.5
392,30003920,FALSE,NA,10,NA,NA,0.5,0.5
393,30003930,FALSE,10,10,NA,NA,0.5,0.5
394,30003940,FALSE,8,10,NA,NA,0.5,0.5
395,30003950,FALSE,10,10,NA,NA,0.5,0.5
396,30003960,FALSE,10,10,NA,NA,0.5,0.5
397,30003970,FALSE,8,10,NA,NA,0.5,0.5
398,30003980,FALSE,10,10,NA,NA,0.5,0.5
399,30003990,FALSE,6,8,NA,NA,0.5,0.5
400,30004000,FALSE,4,8,NA,NA,0.5,0.5
401,30004010,FALSE,8,9,NA,NA,0.5,0.5
402,30004020,FALSE,0,0,NA,NA,0.5,0.5
403,30004030,FALSE,10,5,NA,NA,0.5,0.5
404,30004040,FALSE,9,10,NA,NA,0.5,0.5
405,30004050,FALSE,10,10,NA,NA,0.5,0.5
406,30004060,FALSE,5,2,NA,NA,0.5,0.5
407,30004070,FALSE,NA,10,NA,NA,0.5,0.5
408,30004080,FALSE,NA,NA,NA,NA,0.5,0.5
409,30004090,FALSE,8,10,NA,NA,0.5,0.5
410,30004100,FALSE,10,10,NA,NA,0.5,0.5
411,30004110,FALSE,6,8,NA,NA,0.5,0.5
412,30004120,FALSE,8,10,NA,NA,0.5,0.5
413,30004130,FALSE,7,6,NA,NA,0.5,0.5
414,30004140,FALSE,10,10,NA,NA,0.5,0.5
415,30004150,FALSE,8,9,NA,NA,0.5,0.5
416,30004160,FALSE,10,10,NA,NA,0.5,0.5
417,30004170,FALSE,6,9,NA,NA,0.5,0.5
418,30004180,FALSE,10,8,NA,NA,0.5,0.5
419,30004190,FALSE,5,10,NA,NA,0.5,0.5
420,30004200,FALSE,10,5,NA,NA,0.5,0.5
421,30004210,FALSE,6,10,NA,NA,0.5,0.5
422,30004220,FALSE,NA,7,NA,NA,0.5,0.5
423,30004230,FALSE,8,9,NA,NA,0.5,0.5
424,30004240,FALSE,8,9,NA,NA,0.5,0.5
425,30004250,FALSE,8,10,NA,NA,0.5,0.5
426,30004260,FALSE,8,8,NA,NA,0.5,0.5
427,30004270,FALSE,5,6,NA,NA,0.5,0.5
428,30004280,FALSE,8,8,NA,NA,0.5,0.5
429,30004290,FALSE,5,10,NA,NA,0.5,0.5
430,30004300,FALSE,5,10,NA,NA,0.5,0.5
431,30004310,FALSE,3,8,NA,NA,0.5,0.5
432,30004320,FALSE,10,NA,NA,NA,0.5,0.5
433,30004330,FALSE,5,7,NA,NA,0.5,0.5
434,30004340,FALSE,8,5,NA,NA,0.5,0.5
435,30004350,FALSE,10,10,NA,NA,0.5,0.5
436,30004360,FALSE,8,5,NA,NA,0.5,0.5
437,30004370,FALSE,10,10,NA,NA,0.5,0.5
438,30004380,FALSE,8,9,NA,NA,0.5,0.5
439,30004390,FALSE,5,10,NA,NA,0.5,0.5
440,30004400,FALSE,10,5,NA,NA,0.5,0.5
441,30004410,FALSE,8,5,NA,NA,0.5,0.5
442,30004420,FALSE,8,10,NA,NA,0.5,0.5
443,30004430,FALSE,10,10,NA,NA,0.5,0.5
444,30004440,FALSE,3,10,NA,NA,0.5,0.5
445,30004450,FALSE,5,10,NA,NA,0.5,0.5
446,30004460,FALSE,8,7,NA,NA,0.5,0.5
447,30004470,FALSE,10,10,NA,NA,0.5,0.5
448,30004480,FALSE,5,8,NA,NA,0.5,0.5
449,30004490,FALSE,10,10,NA,NA,0.5,0.5
450,30004500,FALSE,10,10,NA,NA,0.5,0.5
451,30004510,FALSE,9,6,NA,NA,0.5,0.5
452,30004520,FALSE,8,10,NA,NA,0.5,0.5
453,30004530,FALSE,10,8,NA,NA,0.5,0.5
454,30004540,FALSE,10,10,NA,NA,0.5,0.5
455,30004550,FALSE,8,8,NA,NA,0.5,0.5
456,30004560,FALSE,7,10,NA,NA,0.5,0.5
457,30004570,FALSE,8,9,NA,NA,0.5,0.5
458,30004580,FALSE,10,10,NA,NA,0.5,0.5
459,30004590,FALSE,6,5,NA,NA,0.5,0.5
460,30004600,FALSE,6,5,NA,NA,0.5,0.5
461,30004610,FALSE,10,10,NA,NA,0.5,0.5
462,30004620,FALSE,4,9,NA,NA,0.5,0.5
463,30004630,FALSE,10,9,NA,NA,0.5,0.5
464,30004640,FALSE,7,6,NA,NA,0.5,0.5
465,30004650,FALSE,NA,8,NA,NA,0.5,0.5
466,30004660,FALSE,7,NA,NA,NA,0.5,0.5
467,30004670,FALSE,5,5,NA,NA,0.5,0.5
468,30004680,FALSE,4,5,NA,NA,0.5,0.5
469,30004690,FALSE,8,9,NA,NA,0.5,0.5
470,30004700,FALSE,6,8,NA,NA,0.5,0.5
471,30004710,FALSE,5,8,NA,NA,0.5,0.5
472,30004720,FALSE,10,9,NA,NA,0.5,0.5
473,30004730,FALSE,8,10,NA,NA,0.5,0.5
474,30004740,FALSE,5,10,NA,NA,0.5,0.5
475,30004750,FALSE,10,10,NA,NA,0.5,0.5
476,30004760,FALSE,10,10,NA,NA,0.5,0.5
477,30004770,FALSE,10,10,NA,NA,0.5,0.5
478,30004780,FALSE,7,7,NA,NA,0.5,0.5
479,30004790,FALSE,10,10,NA,NA,0.5,0.5
480,30004800,FALSE,8,8,NA,NA,0.5,0.5
481,30004810,FALSE,NA,9,NA,NA,0.5,0.5
482,30004820,FALSE,10,10,NA,NA,0.5,0.5
483,30004830,FALSE,10,10,NA,NA,0.5,0.5
484,30004840,FALSE,10,10,NA,NA,0.5,0.5
485,30004850,FALSE,10,10,NA,NA,0.5,0.5
486,30004860,FALSE,10,5,NA,NA,0.5,0.5
487,30004870,FALSE,7,7,NA,NA,0.5,0.5
488,30004880,FALSE,8,10,NA,NA,0.5,0.5
489,30004890,FALSE,10,10,NA,NA,0.5,0.5
490,30004900,FALSE,10,8,NA,NA,0.5,0.5
491,30004910,FALSE,NA,10,NA,NA,0.5,0.5
492,30004920,FALSE,10,9,NA,NA,0.5,0.5
493,30004930,FALSE,10,10,NA,NA,0.5,0.5
494,30004940,FALSE,NA,10,NA,NA,0.5,0.5
495,30004950,FALSE,5,8,NA,NA,0.5,0.5
496,30004960,FALSE,8,8,NA,NA,0.5,0.5
497,30004970,FALSE,4,5,NA,NA,0.5,0.5
498,30004980,FALSE,5,NA,NA,NA,0.5,0.5
499,30004990,FALSE,4,6,NA,NA,0.5,0.5
500,30005000,FALSE,9,10,NA,NA,0.5,0.5
501,30005010,FALSE,10,8,NA,NA,0.5,0.5
502,30005020,FALSE,10,10,NA,NA,0.5,0.5
503,30005030,FALSE,10,5,NA,NA,0.5,0.5
504,30005040,FALSE,8,8,NA,NA,0.5,0.5
505,30005050,FALSE,10,10,NA,NA,0.5,0.5
506,30005060,FALSE,1,5,NA,NA,0.5,0.5
507,30005070,FALSE,8,10,NA,NA,0.5,0.5
