legacy_field,caseid,historical_value,approved_value
swp.t2att3,30002250,1,1
swp.t2att3,30002260,1,0.9
swp.t2att3,30002270,0.7,0.75
swp.t2att3,30002280,0.8,0.85
swp.t2att3,30002290,0.6,0.55
swp.t2att3,30002300,1,1
swp.t2att3,30002310,1,1
swp.t2att3,30002320,0.9,0.95
attextreme,30000010,1.2653061224489801,0.236734693877551
attextreme,30000020,0.35714285714285698,0.35714285714285715
attextreme,30000030,0.82426303854875305,0.18140589569160998
attextreme,30000040,1.3045351473922899,0.27596371882086168
attextreme,30000050,1.6071428571428601,0.32142857142857145
attextreme,30000060,1.0188208616779999,0.24739229024943313
attextreme,30000070,1.18004535147392,0.2800453514739229
attextreme,30000080,0.53265306122448997,0.36122448979591842
attextreme,30000090,1.61156462585034,0.32585034013605441
attextreme,30000100,1.75,0.4642857142857143
attextreme,30000110,1.34206349206349,0.31349206349206354
attextreme,30000120,1.6142857142857101,0.45714285714285718
attextreme,30000130,0.94285714285714295,0.29999999999999999
attextreme,30000140,1.6428571428571399,0.35714285714285715
attextreme,30000150,0.62448979591836695,0.29591836734693872
attextreme,30000160,1.59897959183673,0.31326530612244902
attextreme,30000170,1.61530612244898,0.32959183673469383
attextreme,30000180,0.94897959183673497,0.30612244897959184
attextreme,30000190,0.45918367346938799,0.45918367346938777
attextreme,30000200,1.59852607709751,0.31281179138321996
attextreme,30000210,1.07766439909297,0.17766439909297052
attextreme,30000220,1.09013605442177,0.19013605442176867
attextreme,30000230,0.93469387755101996,0.29183673469387755
attextreme,30000240,1.4448979591836699,0.41632653061224495
attextreme,30000250,1.36326530612245,0.33469387755102042
attextreme,30000260,0.99183673469387801,0.34897959183673471
attextreme,30000270,0.77755102040816304,0.13469387755102041
attextreme,30000280,1.1806122448979599,0.28061224489795916
attextreme,30000290,1.58673469387755,0.30102040816326531
attextreme,30000300,1.30918367346939,0.28061224489795922
attextreme,30000310,1.2918367346938799,0.26326530612244897
attextreme,30000320,0.70204081632653104,0.21632653061224488
attextreme,30000330,0.61882086167800499,0.1331065759637188
attextreme,30000340,0.92857142857142905,0.2857142857142857
attextreme,30000350,1.55714285714286,0.39999999999999997
attextreme,30000360,0.88888888888888895,0.24603174603174605
attextreme,30000370,1.01428571428571,0.24285714285714288
attextreme,30000380,1.3571428571428601,0.45714285714285718
attextreme,30000390,0.84807256235827699,0.20521541950113378
attextreme,30000400,1.75714285714286,0.47142857142857142
attextreme,30000410,1.2075963718820899,0.1790249433106576
attextreme,30000420,0.82902494331065801,0.18616780045351472
attextreme,30000430,1.04897959183673,0.27755102040816326
attextreme,30000440,1.2132653061224501,0.31326530612244902
attextreme,30000450,1.3170068027210899,0.28843537414965986
attextreme,30000460,1.58673469387755,0.30102040816326525
attextreme,30000470,1.0185941043083899,0.24716553287981857
attextreme,30000480,1.2653061224489801,0.236734693877551
attextreme,30000490,1.12800453514739,0.22800453514739227
attextreme,30000500,1.21938775510204,0.19081632653061226
attextreme,30000510,1.6020408163265301,0.31632653061224492
attextreme,30000520,1.5283446712018101,0.24263038548752838
attextreme,30000530,1.75714285714286,0.47142857142857142
attextreme,30000540,0.977551020408163,0.33469387755102042
attextreme,30000550,0.42188208616779999,0.250453514739229
attextreme,30000560,1.3673469387755099,0.33877551020408164
attextreme,30000570,0.79081632653061196,0.14795918367346936
attextreme,30000580,0.27346938775510199,0.27346938775510204
attextreme,30000590,1.40816326530612,0.37959183673469388
attextreme,30000600,1.5714285714285701,0.2857142857142857
attextreme,30000610,1.3428571428571401,0.31428571428571433
attextreme,30000620,1.6142857142857101,0.32857142857142857
attextreme,30000630,0.86326530612244901,0.2204081632653061
attextreme,30000640,1.5857142857142901,0.42857142857142855
attextreme,30000650,1.3642857142857101,0.33571428571428574
attextreme,30000660,1.0510204081632699,0.40816326530612246
attextreme,30000670,1.04285714285714,0.39999999999999997
attextreme,30000680,1.21950113378685,0.19092970521541952
attextreme,30000690,0.99285714285714299,0.22142857142857139
attextreme,30000700,1.71428571428571,0.42857142857142855
attextreme,30000710,0.76553287981859397,0.12267573696145125
attextreme,30000720,0.74444444444444402,0.10158730158730159
attextreme,30000730,1.09557823129252,0.195578231292517
attextreme,30000740,1.67823129251701,0.39251700680272111
attextreme,30000750,1.2994331065759599,0.27086167800453514
