source_column,storage_type,source_class,parquet_type,variable_label,source_format,missing_values,missing_range,public,publication_note
STSOL1,double,numeric,,"Pre: Short Term w/Greater Flex (WT,SWEPC",%8.0g,,,TRUE,Retained
LTSOL1,double,numeric,,"Pre: Long Term w/Greater Pred (WT,SWEPCO",%8.0g,,,TRUE,Retained
WINTER1,double,numeric,,Pre: Rs Winter Electricity Costs,%8.0g,,,TRUE,Retained
SUMMER1,double,numeric,,Pre: Rs Summer Electricity Costs,%8.0g,,,TRUE,Retained
WIND1,double,numeric,,Pre: Wind and Solar Power,%8.0g,,,TRUE,Retained
ADDFAC1,double,numeric,,Pre: Reduce Need for Add Electric Facili,%8.0g,,,TRUE,Retained
FUELS1,double,numeric,,"Pre: Fuels Like Natl Gas, Coal",%8.0g,,,TRUE,Retained
BUYPWR1,double,numeric,,Pre: Build Facilities/Buy Pwr from Elsew,%8.0g,,,TRUE,Retained
ENVPCT1,double,numeric,,Pre: Additional Environmental Protection,%8.0g,,,TRUE,Retained
BUILD1,double,numeric,,"Pre: Building a Power Plant in [WT,SWEPC",%8.0g,,,TRUE,Retained
PAYWND1,double,numeric,,Pre: How Much Pay: Wind and Solar,%8.0g,,,TRUE,Retained
PAYFAC1,double,numeric,,Pre: How Much Pay: Reduce Need Add Facil,%8.0g,,,TRUE,Retained
PAYGAS1,double,numeric,,"Pre: How Much Pay: Fuels Like Nat Gas, C",%8.0g,,,TRUE,Retained
PAYBUY1,double,numeric,,Pre: How Much Pay: Buy Power from Elsewh,%8.0g,,,TRUE,Retained
PAYENV1,double,numeric,,Pre: How Much Pay: Addl Environment Prot,%8.0g,,,TRUE,Retained
PAYBLD1,double,numeric,,"Pre: How Much Pay: Build Plant in [WT,SW",%8.0g,,,TRUE,Retained
PAYTOT1,double,numeric,,Pre: How Much Pay: Total,%8.0g,,,TRUE,Retained
CNTRCT1,double,numeric,,"Pre: Contract Length if Import Pwr (WT,S",%8.0g,,,TRUE,Retained
SOURCE1,double,numeric,,Pre: Which Source Produces CPLs Electric,%8.0g,,,TRUE,Retained
KNOWA1,double,numeric,,Did R Answer SOURCE1 Correctly?,%8.0g,,,TRUE,Retained
USE1,double,numeric,,Pre: Which Group Uses Most Electricity,%8.0g,,,TRUE,Retained
KNOWB1,double,numeric,,Did R Answer USE1 Correctly?,%8.0g,,,TRUE,Retained
RT1,double,numeric,,Pre: Which Group Pays Highest Rate,%8.0g,,,TRUE,Retained
KNOWC1,double,numeric,,Did R Answer RT1 Correctly?,%8.0g,,,TRUE,Retained
SMOG1,double,numeric,,Pre: Which Causes The Most Air Emisssion,%8.0g,,,TRUE,Retained
KNOWD1,double,numeric,,Did R Answer SMOG1 Correctly?,%8.0g,,,TRUE,Retained
PROFIT1,double,numeric,,Pre: Utility Profit on Fuel (CPL),%8.0g,,,TRUE,Retained
KNOWF1,double,numeric,,Did R Answer PROFIT1 Correctly? (CPL),%8.0g,,,TRUE,Retained
SETRT1,double,numeric,,Pre: Agency That Sets Elec Rate (open en,%8.0g,,,TRUE,Retained
KNOWE1,double,numeric,,Did R Answer SETRT1 Correctly?,%8.0g,,,TRUE,Retained
PCTFUL1,double,numeric,,Pre: Percent of Bill to Pay for Fuel (CP,%8.0g,,,TRUE,Retained
KNOWG1,double,numeric,,Did R Answer PCTFUL1 Correctly? (CPL),%8.0g,,,TRUE,Retained
COMPET1,double,numeric,,Pre: Benefits of Competition over Regula,%8.0g,,,TRUE,Retained
POOR1,double,numeric,,Pre: Low Income Pay More than Fair Share,%8.0g,,,TRUE,Retained
IMPACT1,double,numeric,,Pre: Fuels Have Neg Impact on Environmen,%8.0g,,,TRUE,Retained
OPTION1,double,numeric,,"Pre: CPL Doing Enough: Renewable, Effici",%8.0g,,,TRUE,Retained
CCOST1,double,numeric,,Pre: Customer Costs Decrease w/Competiti,%8.0g,,,TRUE,Retained
SERV1,double,numeric,,Pre: Service Improves w/Competition,%8.0g,,,TRUE,Retained
ECODVT1,double,numeric,,Pre: High Electric Bills Hinder Econ. De,%8.0g,,,TRUE,Retained
DEMAND1,double,numeric,,Pre: High Electric Bills Discourage Use,%8.0g,,,TRUE,Retained
USAGE1,double,numeric,,"Pre: Use of Wind, Solar Reduce Future Co",%8.0g,,,TRUE,Retained
GLWARM1,double,numeric,,Pre: How Serious is Global Warming,%8.0g,,,TRUE,Retained
AIRPOL1,double,numeric,,Pre: How Serious is Air Pollution in Tex,%8.0g,,,TRUE,Retained
POLFUT1,double,numeric,,Pre: The Future of Air Polution in Texas,%8.0g,,,TRUE,Retained
DOPDATE,double,numeric,,Date DOP Commenced (Year/Month/Day),%12.0g,,,TRUE,Retained
DOPDAYS,double,numeric,,Number of Days over which DOP occurred,%8.0g,,,TRUE,Retained
SETRT,double,numeric,,,%8.0g,,,TRUE,Retained
