source_column,source_value,value_label
PRE_Q9d,3,Neither favor nor oppose
PRE_Q9d,4,Oppose somewhat
PRE_Q9d,5,Oppose strongly
PRE_Q9d,99,No opinion
PRE_Q9d,998,Skipped
PRE_Q9d,999,T2 only group
PRE_Q9e,1,Favor strongly
PRE_Q9e,2,Favor somewhat
PRE_Q9e,3,Neither favor nor oppose
PRE_Q9e,4,Oppose somewhat
PRE_Q9e,5,Oppose strongly
PRE_Q9e,99,No opinion
PRE_Q9e,998,Skipped
PRE_Q9e,999,T2 only group
PRE_Q10a,0,Completely ineffective0
PRE_Q10a,1,1
PRE_Q10a,2,2
PRE_Q10a,3,3
PRE_Q10a,4,4
PRE_Q10a,5,Neither effective nor ineffective5
PRE_Q10a,6,6
PRE_Q10a,7,7
PRE_Q10a,8,8
PRE_Q10a,9,9
PRE_Q10a,10,Completely effective10
PRE_Q10a,99,No opinion
PRE_Q10a,998,Skipped
PRE_Q10a,999,T2 only group
PRE_Q10b,0,Completely ineffective0
PRE_Q10b,1,1
PRE_Q10b,2,2
PRE_Q10b,3,3
PRE_Q10b,4,4
PRE_Q10b,5,Neither effective nor ineffective5
PRE_Q10b,6,6
PRE_Q10b,7,7
PRE_Q10b,8,8
PRE_Q10b,9,9
PRE_Q10b,10,Completely effective10
PRE_Q10b,99,No opinion
PRE_Q10b,998,Skipped
PRE_Q10b,999,T2 only group
PRE_Q10c,0,Completely ineffective0
PRE_Q10c,1,1
PRE_Q10c,2,2
PRE_Q10c,3,3
PRE_Q10c,4,4
PRE_Q10c,5,Neither effective nor ineffective5
PRE_Q10c,6,6
PRE_Q10c,7,7
PRE_Q10c,8,8
PRE_Q10c,9,9
PRE_Q10c,10,Completely effective10
PRE_Q10c,99,No opinion
PRE_Q10c,998,Skipped
PRE_Q10c,999,T2 only group
PRE_Q10d,0,Completely ineffective0
PRE_Q10d,1,1
PRE_Q10d,2,2
PRE_Q10d,3,3
PRE_Q10d,4,4
PRE_Q10d,5,Neither effective nor ineffective5
PRE_Q10d,6,6
PRE_Q10d,7,7
PRE_Q10d,8,8
PRE_Q10d,9,9
PRE_Q10d,10,Completely effective10
PRE_Q10d,99,No opinion
PRE_Q10d,998,Skipped
PRE_Q10d,999,T2 only group
PRE_Q10e,0,Completely ineffective0
PRE_Q10e,1,1
PRE_Q10e,2,2
PRE_Q10e,3,3
PRE_Q10e,4,4
PRE_Q10e,5,Neither effective nor ineffective5
PRE_Q10e,6,6
PRE_Q10e,7,7
PRE_Q10e,8,8
PRE_Q10e,9,9
PRE_Q10e,10,Completely effective10
PRE_Q10e,99,No opinion
PRE_Q10e,998,Skipped
PRE_Q10e,999,T2 only group
PRE_Q11a,1,Agree strongly
PRE_Q11a,2,Agree somewhat
PRE_Q11a,3,Neither agree nor disagree
PRE_Q11a,4,Disagree somewhat
PRE_Q11a,5,Disagree strongly
PRE_Q11a,99,No opinion
PRE_Q11a,998,Skipped
PRE_Q11a,999,T2 only group
PRE_Q11b,1,Agree strongly
PRE_Q11b,2,Agree somewhat
PRE_Q11b,3,Neither agree nor disagree
PRE_Q11b,4,Disagree somewhat
PRE_Q11b,5,Disagree strongly
PRE_Q11b,99,No opinion
PRE_Q11b,998,Skipped
PRE_Q11b,999,T2 only group
PRE_Q11c,1,Agree strongly
PRE_Q11c,2,Agree somewhat
PRE_Q11c,3,Neither agree nor disagree
PRE_Q11c,4,Disagree somewhat
PRE_Q11c,5,Disagree strongly
PRE_Q11c,99,No opinion
PRE_Q11c,998,Skipped
PRE_Q11c,999,T2 only group
PRE_Q11d,1,Agree strongly
PRE_Q11d,2,Agree somewhat
PRE_Q11d,3,Neither agree nor disagree
PRE_Q11d,4,Disagree somewhat
PRE_Q11d,5,Disagree strongly
PRE_Q11d,99,No opinion
PRE_Q11d,998,Skipped
PRE_Q11d,999,T2 only group
PRE_Q11e,1,Agree strongly
PRE_Q11e,2,Agree somewhat
PRE_Q11e,3,Neither agree nor disagree
PRE_Q11e,4,Disagree somewhat
PRE_Q11e,5,Disagree strongly
PRE_Q11e,99,No opinion
PRE_Q11e,998,Skipped
PRE_Q11e,999,T2 only group
PRE_Q11f,1,Agree strongly
PRE_Q11f,2,Agree somewhat
PRE_Q11f,3,Neither agree nor disagree
PRE_Q11f,4,Disagree somewhat
PRE_Q11f,5,Disagree strongly
PRE_Q11f,99,No opinion
PRE_Q11f,998,Skipped
PRE_Q11f,999,T2 only group
PRE_Q11g,1,Agree strongly
PRE_Q11g,2,Agree somewhat
PRE_Q11g,3,Neither agree nor disagree
