source_column,source_value,value_label
Q14,5,8   can't say
Q14,6,9   not answered
Q15,1,1   the queen should
Q15,2,2   there should be
Q15,3,8   can't choose
Q15,4,9   not answered
Q16,1,1   definitely the r
Q16,2,2   probably the roy
Q16,3,3   probably the nat
Q16,4,4   definitely the n
Q16,5,8   can't choose
Q16,6,9   not answered
Q17,1,1   a king or queen
Q17,2,2   an elected presi
Q17,3,8   can't choose
Q17,4,9   not answered
Q18,1,1   the house of lor
Q18,2,2   the house of lor
Q18,3,3   the house of lor
Q18,4,8   can't choose
Q18,5,9   not answered
Q19A,1,1   hereditary peers
Q19A,2,2   the fact that so
Q19A,3,8   can't choose
Q19A,4,9   not answered
Q19B,1,1   should continue
Q19B,2,2   all members of t
Q19B,3,8   can't choose
Q19B,4,9   not answered
Q20,1,1   agree strongly
Q20,2,2   agree
Q20,3,3   neither agree no
Q20,4,4   disagree
Q20,5,5   disagree strongl
Q20,6,8   can't choose
Q20,7,9   not answered
Q21,1,1   it works well an
Q21,2,2   it works well bu
Q21,3,3   it does not work
Q21,4,4   it does not work
Q21,5,8   can't choose
Q21,6,9   not answered
Q22A,1,1   strongly agree
Q22A,2,2   agree
Q22A,3,3   neither agree or
Q22A,4,4   disagree
Q22A,5,5   strongly disagre
Q22A,6,9   not answered
Q22B,1,1   strongly agree
Q22B,2,2   agree
Q22B,3,3   neither agree or
Q22B,4,4   disagree
Q22B,5,5   strongly disagre
Q22B,6,9   not answered
Q22C,1,1   strongly agree
Q22C,2,2   agree
Q22C,3,3   neither agree or
Q22C,4,4   disagree
Q22C,5,5   strongly disagre
Q22C,6,9   not answered
Q22D,1,1   strongly agree
Q22D,2,2   agree
Q22D,3,3   neither agree or
Q22D,4,4   disagree
Q22D,5,5   strongly disagre
Q22D,6,9   not answered
QSCORE,1,0 correct
QSCORE,2,1 correct
QSCORE,3,2 correct
QSCORE,4,3 correct
QSCORE,5,4 correct
QSCORE,6,5 correct
QSCORE,7,6 correct
QSCORE,8,7 correct
QSCORE,9,8 correct
QKNOWL,1,0-3 correct
QKNOWL,2,4-5 correct
QKNOWL,3,6-8 correct
QQ2A,1,important
QQ2A,2,not important
QQ2A,3,can't say
QQ2B,1,important
QQ2B,2,not important
QQ2B,3,can't say
QQ2C,1,important
QQ2C,2,not important
QQ2C,3,can't say
QQ2D,1,important
QQ2D,2,not important
QQ2D,3,can't say
QQ2E,1,important
QQ2E,2,not important
QQ2E,3,can't say
QQ2F,1,important
QQ2F,2,not important
QQ2F,3,can't say
QQ2G,1,important
QQ2G,2,not important
QQ2G,3,can't say
QQ2H,1,important
QQ2H,2,not important
QQ2H,3,can't say
QQ3A,1,agree
QQ3A,2,neither
QQ3A,3,disagree
QQ3B,1,agree
QQ3B,2,neither
QQ3B,3,disagree
