source_column,storage_type,source_class,parquet_type,variable_label,source_format,missing_values,missing_range,public,publication_note
severa2,double,haven_labelled|vctrs_vctr|double,,priority to severity t2 (w15a),F8.0,,,TRUE,Retained
severb2,double,haven_labelled|vctrs_vctr|double,,nhs priority to severity t2 (w15b),F8.0,,,TRUE,Retained
lista2,double,haven_labelled|vctrs_vctr|double,,priority to waiting list t2 (w16a),F8.0,,,TRUE,Retained
listb2,double,haven_labelled|vctrs_vctr|double,,nhs priority to waiting list t2 (w16b),F8.0,,,TRUE,Retained
poora2,double,haven_labelled|vctrs_vctr|double,,priority to poor t2 (w17a),F8.0,,,TRUE,Retained
poorb2,double,haven_labelled|vctrs_vctr|double,,nhs priority to the poor t2 (w17b),F8.0,,,TRUE,Retained
ingova2,double,haven_labelled|vctrs_vctr|double,,amount of govt input t2 (w18a_a),F8.0,,,TRUE,Retained
ingpa2,double,haven_labelled|vctrs_vctr|double,,amount of gp input t2 (w18a_b),F8.0,,,TRUE,Retained
inhma2,double,haven_labelled|vctrs_vctr|double,,hospital or health service managers input t2 (w18a_c),F8.0,,,TRUE,Retained
indoca2,double,haven_labelled|vctrs_vctr|double,,amount of doctor input t2 (w18a_d),F8.0,,,TRUE,Retained
inpuba2,double,haven_labelled|vctrs_vctr|double,,amount of general public input t2 (w18a_e),F8.0,,,TRUE,Retained
ingovb2,double,haven_labelled|vctrs_vctr|double,,amount of input govt does have t2 (w18b_a),F8.0,,,TRUE,Retained
ingpb2,double,haven_labelled|vctrs_vctr|double,,amount of input gps have tw (w18b_b),F8.0,,,TRUE,Retained
inhmb2,double,haven_labelled|vctrs_vctr|double,,input hospital or health service managers have t2 (w18b_c),F8.0,,,TRUE,Retained
indocb2,double,haven_labelled|vctrs_vctr|double,,amount of input doctors have t2 (w18b_d),F8.0,,,TRUE,Retained
inpubb2,double,haven_labelled|vctrs_vctr|double,,amount of input from general public t2 (w18b_e),F8.0,,,TRUE,Retained
bestdec2,double,haven_labelled|vctrs_vctr|double,,best way to make decisions t2 (w19),F8.0,,,TRUE,Retained
cthart2,double,haven_labelled|vctrs_vctr|double,,nhs cut down on heart transplants t2 (w20_a),F8.0,,,TRUE,Retained
ctnurs2,double,haven_labelled|vctrs_vctr|double,,nhs cut down on long term nursing care t2 (w20_b),F8.0,,,TRUE,Retained
ctbaby2,double,haven_labelled|vctrs_vctr|double,,nhs cut down on intensive care for premature babies t2 (w20_c),F8.0,,,TRUE,Retained
ctfert2,double,haven_labelled|vctrs_vctr|double,,nhs cut down on fertility treatment t2 (w21_a),F8.0,,,TRUE,Retained
cthosp2,double,haven_labelled|vctrs_vctr|double,,nhs cut down on hospice care for terminal t2 (w21_b),F8.0,,,TRUE,Retained
ctcosm2,double,haven_labelled|vctrs_vctr|double,,nhs cut down on cosmetic surgery t2 (w21_c),F8.0,,,TRUE,Retained
chgp2,double,haven_labelled|vctrs_vctr|double,,charges for visiting your gp t2 (w22_a),F8.0,,,TRUE,Retained
chvis2,double,haven_labelled|vctrs_vctr|double,,charges for your gp visiting t2 (w22_b),F8.0,,,TRUE,Retained
chmeal2,double,haven_labelled|vctrs_vctr|double,,charges for hospital meals t2 (w22_c),F8.0,,,TRUE,Retained
chstay2,double,haven_labelled|vctrs_vctr|double,,charges for accomodation in hospital t2 (w22_d),F8.0,,,TRUE,Retained
chamb2,double,haven_labelled|vctrs_vctr|double,,charges for non-emergency ambulance t2 (w22_e),F8.0,,,TRUE,Retained
effic2,double,haven_labelled|vctrs_vctr|double,,nhs efficiency t2 (w23_a),F8.0,,,TRUE,Retained
say2,double,haven_labelled|vctrs_vctr|double,,patients have more say t2 (w23_b),F8.0,,,TRUE,Retained
older2,double,haven_labelled|vctrs_vctr|double,,older people have priority for treatment t2 (w23_c),F8.0,,,TRUE,Retained
expect2,double,haven_labelled|vctrs_vctr|double,,expect too much of nhs t2 (w23_d),F8.0,,,TRUE,Retained
save2,double,haven_labelled|vctrs_vctr|double,,save life at any cost t2 (w23_e),F8.0,,,TRUE,Retained
ration2,double,haven_labelled|vctrs_vctr|double,,ration treatments t2 (w23_f),F8.0,,,TRUE,Retained
best2,double,haven_labelled|vctrs_vctr|double,, nhs is best in the world t2 (w23_g),F8.0,,,TRUE,Retained
social2,double,haven_labelled|vctrs_vctr|double,,improving social conditions would reduce demand t2 (w23_h),F8.0,,,TRUE,Retained
natint2,double,haven_labelled|vctrs_vctr|double,,vote based on national interests t2 (w24_a),F8.0,,,TRUE,Retained
blame2,double,haven_labelled|vctrs_vctr|double,,poor people have themselves to blame t2 (w24_b),F8.0,,,TRUE,Retained
succes2,double,haven_labelled|vctrs_vctr|double,,too concerned with the unsuccessful t2 (w24_c),F8.0,,,TRUE,Retained
govrl2,double,haven_labelled|vctrs_vctr|double,,lfe is never fair so no govt role t2 (w24_d),F8.0,,,TRUE,Retained
grpdisc,double,haven_labelled|vctrs_vctr|double,,value of group discussions t2 (ww25_a),F8.0,,,TRUE,Retained
talking,double,haven_labelled|vctrs_vctr|double,,value:  talking outside group t2 (ww25_b),F8.0,,,TRUE,Retained
experts,double,haven_labelled|vctrs_vctr|double,,value of the experts' sessions t2 (ww25_c),F8.0,,,TRUE,Retained
pols,double,haven_labelled|vctrs_vctr|double,,value of the politcians' sessions t2 (ww25_d),F8.0,,,TRUE,Retained
modpart,double,haven_labelled|vctrs_vctr|double,,moderator allowed participation t2 (ww26_a),F8.0,,,TRUE,Retained
modinfl,double,haven_labelled|vctrs_vctr|double,,moderator influenced group t2 (ww26_b),F8.0,,,TRUE,Retained
