source_column,storage_type,source_class,parquet_type,variable_label,source_format,missing_values,missing_range,public,publication_note
S15_2,double,haven_labelled|vctrs_vctr|double,float64,"15. Hvis du blev opfordret til at stille op på en liste til Europa-parlamentet, Folketinget, amts- eller kommunalbestyrelse ville du sige ja, overveje det eller sige nej?",F8.0,,,TRUE,Retained
S16_2,double,haven_labelled|vctrs_vctr|double,float64,"16. I politik tales der ofte om venstre og højre. Hvor vil du placere dig selv på en skala, hvor 0 er mest venstreorienteret og 10 er mest højreorienteret?-Politisk skala",F8.0,,,TRUE,Retained
S17_2,double,haven_labelled|vctrs_vctr|double,float64,"17. Hvilket parti ville du stemme på, hvis der var folketingsvalg i morgen?",F8.0,,,TRUE,Retained
S18A_2,double,haven_labelled|vctrs_vctr|double,float64,A siger,F8.0,,,TRUE,Retained
S18B_2,double,haven_labelled|vctrs_vctr|double,float64,B siger,F8.0,,,TRUE,Retained
S18C_2,double,haven_labelled|vctrs_vctr|double,float64,C siger,F8.0,,,TRUE,Retained
S19_2,double,haven_labelled|vctrs_vctr|double,float64,"19. Hvis du skulle vælge mellem A, B eller C´s holdninger, hvem er du så mest enig med?",F8.0,,,TRUE,Retained
S20_2,double,haven_labelled|vctrs_vctr|double,float64,20. Hvordan vil du vurdere udbyttet af din deltagelse på folkehøringen? Folkehøringen var for mig...,F8.0,,,TRUE,Retained
S21_2,double,haven_labelled|vctrs_vctr|double,float64,21. Hvor meget lærte du om euroen i forbindelse med folkehøringen?,F8.0,,,TRUE,Retained
S22A_2,double,haven_labelled|vctrs_vctr|double,float64,22a. Oplysningsmaterialet,F8.0,,,TRUE,Retained
S22B_2,double,haven_labelled|vctrs_vctr|double,float64,22b. At deltage i gruppediskussioner,F8.0,,,TRUE,Retained
S22C_2,double,haven_labelled|vctrs_vctr|double,float64,22c. Svarene fra ekspertpanelet,F8.0,,,TRUE,Retained
S22D_2,double,haven_labelled|vctrs_vctr|double,float64,22d. Svarene fra Europaparlamentspolitikerne,F8.0,,,TRUE,Retained
S22E_2,double,haven_labelled|vctrs_vctr|double,float64,22e. Svarene fra Folketingspolitikerne,F8.0,,,TRUE,Retained
S22F_2,double,haven_labelled|vctrs_vctr|double,float64,22f. Svarene fra de 4 top-politikere,F8.0,,,TRUE,Retained
S22G_2,double,haven_labelled|vctrs_vctr|double,float64,22g. At mødes og diskutere med andre deltagere på folkehøringen uden for gruppediskussionerne,F8.0,,,TRUE,Retained
S23A_2,double,haven_labelled|vctrs_vctr|double,float64,23a. Der var et højt informationsniveau på folkehøringen,F8.0,,,TRUE,Retained
S23B_2,double,haven_labelled|vctrs_vctr|double,float64,23b. At være med til denne folkehøring har øget min forståelse for euro-spørgsmålet,F8.0,,,TRUE,Retained
S23C_2,double,haven_labelled|vctrs_vctr|double,float64,23c. Folkehøringen tilføjede ikke ret meget til min viden om euro-spørgsmålet,F8.0,,,TRUE,Retained
S23D_2,double,haven_labelled|vctrs_vctr|double,float64,23d. Deltagelsen i folkehøringen har styrket min forståelse for såvel ja-argumenter som nej-argumenter til euroen,F8.0,,,TRUE,Retained
S23E_2,double,haven_labelled|vctrs_vctr|double,float64,23e. Der var et pres for at deltagerne skulle ændre holdning i en bestemt retning,F8.0,,,TRUE,Retained
S23F_2,double,haven_labelled|vctrs_vctr|double,float64,23f. Deltagelsen i folkehøringen har medført at min holdning til euroen er blevet mere nuanceret,F8.0,,,TRUE,Retained
S24_2,double,haven_labelled|vctrs_vctr|double,float64,24. Synes du at såvel nej-siden som ja-siden var repræsenterede under panel-debatterne?,F8.0,,,TRUE,Retained
S25A_2,double,haven_labelled|vctrs_vctr|double,float64,25a. Forsamlingen var for stor til at det var muligt at få svar på spørgsmålene,F8.0,,,TRUE,Retained
S25B_2,double,haven_labelled|vctrs_vctr|double,float64,25b. Formen med at deltagerne stillede spørgsmål til politikere og eksperter var god,F8.0,,,TRUE,Retained
S25C_2,double,haven_labelled|vctrs_vctr|double,float64,25c. Jeg ville foretrække et oplæg fra eksperter og politikere fremfor selv at stille spørgsmål,F8.0,,,TRUE,Retained
S25D_2,double,haven_labelled|vctrs_vctr|double,float64,"25d. Ordstyrerne sikrede at alle kom til orde såvel deltagere, politikere som eksperter",F8.0,,,TRUE,Retained
S25E_2,double,haven_labelled|vctrs_vctr|double,float64,25e. Danmarks Radios tilstedeværelse var et forstyrrende element i panel-debatterne,F8.0,,,TRUE,Retained
S26A_2,double,haven_labelled|vctrs_vctr|double,float64,26a. Diskussionerne var overfladiske,F8.0,,,TRUE,Retained
S26B_2,double,haven_labelled|vctrs_vctr|double,float64,26b. Diskussionerne var konkrete,F8.0,,,TRUE,Retained
S26C_2,double,haven_labelled|vctrs_vctr|double,float64,26c. Der var en positiv stemning i gruppen,F8.0,,,TRUE,Retained
S26D_2,double,haven_labelled|vctrs_vctr|double,float64,26d. Der var enighed i gruppen fra starten i går,F8.0,,,TRUE,Retained
S26E_2,double,haven_labelled|vctrs_vctr|double,float64,26e. Der var enighed i gruppen mod slutningen i dag,F8.0,,,TRUE,Retained
S26F_2,double,haven_labelled|vctrs_vctr|double,float64,26f. Der var enighed i gruppen om måden at diskutere på,F8.0,,,TRUE,Retained
S26G_2,double,haven_labelled|vctrs_vctr|double,float64,26g. Nogle få deltagere i gruppen dominerede diskussionerne,F8.0,,,TRUE,Retained
S26H_2,double,haven_labelled|vctrs_vctr|double,float64,26h. Diskussionerne var livlige i gruppen fra starten i går,F8.0,,,TRUE,Retained
S26I_2,double,haven_labelled|vctrs_vctr|double,float64,26i. Diskussionerne var livlige i gruppen mod slutningen af i dag,F8.0,,,TRUE,Retained
S26J_2,double,haven_labelled|vctrs_vctr|double,float64,26j. Diskussionerne var præget af usikkerhed om faktuelle detaljer,F8.0,,,TRUE,Retained
S26K_2,double,haven_labelled|vctrs_vctr|double,float64,26k. Diskussionerne var præget af lydhørhed over for andres argumenter,F8.0,,,TRUE,Retained
S26L_2,double,haven_labelled|vctrs_vctr|double,float64,26l. Der opstod alliancer mellem nogle af deltagerne,F8.0,,,TRUE,Retained
S26M_2,double,haven_labelled|vctrs_vctr|double,float64,26m. Der opstod forståelse for andres argumenter selv om de var modsat ens egne,F8.0,,,TRUE,Retained
S26N_2,double,haven_labelled|vctrs_vctr|double,float64,26n. Det var svært at blive enige om hvilke spørgsmål gruppen ønskede at stille på panel-debatterne,F8.0,,,TRUE,Retained
S26O_2,double,haven_labelled|vctrs_vctr|double,float64,26o. Diskussionerne i gruppen handlede mere om EU generelt end euroen,F8.0,,,TRUE,Retained
S26P_2,double,haven_labelled|vctrs_vctr|double,float64,26p. Der var for lidt tid til at diskutere,F8.0,,,TRUE,Retained
