caseid,source_row,pollgroup,legacy_field,historical_value,approved_value
52112,190,5206,chi.t1att2,0.699999988079071,0.699999988079071
52168,191,5215,chi.t1att2,1,1
52104,192,5204,chi.t1att2,0.6000000238418579,0.6000000238418579
52151,193,5204,chi.t1att2,0.23333333432674408,0.23333333432674408
52234,194,5203,chi.t1att2,1,1
52117,195,5201,chi.t1att2,0.5,0.5
52053,196,5207,chi.t1att2,1,1
52152,197,5201,chi.t1att2,0.30000001192092896,0.30000001192092896
52237,198,5214,chi.t1att2,0.5,0.5
52170,199,5212,chi.t1att2,0.5,0.5
52136,200,5213,chi.t1att2,0.8999999761581421,0.8999999761581421
52233,201,5203,chi.t1att2,0.4000000059604645,0.4000000059604645
52118,202,5214,chi.t1att2,0.30000001192092896,0.30000001192092896
52087,203,5207,chi.t1att2,1,1
52145,204,5211,chi.t1att2,0.5,0.5
52116,205,5208,chi.t1att2,0.4000000059604645,0.4000000059604645
52227,206,5215,chi.t1att2,0.9333333373069764,0.9333333373069764
52051,207,5216,chi.t1att2,0.5,0.5
52047,208,5213,chi.t1att2,0.5,0.5
52088,209,5209,chi.t1att2,0.6666666865348816,0.6666666865348816
52218,210,5208,chi.t1att2,0.5,0.5
52143,211,5203,chi.t1att2,0.46666666865348816,0.46666666865348816
52212,212,5209,chi.t1att2,0.800000011920929,0.800000011920929
52228,213,5216,chi.t1att2,1,1
52119,214,5201,chi.t1att2,0.6333333253860474,0.6333333253860474
52066,215,5212,chi.t1att2,0.5,0.5
52148,216,5215,chi.t1att2,0.5,0.5
52120,217,5201,chi.t1att2,1,1
52138,218,5208,chi.t1att2,0.5,0.5
52105,219,5203,chi.t1att2,0.6000000238418579,0.6000000238418579
52063,220,5205,chi.t1att2,0.5,0.5
52081,221,5201,chi.t1att2,0.5,0.5
52082,222,5202,chi.t1att2,0.5,0.5
52135,223,5202,chi.t1att2,0,0
52127,224,5215,chi.t1att2,0.6333333253860474,0.6333333253860474
52058,225,5214,chi.t1att2,0.5,0.5
52231,226,5214,chi.t1att2,0.5,0.5
52078,227,5206,chi.t1att2,1,1
52054,228,5207,chi.t1att2,0.6666666865348816,0.6666666865348816
