legacy_field,layer,alias_of,evidence
minority,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
hhincome,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
female,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
attextreme,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
highinc,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
t1polint,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
avgsd2,group-derived,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
grpgain2,group-derived,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
t1knowcor2,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
t12know,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
t12knowcor,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
attextreme2,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
length,poll-metadata,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
timebtw,poll-metadata,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
grpgainr,group-derived,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
t1knowrcor,respondent,t1knowcor,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R; conditional alias: excludes Australia Republic and UK Crime; consult poll-specific targets
t2knowr,respondent,t2know,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R; conditional alias: excludes Australia Republic and UK Crime; consult poll-specific targets
pollname,poll-metadata,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
numissues,poll-metadata,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
pfemale,group-derived,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
pminority,group-derived,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
varfemale,group-derived,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
sdfemale,group-derived,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
vareduc,group-derived,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
sdeduc,group-derived,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
meaned,group-derived,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
meanage,group-derived,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
phighinc,group-derived,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
meanxtreme,group-derived,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
pfemale_ind,group-derived,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
entropy,group-derived,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
meant1know,group-derived,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
meant1knowcor,group-derived,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
t1knowlevelcor,poll-derived,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
meant1know_ind,group-derived,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
meant1knowcor_ind,group-derived,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
meant2know,group-derived,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
knowgain,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
knowgain2,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
t2knowlevel,poll-derived,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
logpk,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
loggain,group-derived,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
tobitpk,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
meant1knowr,group-derived,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
meant1knowrcor,group-derived,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
t1knowlevelrcor,poll-derived,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
knowgainr,respondent,knowgain,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R; conditional alias: excludes Australia Republic and UK Crime; consult poll-specific targets
knowgainr2,respondent,knowgain2,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R; conditional alias: excludes Australia Republic and UK Crime; consult poll-specific targets
educ3,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
aus.popparl1,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
aus.popparl2,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
aus.republican1,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
aus.republican2,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
btp04pr.t1trade,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
btp04pr.t1mindex,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
btp04pr.t1services,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
btp04pr.t2trade,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
btp04pr.t2mindex,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
btp04pr.t2services,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
bulgaria.bulgaria.t1tghpc,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
bulgaria.bulgaria.t1clibe,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
bulgaria.bulgaria.t1q8_7,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
bulgaria.bulgaria.t1q8_1,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
bulgaria.bulgaria.t1q8_8,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
bulgaria.bulgaria.t1q8_11,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
bulgaria.bulgaria.t1q10_3,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
bulgaria.bulgaria.t1q16,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
bulgaria.bulgaria.t1q21,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
bulgaria.bulgaria.t1q22,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
bulgaria.bulgaria.t1q23,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
bulgaria.bulgaria.t1q19,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
bulgaria.bulgaria.t2tghpc,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
bulgaria.bulgaria.t2clibe,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
bulgaria.bulgaria.t2q8_7,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
bulgaria.bulgaria.t2q8_1,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
bulgaria.bulgaria.t2q8_8,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
bulgaria.bulgaria.t2q8_11,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
bulgaria.bulgaria.t2q10_3,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
bulgaria.bulgaria.t2q16,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
bulgaria.bulgaria.t2q21,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
bulgaria.bulgaria.t2q22,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
bulgaria.bulgaria.t2q23,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
bulgaria.bulgaria.t2q19,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
chi.t1att1,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
chi.t1att2,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
chi.t1att3,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
chi.t1att4,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
chi.t1att5,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
chi.t1att6,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
chi.t1att7,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
chi.t1att8,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
chi.t1att9,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
chi.t2att1,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
chi.t2att2,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
chi.t2att3,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
chi.t2att4,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
chi.t2att5,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
chi.t2att6,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
chi.t2att7,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
chi.t2att8,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
chi.t2att9,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
cpl.t1res,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
cpl.t1cons,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
cpl.t1poor,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
cpl.t1renew,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
cpl.t1fossil,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
cpl.t1buypwr,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
cpl.t2res,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
cpl.t2cons,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
cpl.t2poor,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
cpl.t2renew,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
cpl.t2fossil,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
cpl.t2buypwr,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
eu.support_eu_membership_t1,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
eu.att_towards_privatization_t1,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
eu.attitude_towards_migration_t1,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
eu.mil_att_11_12_t1,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
eu.t1q11b,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
eu.turkey_enlargement_att_t1,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
eu.eu_veto_support_t1,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
eu.support_eu_membership_t2,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
eu.att_towards_privatization_t2,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
eu.attitude_towards_migration_t2,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
eu.mil_att_11_12_t2,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
eu.t2q11br,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
eu.turkey_enlargement_att_t2,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
eu.eu_veto_support_t2,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
eu.pay_for_pension_1_t2_r,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
eu.free_trade_index_t2,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
eu.general_enlargement_att_f_t2,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
eu.eu_level_decision_making_t2,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
eu.t2q16jr,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
eu.support_eu_membership_t3,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
eu.att_towards_privatization_t3,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
eu.attitude_towards_migration_t3,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
eu.mil_att_11_12_t3,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
eu.t3q11br,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
eu.turkey_enlargement_att_t3,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
eu.eu_veto_support_t3,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
eu.pay_for_pension_1_t3_r,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
eu.free_trade_index_t3,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
eu.general_enlargement_att_f_t3,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
eu.eu_level_decision_making_t3,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
eu.t3q16jr,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
grk.t1att1,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R; Greece columns all missing in 6084-row historical benchmark; Marousi is outside its 21-poll scope
grk.t1att2,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R; Greece columns all missing in 6084-row historical benchmark; Marousi is outside its 21-poll scope
grk.t1att3,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R; Greece columns all missing in 6084-row historical benchmark; Marousi is outside its 21-poll scope
grk.t1att4,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R; Greece columns all missing in 6084-row historical benchmark; Marousi is outside its 21-poll scope
grk.t1att5,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R; Greece columns all missing in 6084-row historical benchmark; Marousi is outside its 21-poll scope
grk.t1att6,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R; Greece columns all missing in 6084-row historical benchmark; Marousi is outside its 21-poll scope
grk.t2att1,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R; Greece columns all missing in 6084-row historical benchmark; Marousi is outside its 21-poll scope
grk.t2att2,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R; Greece columns all missing in 6084-row historical benchmark; Marousi is outside its 21-poll scope
grk.t2att3,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R; Greece columns all missing in 6084-row historical benchmark; Marousi is outside its 21-poll scope
grk.t2att4,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R; Greece columns all missing in 6084-row historical benchmark; Marousi is outside its 21-poll scope
grk.t2att5,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R; Greece columns all missing in 6084-row historical benchmark; Marousi is outside its 21-poll scope
grk.t2att6,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R; Greece columns all missing in 6084-row historical benchmark; Marousi is outside its 21-poll scope
ukmonarchy.t1supmon,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
ukmonarchy.t2supmon,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
ukmonarchy.t1mpop,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
ukmonarchy.t2mpop,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
ukmonarchy.t1pwrm,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
ukmonarchy.t2pwrm,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
ukmonarchy.t1reflor,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
ukmonarchy.t2reflor,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
nic1.t1att1,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
nic1.t1att2,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
nic1.t1att3,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
nic1.t1att4,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
nic1.t1att5,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
nic1.t1att6,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
nic1.t1att7,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
nic1.t1att8,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
nic1.t1att9,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
nic1.t2att1,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
nic1.t2att2,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
