reference_id,poll_id,kind,title,url,local_artifact_id,accessed,notes
us-california-whats-next-2011-cdd-california-whats-next-2011-questionnaire-post,california-whats-next-2011,questionnaire,Original questionnaire-post.doc,,cdd-california-whats-next-2011-questionnaire-post,2026-09-24,Existing repository source: data/california-whats-next-2011/questionnaire-post.doc
us-california-whats-next-2011-cdd-california-whats-next-2011-codebook,california-whats-next-2011,codebook,Original codebook.pdf,,cdd-california-whats-next-2011-codebook,2026-09-24,Existing repository source: data/california-whats-next-2011/codebook.pdf
us-nic-1996-cdd-nic-1996-codebook,nic-1996,codebook,Original codebook.txt,,cdd-nic-1996-codebook,2026-09-24,Existing repository source: data/nic-1996/codebook.txt
us-nic-1996-cdd-nic-1996-questionnaire,nic-1996,questionnaire,Original questionnaire.pdf,,cdd-nic-1996-questionnaire,2026-09-24,Existing repository source: data/nic-1996/questionnaire.pdf
us-vermont-energy-2007-cdd-vermont-energy-2007-questionnaire-post-key,vermont-energy-2007,questionnaire,Original questionnaire-post-key.doc,,cdd-vermont-energy-2007-questionnaire-post-key,2026-09-24,Existing repository source: data/vermont-energy-2007/questionnaire-post-key.doc
us-vermont-energy-2007-cdd-vermont-energy-2007-questionnaire-pre,vermont-energy-2007,questionnaire,Original questionnaire-pre.doc,,cdd-vermont-energy-2007-questionnaire-pre,2026-09-24,Existing repository source: data/vermont-energy-2007/questionnaire-pre.doc
us-san-mateo-2008-cdd-san-mateo-2008-questionnaire-pre,san-mateo-2008,questionnaire,Original questionnaire-pre.doc,,cdd-san-mateo-2008-questionnaire-pre,2026-09-24,Existing repository source: data/san-mateo-2008/questionnaire-pre.doc
us-san-mateo-2008-cdd-san-mateo-2008-questionnaire-post,san-mateo-2008,questionnaire,Original questionnaire-post.doc,,cdd-san-mateo-2008-questionnaire-post,2026-09-24,Existing repository source: data/san-mateo-2008/questionnaire-post.doc
us-michigan-2009-cdd-michigan-2009-questionnaire-pre,michigan-2009,questionnaire,Original questionnaire-pre.doc,,cdd-michigan-2009-questionnaire-pre,2026-09-24,Existing repository source: data/michigan-2009/questionnaire-pre.doc
us-michigan-2009-cdd-michigan-2009-questionnaire-post,michigan-2009,questionnaire,Original questionnaire-post.doc,,cdd-michigan-2009-questionnaire-post,2026-09-24,Existing repository source: data/michigan-2009/questionnaire-post.doc
us-nic2-2003-material-e22cf114ce27bf82-nic2-2003,nic2-2003,briefing-material,btp 2003-nic 1,,material-e22cf114ce27bf82-nic2-2003,2026-09-24,Existing repository source: data/shared/briefing-materials/btp 2003-nic 1.pdf
us-btp-national-2003-material-e22cf114ce27bf82-btp-national-2003,btp-national-2003,briefing-material,btp 2003-nic 1,,material-e22cf114ce27bf82-btp-national-2003,2026-09-24,Existing repository source: data/shared/briefing-materials/btp 2003-nic 1.pdf
us-nic2-2003-material-37d7741249efa6c3-nic2-2003,nic2-2003,briefing-material,btp 2003-nic 2,,material-37d7741249efa6c3-nic2-2003,2026-09-24,Existing repository source: data/shared/briefing-materials/btp 2003-nic 2.pdf
us-btp-national-2003-material-37d7741249efa6c3-btp-national-2003,btp-national-2003,briefing-material,btp 2003-nic 2,,material-37d7741249efa6c3-btp-national-2003,2026-09-24,Existing repository source: data/shared/briefing-materials/btp 2003-nic 2.pdf
us-nic2-2003-material-e4d515256fed3e3e-nic2-2003,nic2-2003,briefing-material,btp 2003-nic 3,,material-e4d515256fed3e3e-nic2-2003,2026-09-24,Existing repository source: data/shared/briefing-materials/btp 2003-nic 3.pdf
us-btp-national-2003-material-e4d515256fed3e3e-btp-national-2003,btp-national-2003,briefing-material,btp 2003-nic 3,,material-e4d515256fed3e3e-btp-national-2003,2026-09-24,Existing repository source: data/shared/briefing-materials/btp 2003-nic 3.pdf
us-nic2-2003-material-5fd4fcfe9767c285-nic2-2003,nic2-2003,briefing-material,btp 2003-nic 4,,material-5fd4fcfe9767c285-nic2-2003,2026-09-24,Existing repository source: data/shared/briefing-materials/btp 2003-nic 4.pdf
us-btp-national-2003-material-5fd4fcfe9767c285-btp-national-2003,btp-national-2003,briefing-material,btp 2003-nic 4,,material-5fd4fcfe9767c285-btp-national-2003,2026-09-24,Existing repository source: data/shared/briefing-materials/btp 2003-nic 4.pdf
us-btp-general-election-2004-material-55c92b39754401da-btp-general-election-2004,btp-general-election-2004,briefing-material,btp 2004-fall-security,,material-55c92b39754401da-btp-general-election-2004,2026-09-24,Existing repository source: data/btp-general-election-2004/briefing-materials/btp 2004-fall-security.pdf
us-btp-health-education-2005-material-4163f7e9106b2ce3-btp-health-education-2005,btp-health-education-2005,briefing-material,btp 2005-education,,material-4163f7e9106b2ce3-btp-health-education-2005,2026-09-24,Existing repository source: data/btp-health-education-2005/briefing-materials/btp 2005-education.pdf
us-btp-health-education-2005-material-0faa7eba55720f6b-btp-health-education-2005,btp-health-education-2005,briefing-material,btp 2005-health,,material-0faa7eba55720f6b-btp-health-education-2005,2026-09-24,Existing repository source: data/btp-health-education-2005/briefing-materials/btp 2005-health.pdf
us-swepco-1996-material-b799c201e709521e-swepco-1996,swepco-1996,briefing-material,energy-swepco,,material-b799c201e709521e-swepco-1996,2026-09-24,Existing repository source: data/swepco-1996/briefing-materials/energy-swepco.pdf
us-wtu-1996-material-d647471b30f926dc-wtu-1996,wtu-1996,briefing-material,energy-wtu,,material-d647471b30f926dc-wtu-1996,2026-09-24,Existing repository source: data/wtu-1996/briefing-materials/energy-wtu.pdf
us-nic-1996-material-99247b0bb1a1091f-nic-1996,nic-1996,briefing-material,nic-issues 96,,material-99247b0bb1a1091f-nic-1996,2026-09-24,Existing repository source: data/nic-1996/briefing-materials/nic-issues 96.pdf
us-cpl-1996-material-1ee4b1a7a598708d-cpl-1996,cpl-1996,paper,Deliberation and Public Spiritedness Rui Wang 5-22-14 working paper,,material-1ee4b1a7a598708d-cpl-1996,2026-09-24,Existing repository source: data/shared/papers/deliberation-and-public-spiritedness-rui-wang-5-22-14-working-paper.docx
us-wtu-1996-material-1ee4b1a7a598708d-wtu-1996,wtu-1996,paper,Deliberation and Public Spiritedness Rui Wang 5-22-14 working paper,,material-1ee4b1a7a598708d-wtu-1996,2026-09-24,Existing repository source: data/shared/papers/deliberation-and-public-spiritedness-rui-wang-5-22-14-working-paper.docx
us-swepco-1996-material-1ee4b1a7a598708d-swepco-1996,swepco-1996,paper,Deliberation and Public Spiritedness Rui Wang 5-22-14 working paper,,material-1ee4b1a7a598708d-swepco-1996,2026-09-24,Existing repository source: data/shared/papers/deliberation-and-public-spiritedness-rui-wang-5-22-14-working-paper.docx
us-new-haven-2004-material-03b1a5b29192fdc1-new-haven-2004,new-haven-2004,paper,Disaggregating deliberation 27 s effects  28 LSERO 29,,material-03b1a5b29192fdc1-new-haven-2004,2026-09-24,Existing repository source: data/new-haven-2004/papers/disaggregating-deliberation-27 s-effects-28 lsero-29.pdf
us-nic-1996-material-9e22605b26bbd3e3-nic-1996,nic-1996,paper,Luskin.Fishkin.2002,,material-9e22605b26bbd3e3-nic-1996,2026-09-24,Existing repository source: data/nic-1996/papers/luskin-fishkin-2002.doc
us-cpl-1996-material-cdd3ff1e869846b9-cpl-1996,cpl-1996,paper,Util-appam,,material-cdd3ff1e869846b9-cpl-1996,2026-09-24,Existing repository source: data/shared/papers/util-appam.doc
us-wtu-1996-material-cdd3ff1e869846b9-wtu-1996,wtu-1996,paper,Util-appam,,material-cdd3ff1e869846b9-wtu-1996,2026-09-24,Existing repository source: data/shared/papers/util-appam.doc
us-swepco-1996-material-cdd3ff1e869846b9-swepco-1996,swepco-1996,paper,Util-appam,,material-cdd3ff1e869846b9-swepco-1996,2026-09-24,Existing repository source: data/shared/papers/util-appam.doc
us-nic2-2003-material-90cbc9c9cb25b21c-nic2-2003,nic2-2003,paper,Considered Opinions on U.S. Foreign Policy: Evidence from Online and Face-to-Face Deliberative Polling,,material-90cbc9c9cb25b21c-nic2-2003,2026-09-24,Existing empirical manuscript comparing the 2002/2003 online and Philadelphia face-to-face polls; distinct from Brookings foreign-policy-paper.pdf commentary.
us-btp-national-2003-material-90cbc9c9cb25b21c-btp-national-2003,btp-national-2003,paper,Considered Opinions on U.S. Foreign Policy: Evidence from Online and Face-to-Face Deliberative Polling,,material-90cbc9c9cb25b21c-btp-national-2003,2026-09-24,Existing empirical manuscript comparing the 2002/2003 online and Philadelphia face-to-face polls; distinct from Brookings foreign-policy-paper.pdf commentary.
us-nic-1996-material-f51efc2dc1f9a9a1-nic-1996,nic-1996,paper,"Deliberative Polling, Public Opinion, and Democracy: The Case of the National Issues Convention",,material-f51efc2dc1f9a9a1-nic-1996,2026-09-24,Existing repository source: data/nic-1996/papers/issues-convention.pdf
us-btp-online-primaries-2004-material-f3671213505686ab-btp-online-primaries-2004,btp-online-primaries-2004,paper,presidential-nomination,,material-f3671213505686ab-btp-online-primaries-2004,2026-09-24,Existing repository source: data/shared/papers/presidential-nomination.pdf
us-btp-presidential-primaries-2004-material-f3671213505686ab-btp-presidential-primaries-2004,btp-presidential-primaries-2004,paper,presidential-nomination,,material-f3671213505686ab-btp-presidential-primaries-2004,2026-09-24,Existing repository source: data/shared/papers/presidential-nomination.pdf
us-cpl-1996-material-14f09619eb8626fc-cpl-1996,cpl-1996,codebook,Cross-poll attitude indices,,material-14f09619eb8626fc-cpl-1996,2026-09-24,Existing repository source: data/shared/codebooks/attitude_indices/allpollindices.csv
us-new-haven-2004-material-14f09619eb8626fc-new-haven-2004,new-haven-2004,codebook,Cross-poll attitude indices,,material-14f09619eb8626fc-new-haven-2004,2026-09-24,Existing repository source: data/shared/codebooks/attitude_indices/allpollindices.csv
us-nic2-2003-material-14f09619eb8626fc-nic2-2003,nic2-2003,codebook,Cross-poll attitude indices,,material-14f09619eb8626fc-nic2-2003,2026-09-24,Existing repository source: data/shared/codebooks/attitude_indices/allpollindices.csv
us-btp-national-2003-material-14f09619eb8626fc-btp-national-2003,btp-national-2003,codebook,Cross-poll attitude indices,,material-14f09619eb8626fc-btp-national-2003,2026-09-24,Existing repository source: data/shared/codebooks/attitude_indices/allpollindices.csv
us-btp-general-election-2004-material-14f09619eb8626fc-btp-general-election-2004,btp-general-election-2004,codebook,Cross-poll attitude indices,,material-14f09619eb8626fc-btp-general-election-2004,2026-09-24,Existing repository source: data/shared/codebooks/attitude_indices/allpollindices.csv
us-btp-presidential-primaries-2004-material-14f09619eb8626fc-btp-presidential-primaries-2004,btp-presidential-primaries-2004,codebook,Cross-poll attitude indices,,material-14f09619eb8626fc-btp-presidential-primaries-2004,2026-09-24,Existing repository source: data/shared/codebooks/attitude_indices/allpollindices.csv
us-san-mateo-2008-material-14f09619eb8626fc-san-mateo-2008,san-mateo-2008,codebook,Cross-poll attitude indices,,material-14f09619eb8626fc-san-mateo-2008,2026-09-24,Existing repository source: data/shared/codebooks/attitude_indices/allpollindices.csv
us-btp-health-education-2005-material-14f09619eb8626fc-btp-health-education-2005,btp-health-education-2005,codebook,Cross-poll attitude indices,,material-14f09619eb8626fc-btp-health-education-2005,2026-09-24,Existing repository source: data/shared/codebooks/attitude_indices/allpollindices.csv
us-wtu-1996-material-14f09619eb8626fc-wtu-1996,wtu-1996,codebook,Cross-poll attitude indices,,material-14f09619eb8626fc-wtu-1996,2026-09-24,Existing repository source: data/shared/codebooks/attitude_indices/allpollindices.csv
us-nic-1996-material-14f09619eb8626fc-nic-1996,nic-1996,codebook,Cross-poll attitude indices,,material-14f09619eb8626fc-nic-1996,2026-09-24,Existing repository source: data/shared/codebooks/attitude_indices/allpollindices.csv
us-swepco-1996-material-14f09619eb8626fc-swepco-1996,swepco-1996,codebook,Cross-poll attitude indices,,material-14f09619eb8626fc-swepco-1996,2026-09-24,Existing repository source: data/shared/codebooks/attitude_indices/allpollindices.csv
us-cpl-1996-material-e0ff5cf4f836a41b-cpl-1996,cpl-1996,codebook,Cross-poll attitude indices with empirical premises,,material-e0ff5cf4f836a41b-cpl-1996,2026-09-24,Existing repository source: data/shared/codebooks/attitude_indices/allpollindices-withempiricalpremises.csv
us-new-haven-2004-material-e0ff5cf4f836a41b-new-haven-2004,new-haven-2004,codebook,Cross-poll attitude indices with empirical premises,,material-e0ff5cf4f836a41b-new-haven-2004,2026-09-24,Existing repository source: data/shared/codebooks/attitude_indices/allpollindices-withempiricalpremises.csv
us-nic2-2003-material-e0ff5cf4f836a41b-nic2-2003,nic2-2003,codebook,Cross-poll attitude indices with empirical premises,,material-e0ff5cf4f836a41b-nic2-2003,2026-09-24,Existing repository source: data/shared/codebooks/attitude_indices/allpollindices-withempiricalpremises.csv
us-btp-national-2003-material-e0ff5cf4f836a41b-btp-national-2003,btp-national-2003,codebook,Cross-poll attitude indices with empirical premises,,material-e0ff5cf4f836a41b-btp-national-2003,2026-09-24,Existing repository source: data/shared/codebooks/attitude_indices/allpollindices-withempiricalpremises.csv
us-btp-general-election-2004-material-e0ff5cf4f836a41b-btp-general-election-2004,btp-general-election-2004,codebook,Cross-poll attitude indices with empirical premises,,material-e0ff5cf4f836a41b-btp-general-election-2004,2026-09-24,Existing repository source: data/shared/codebooks/attitude_indices/allpollindices-withempiricalpremises.csv
us-btp-presidential-primaries-2004-material-e0ff5cf4f836a41b-btp-presidential-primaries-2004,btp-presidential-primaries-2004,codebook,Cross-poll attitude indices with empirical premises,,material-e0ff5cf4f836a41b-btp-presidential-primaries-2004,2026-09-24,Existing repository source: data/shared/codebooks/attitude_indices/allpollindices-withempiricalpremises.csv
us-san-mateo-2008-material-e0ff5cf4f836a41b-san-mateo-2008,san-mateo-2008,codebook,Cross-poll attitude indices with empirical premises,,material-e0ff5cf4f836a41b-san-mateo-2008,2026-09-24,Existing repository source: data/shared/codebooks/attitude_indices/allpollindices-withempiricalpremises.csv
us-btp-health-education-2005-material-e0ff5cf4f836a41b-btp-health-education-2005,btp-health-education-2005,codebook,Cross-poll attitude indices with empirical premises,,material-e0ff5cf4f836a41b-btp-health-education-2005,2026-09-24,Existing repository source: data/shared/codebooks/attitude_indices/allpollindices-withempiricalpremises.csv
us-wtu-1996-material-e0ff5cf4f836a41b-wtu-1996,wtu-1996,codebook,Cross-poll attitude indices with empirical premises,,material-e0ff5cf4f836a41b-wtu-1996,2026-09-24,Existing repository source: data/shared/codebooks/attitude_indices/allpollindices-withempiricalpremises.csv
us-nic-1996-material-e0ff5cf4f836a41b-nic-1996,nic-1996,codebook,Cross-poll attitude indices with empirical premises,,material-e0ff5cf4f836a41b-nic-1996,2026-09-24,Existing repository source: data/shared/codebooks/attitude_indices/allpollindices-withempiricalpremises.csv
us-swepco-1996-material-e0ff5cf4f836a41b-swepco-1996,swepco-1996,codebook,Cross-poll attitude indices with empirical premises,,material-e0ff5cf4f836a41b-swepco-1996,2026-09-24,Existing repository source: data/shared/codebooks/attitude_indices/allpollindices-withempiricalpremises.csv
us-cpl-1996-material-9408908108592c63-cpl-1996,cpl-1996,codebook,Appendix A -9-14-14,,material-a6eea8ca19a00fe8-cpl-1996,2026-09-24,"Retained source replaces redundant Appendix A -1-13-14. Every nonblank January paragraph occurs in September appendix; September extends 184 to 273 paragraphs. No comments, substantive footnotes/endnotes or deleted-text runs in either original."
us-new-haven-2004-material-9408908108592c63-new-haven-2004,new-haven-2004,codebook,Appendix A -9-14-14,,material-a6eea8ca19a00fe8-new-haven-2004,2026-09-24,"Retained source replaces redundant Appendix A -1-13-14. Every nonblank January paragraph occurs in September appendix; September extends 184 to 273 paragraphs. No comments, substantive footnotes/endnotes or deleted-text runs in either original."
us-nic2-2003-material-9408908108592c63-nic2-2003,nic2-2003,codebook,Appendix A -9-14-14,,material-a6eea8ca19a00fe8-nic2-2003,2026-09-24,"Retained source replaces redundant Appendix A -1-13-14. Every nonblank January paragraph occurs in September appendix; September extends 184 to 273 paragraphs. No comments, substantive footnotes/endnotes or deleted-text runs in either original."
us-btp-national-2003-material-9408908108592c63-btp-national-2003,btp-national-2003,codebook,Appendix A -9-14-14,,material-a6eea8ca19a00fe8-btp-national-2003,2026-09-24,"Retained source replaces redundant Appendix A -1-13-14. Every nonblank January paragraph occurs in September appendix; September extends 184 to 273 paragraphs. No comments, substantive footnotes/endnotes or deleted-text runs in either original."
us-btp-general-election-2004-material-9408908108592c63-btp-general-election-2004,btp-general-election-2004,codebook,Appendix A -9-14-14,,material-a6eea8ca19a00fe8-btp-general-election-2004,2026-09-24,"Retained source replaces redundant Appendix A -1-13-14. Every nonblank January paragraph occurs in September appendix; September extends 184 to 273 paragraphs. No comments, substantive footnotes/endnotes or deleted-text runs in either original."
us-btp-presidential-primaries-2004-material-9408908108592c63-btp-presidential-primaries-2004,btp-presidential-primaries-2004,codebook,Appendix A -9-14-14,,material-a6eea8ca19a00fe8-btp-presidential-primaries-2004,2026-09-24,"Retained source replaces redundant Appendix A -1-13-14. Every nonblank January paragraph occurs in September appendix; September extends 184 to 273 paragraphs. No comments, substantive footnotes/endnotes or deleted-text runs in either original."
us-san-mateo-2008-material-9408908108592c63-san-mateo-2008,san-mateo-2008,codebook,Appendix A -9-14-14,,material-a6eea8ca19a00fe8-san-mateo-2008,2026-09-24,"Retained source replaces redundant Appendix A -1-13-14. Every nonblank January paragraph occurs in September appendix; September extends 184 to 273 paragraphs. No comments, substantive footnotes/endnotes or deleted-text runs in either original."
us-btp-health-education-2005-material-9408908108592c63-btp-health-education-2005,btp-health-education-2005,codebook,Appendix A -9-14-14,,material-a6eea8ca19a00fe8-btp-health-education-2005,2026-09-24,"Retained source replaces redundant Appendix A -1-13-14. Every nonblank January paragraph occurs in September appendix; September extends 184 to 273 paragraphs. No comments, substantive footnotes/endnotes or deleted-text runs in either original."
us-wtu-1996-material-9408908108592c63-wtu-1996,wtu-1996,codebook,Appendix A -9-14-14,,material-a6eea8ca19a00fe8-wtu-1996,2026-09-24,"Retained source replaces redundant Appendix A -1-13-14. Every nonblank January paragraph occurs in September appendix; September extends 184 to 273 paragraphs. No comments, substantive footnotes/endnotes or deleted-text runs in either original."
us-nic-1996-material-9408908108592c63-nic-1996,nic-1996,codebook,Appendix A -9-14-14,,material-a6eea8ca19a00fe8-nic-1996,2026-09-24,"Retained source replaces redundant Appendix A -1-13-14. Every nonblank January paragraph occurs in September appendix; September extends 184 to 273 paragraphs. No comments, substantive footnotes/endnotes or deleted-text runs in either original."
us-swepco-1996-material-9408908108592c63-swepco-1996,swepco-1996,codebook,Appendix A -9-14-14,,material-a6eea8ca19a00fe8-swepco-1996,2026-09-24,"Retained source replaces redundant Appendix A -1-13-14. Every nonblank January paragraph occurs in September appendix; September extends 184 to 273 paragraphs. No comments, substantive footnotes/endnotes or deleted-text runs in either original."
us-cpl-1996-material-7af1872d80219bc0-cpl-1996,cpl-1996,codebook,Rosetta Stone,,material-7af1872d80219bc0-cpl-1996,2026-09-24,Existing repository source: data/shared/codebooks/rosetta_stone/rosetta-stone.xls
us-new-haven-2004-material-7af1872d80219bc0-new-haven-2004,new-haven-2004,codebook,Rosetta Stone,,material-7af1872d80219bc0-new-haven-2004,2026-09-24,Existing repository source: data/shared/codebooks/rosetta_stone/rosetta-stone.xls
us-nic2-2003-material-7af1872d80219bc0-nic2-2003,nic2-2003,codebook,Rosetta Stone,,material-7af1872d80219bc0-nic2-2003,2026-09-24,Existing repository source: data/shared/codebooks/rosetta_stone/rosetta-stone.xls
us-btp-national-2003-material-7af1872d80219bc0-btp-national-2003,btp-national-2003,codebook,Rosetta Stone,,material-7af1872d80219bc0-btp-national-2003,2026-09-24,Existing repository source: data/shared/codebooks/rosetta_stone/rosetta-stone.xls
