source_column,source_value,value_label
unr2reco,-9,not answered
unr2reco,-8,dk
unr2reco,0,gone up a little
unr2reco,1,gone up a lot
txr2reco,-9,not answered
txr2reco,-8,dk
txr2reco,0,gone up a little
txr2reco,1,gone up a lot
hcr2reco,-9,not answered
hcr2reco,-8,dk
hcr2reco,0,gone up a little
hcr2reco,1,gone up a lot
edr2reco,-9,not answered
edr2reco,-8,dk
edr2reco,0,gone up a little
edr2reco,1,gone up a lot
prcn2rec,-9,not answered
prcn2rec,-8,dk
prcn2rec,0,get a little stronger
prcn2rec,1,get a lot stronger
prlb2rec,-9,not answered
prlb2rec,-8,dk
prlb2rec,0,get a little stronger
prlb2rec,1,get a lot stronger
prcni2re,-9,not answered
prcni2re,-8,dk
prcni2re,0,go up a little
prcni2re,1,go up a lot
prcnu2re,-9,not answered
prcnu2re,-8,dk
prcnu2re,0,go up a little
prcnu2re,1,go up a lot
prcnt2re,-9,not answered
prcnt2re,-8,dk
prcnt2re,0,go up a little
prcnt2re,1,go up a lot
prcnh2re,-9,not answered
prcnh2re,-8,dk
prcnh2re,0,go up a little
prcnh2re,1,go up a lot
prcne2re,-9,not answered
prcne2re,-8,dk
prcne2re,0,go up a little
prcne2re,1,go up a lot
prlbi2re,-9,not answered
prlbi2re,-8,dk
prlbi2re,0,go up a little
prlbi2re,1,go up a lot
prlbu2re,-9,not answered
prlbu2re,-8,dk
prlbu2re,0,go up a little
prlbu2re,1,go up a lot
prlbt2re,-9,not answered
prlbt2re,-8,dk
prlbt2re,0,go up a little
prlbt2re,1,go up a lot
prlbh2re,-9,not answered
prlbh2re,-8,dk
prlbh2re,0,go up a little
prlbh2re,1,go up a lot
prlbe2re,-9,not answered
prlbe2re,-8,dk
prlbe2re,0,go up a little
prlbe2re,1,go up a lot
pcktb2re,-9,not answered
pcktb2re,-8,don't know
pcktb2re,0,a little better of under labour than under conservative
pcktb2re,1,much better off under labour than conservative
txfr2rec,-9,not answered
txfr2rec,-8,don't know
txfr2rec,0,quite fair
txfr2rec,1,very fair
txrch2re,-9,not answered
txrch2re,-8,don't know
txrch2re,0,agree somewhat
txrch2re,1,disagree somewhat
rdstr2re,-9,not answered
rdstr2re,-8,don't know
rdstr2re,0,6/7
rdstr2re,1,gov. try to hard to make income more equal (7/7)
rdstr2_a,0,6/7
rdstr2_a,1,gov. try to hard to make income more equal (7/7)
rdstc2co,0,wrong/dk/not ans
rdstc2co,1,correct
rdstc2re,-9,not answered
rdstc2re,-8,don't know
rdstc2re,0,6/7
rdstc2re,1,gov. try to hard to make income more equal (7/7)
rdstc2_a,0,6/7
rdstc2_a,1,gov. try to hard to make income more equal (7/7)
rdstl2co,0,wrong/dk/not ans
rdstl2co,1,correct
rdstl2re,-9,not answered
rdstl2re,-8,don't know
rdstl2re,0,6/7
