poll_id,legacy_field,definition_id,respondents,compared_values,missingness_differences,value_differences,max_absolute_difference,tolerance
uk-monarchy-1996,knowgain,knowledge_gain@historical-v1,258,258,0,0,4.996003610813204e-16,1e-10
uk-monarchy-1996,knowgain2,knowledge_gain_joint@historical-v1,258,258,0,0,4.996003610813204e-16,1e-10
uk-monarchy-1996,logpk,log_knowledge_joint@historical-v1,258,258,0,0,4.218847493575595e-15,1e-10
uk-monarchy-1996,tobitpk,high_knowledge_joint@historical-v1,258,258,0,0,0,1e-10
uk-monarchy-1996,knowgainr,knowledge_gain@historical-v1,258,258,0,0,4.996003610813204e-16,1e-10
uk-monarchy-1996,knowgainr2,knowledge_gain_joint@historical-v1,258,258,0,0,4.996003610813204e-16,1e-10
uk-monarchy-1996,educ3,education_three@historical-v1,258,258,0,0,0,1e-10
uk-monarchy-1996,ukmonarchy.t1supmon,monarchy_support_t1@historical-v1,258,256,0,0,5.273559366969494e-16,1e-10
uk-monarchy-1996,ukmonarchy.t2supmon,monarchy_support_t2@historical-v1,258,257,0,0,5.273559366969494e-16,1e-10
uk-monarchy-1996,ukmonarchy.t1mpop,monarchy_people_t1@historical-v1,258,258,0,0,4.440892098500626e-16,1e-10
uk-monarchy-1996,ukmonarchy.t2mpop,monarchy_people_t2@historical-v1,258,258,0,0,4.440892098500626e-16,1e-10
uk-monarchy-1996,ukmonarchy.t1pwrm,monarchy_power_t1@historical-v1,258,257,0,0,0,1e-10
uk-monarchy-1996,ukmonarchy.t2pwrm,monarchy_power_t2@historical-v1,258,251,0,0,0,1e-10
uk-monarchy-1996,ukmonarchy.t1reflor,lords_reform_t1@historical-v1,258,249,0,0,4.440892098500626e-16,1e-10
uk-monarchy-1996,ukmonarchy.t2reflor,lords_reform_t2@historical-v1,258,251,0,0,4.440892098500626e-16,1e-10
uk-monarchy-1996,bettered,higher_education@historical-v1,258,258,0,0,0,1e-10
uk-general-election-1997,readbrief,read_briefing@historical-v1,275,0,0,0,0,1e-10
uk-general-election-1997,t1know,knowledge_t1@historical-v1,275,275,0,0,4.996003610813204e-16,1e-10
uk-general-election-1997,t1knowr,knowledge_t1@historical-v1,275,275,0,0,4.996003610813204e-16,1e-10
uk-general-election-1997,t1knowcor,knowledge_joint@historical-v1,275,275,0,0,3.3306690738754696e-16,1e-10
uk-general-election-1997,t2know,knowledge_t2@historical-v1,275,275,0,0,3.3306690738754696e-16,1e-10
uk-general-election-1997,ppage,age@historical-v1,275,274,0,0,0,1e-10
uk-general-election-1997,educ4,education_four@historical-v1,275,274,0,0,0,1e-10
uk-general-election-1997,minority,minority@historical-v1,275,273,0,0,0,1e-10
uk-general-election-1997,hhincome,household_income@historical-v1,275,251,0,0,0,1e-10
uk-general-election-1997,female,female@historical-v1,275,275,0,0,0,1e-10
uk-general-election-1997,attextreme,attitude_extremity@historical-v1,275,274,0,0,5.551115123125783e-16,1e-10
uk-general-election-1997,highinc,high_income@historical-v1,275,251,0,0,0,1e-10
uk-general-election-1997,t1polint,political_interest_t1@historical-v1,275,272,0,0,0,1e-10
uk-general-election-1997,t1knowcor2,knowledge_joint_midterm@historical-v1,275,0,0,0,0,1e-10
uk-general-election-1997,t12know,knowledge_midterm@historical-v1,275,0,0,0,0,1e-10
uk-general-election-1997,t12knowcor,knowledge_midterm_joint@historical-v1,275,0,0,0,0,1e-10
uk-general-election-1997,attextreme2,attitude_extremity_midterm@historical-v1,275,0,0,0,0,1e-10
uk-general-election-1997,t1knowrcor,knowledge_joint@historical-v1,275,275,0,0,3.3306690738754696e-16,1e-10
uk-general-election-1997,t2knowr,knowledge_t2@historical-v1,275,275,0,0,3.3306690738754696e-16,1e-10
uk-general-election-1997,knowgain,knowledge_gain@historical-v1,275,275,0,0,4.718447854656915e-16,1e-10
uk-general-election-1997,knowgain2,knowledge_gain_joint@historical-v1,275,275,0,0,4.440892098500626e-16,1e-10
uk-general-election-1997,logpk,log_knowledge_joint@historical-v1,275,275,0,0,5.3290705182007514e-15,1e-10
uk-general-election-1997,tobitpk,high_knowledge_joint@historical-v1,275,275,0,0,0,1e-10
uk-general-election-1997,knowgainr,knowledge_gain@historical-v1,275,275,0,0,4.718447854656915e-16,1e-10
uk-general-election-1997,knowgainr2,knowledge_gain_joint@historical-v1,275,275,0,0,4.440892098500626e-16,1e-10
uk-general-election-1997,educ3,education_three@historical-v1,275,274,0,0,0,1e-10
uk-general-election-1997,ukbge.t1redist,redistribution_t1@historical-v1,275,268,0,0,4.440892098500626e-16,1e-10
uk-general-election-1997,ukbge.t1tax,tax_t1@historical-v1,275,271,0,0,4.440892098500626e-16,1e-10
uk-general-election-1997,ukbge.t1wage,minimum_wage_t1@historical-v1,275,269,0,0,4.440892098500626e-16,1e-10
uk-general-election-1997,ukbge.t1eu,european_union_t1@historical-v1,275,250,0,0,4.440892098500626e-16,1e-10
uk-general-election-1997,ukbge.t2redist,redistribution_t2@historical-v1,275,267,0,0,4.440892098500626e-16,1e-10
uk-general-election-1997,ukbge.t2tax,tax_t2@historical-v1,275,259,0,0,0,1e-10
uk-general-election-1997,ukbge.t2wage,minimum_wage_t2@historical-v1,275,259,0,0,4.440892098500626e-16,1e-10
uk-general-election-1997,ukbge.t2eu,european_union_t2@historical-v1,275,244,0,0,4.440892098500626e-16,1e-10
uk-general-election-1997,bettered,higher_education@historical-v1,275,274,0,0,0,1e-10
uk-crime-1994,readbrief,read_briefing@historical-v1,299,0,0,0,0,1e-10
uk-crime-1994,t1know,knowledge_t1@historical-v1,299,299,0,0,4.440892098500626e-16,1e-10
uk-crime-1994,t1knowr,knowledge_issue_t1@historical-v1,299,0,0,0,0,1e-10
uk-crime-1994,t1knowcor,knowledge_joint@historical-v1,299,299,0,0,4.440892098500626e-16,1e-10
uk-crime-1994,t2know,knowledge_t2@historical-v1,299,299,0,0,4.440892098500626e-16,1e-10
uk-crime-1994,ppage,age@historical-v1,299,299,0,0,0,1e-10
uk-crime-1994,educ4,education_four@historical-v1,299,299,0,0,0,1e-10
uk-crime-1994,minority,minority@historical-v1,299,298,0,0,0,1e-10
uk-crime-1994,hhincome,household_income@historical-v1,299,0,0,0,0,1e-10
uk-crime-1994,female,female@historical-v1,299,299,0,0,0,1e-10
uk-crime-1994,attextreme,attitude_extremity@historical-v1,299,299,0,0,4.996003610813204e-16,1e-10
uk-crime-1994,highinc,high_income@historical-v1,299,0,0,0,0,1e-10
uk-crime-1994,t1polint,political_interest_t1@historical-v1,299,0,0,0,0,1e-10
uk-crime-1994,t1knowcor2,knowledge_joint_midterm@historical-v1,299,0,0,0,0,1e-10
uk-crime-1994,t12know,knowledge_midterm@historical-v1,299,0,0,0,0,1e-10
uk-crime-1994,t12knowcor,knowledge_midterm_joint@historical-v1,299,0,0,0,0,1e-10
uk-crime-1994,attextreme2,attitude_extremity_midterm@historical-v1,299,0,0,0,0,1e-10
uk-crime-1994,t1knowrcor,knowledge_issue_joint@historical-v1,299,0,0,0,0,1e-10
uk-crime-1994,t2knowr,knowledge_issue_t2@historical-v1,299,0,0,0,0,1e-10
uk-crime-1994,knowgain,knowledge_gain@historical-v1,299,299,0,0,4.440892098500626e-16,1e-10
uk-crime-1994,knowgain2,knowledge_gain_joint@historical-v1,299,299,0,0,4.440892098500626e-16,1e-10
uk-crime-1994,logpk,log_knowledge_joint@historical-v1,299,299,0,0,3.552713678800501e-15,1e-10
uk-crime-1994,tobitpk,high_knowledge_joint@historical-v1,299,299,0,0,0,1e-10
uk-crime-1994,knowgainr,knowledge_issue_gain@historical-v1,299,0,0,0,0,1e-10
uk-crime-1994,knowgainr2,knowledge_issue_gain_joint@historical-v1,299,0,0,0,0,1e-10
uk-crime-1994,educ3,education_three@historical-v1,299,299,0,0,0,1e-10
uk-crime-1994,ukcrime.rootcauset1,root_causes_t1@historical-v1,299,299,0,0,3.3306690738754696e-16,1e-10
uk-crime-1994,ukcrime.policet1,policing_t1@historical-v1,299,299,0,0,0,1e-10
uk-crime-1994,ukcrime.punisht1,punishment_t1@historical-v1,299,299,0,0,4.440892098500626e-16,1e-10
uk-crime-1994,ukcrime.procrightst1,procedural_restrictions_t1@historical-v1,299,299,0,0,4.440892098500626e-16,1e-10
uk-crime-1994,ukcrime.selfprotectt1,self_protection_t1@historical-v1,299,299,0,0,3.3306690738754696e-16,1e-10
