path,bytes,sha256,extension,identical_copies,disclosure_status,publication_status
data/BTP/BTP_Cities/10City/Seattle/Raw_Data/newvar.spss.txt,6983,5643b44cf6d2246db9ece29858174d89d5031c79a8790676e2af8db7ef1227e2,txt,1,review_required,vault_only
data/BTP/BTP_Cities/10City/Seattle/Sarasota.doc,26112,90f7b6d6485ae959cd58c133e9e66bc92b963158b7cf3aa641a3280fc6928158,doc,1,review_required,vault_only
data/BTP/BTP_Cities/10City/Seattle/Surveydatainventory1.doc,31232,6ffcb7088c6831ce063e33c333b71a399ed641b84ffa4ec4232abc8b5efc1d74,doc,1,review_required,vault_only
data/BTP/BTP_Cities/10City/Seattle/Tables - word/_notes/dwsync.xml,503,cd56552ea413d1ebb538eac91cf29e355b03897e51247b33257f1aa3c3a815c2,xml,1,review_required,vault_only
data/BTP/BTP_Cities/10City/Seattle/Tables - word/baton_rouge_word_format.doc,805888,b397f9bbc782a7c781b0ed0017132bb0d7be493e6637ab180e0f00aa86e138d1,doc,1,review_required,vault_only
data/BTP/BTP_Cities/10City/Seattle/Tables - word/minneapolis_word_format.doc,804864,b72e40c7ca0c361aa10f6ac29f033f58a543b88496535f241d157d628d505a40,doc,1,review_required,vault_only
data/BTP/BTP_Cities/10City/Seattle/Tables - word/pittsburg_word_format.doc,804864,c4d3b9add1073c0a2b52cc4d81347085bf3ebf6d1b1ea7b6e3557a15ca2322f4,doc,1,review_required,vault_only
data/BTP/BTP_Cities/10City/Seattle/Tables - word/sarasota_word_format.doc,804352,822f55c540245379918e73262132e86eb69bd479feecd06eb4b764ec1597f217,doc,1,review_required,vault_only
data/BTP/BTP_Cities/10City/Seattle/Tables/00_aggregate1.xls,65024,9093792d360d28ae0f987cadbb7ae7649536702a4cb7ac59643230959c1456d7,xls,1,review_required,vault_only
data/BTP/BTP_Cities/10City/Seattle/Tables/01_baton_rouge1.xls,68608,e6e7415be627e4c91c4f74c48b956376c917cfabbe38ac8613044ef5976a6ed8,xls,1,review_required,vault_only
data/BTP/BTP_Cities/10City/Seattle/Tables/03_green_bay1.xls,63488,bda0751d14dcea147d2f4d456e6d8af77ca122e1da24cfe15eb3ec85f109816d,xls,1,review_required,vault_only
data/BTP/BTP_Cities/10City/Seattle/Tables/04_minneapolis1.xls,61952,b67d8559a7612c41bb040b081d497878e5d7d865e47a0df7fb6c7fb0bd69aa70,xls,1,review_required,vault_only
