poll_id,poll_name,n_indices,att_index,t1var,t2_t3var,details
22,UK Health,11,Healthcare Funding Options,ukhealth.t1hlthfu,ukhealth.t2hlthfu,
22,UK Health,11,Cutting Expensive Treatments,ukhealth.t1ctexpt,ukhealth.t2ctexpt,
22,UK Health,11,Privatizing Some Treatments,ukhealth.t1pritre,ukhealth.t2pritre,
22,UK Health,11,Priority Based On Severity,ukhealth.t1severi,ukhealth.t2severi,
22,UK Health,11,Priority to Prevention,ukhealth.t1preven,ukhealth.t2preven,
22,UK Health,11,Discretion,ukhealth.t1dispub,ukhealth.t2dispub,
22,UK Health,11,Doctors Discretion,ukhealth.t1avgdis,ukhealth.t2avgdis,
22,UK Health,11,Patients have more say,ukhealth.t1moresa,ukhealth.t2moresa,
23,UK Monarchy,4,Support for Monarchy,ukmonarchy.t1supmon,ukmonarchy.t2supmon,
23,UK Monarchy,4,Power of Monarchy,ukmonarchy.t1mpop,ukmonarchy.t2mpop,
23,UK Monarchy,4,Monarchy and Populism,ukmonarchy.t1pwrm,ukmonarchy.t2pwrm,
23,UK Monarchy,4,Reform HOL ,ukmonarchy.t1reflor,ukmonarchy.t2reflor,
25,UK GE ,4,Redistribution,ukbge.t1redist,ukbge.t2redist,
25,UK GE ,4,Tax,ukbge.t1tax,ukbge.t2tax,
25,UK GE ,4,Minimum Wage,ukbge.t1wage,ukbge.t2wage,
25,UK GE ,4,EU,ukbge.t1eu,ukbge.t2eu,
26,AU Monarchy,5,National Autonomy,aus.autind1,aus.autind2,
26,AU Monarchy,5,Workability,aus.workind1,aus.workind2,
26,AU Monarchy,5,Democracy,aus.demind1,aus.demind2,
26,AU Monarchy,5,Tradition,aus.tradind1,aus.tradind2,
26,AU Monarchy,5,Politicization,aus.polind1,aus.polind2,
27,UK Crime,5,Social Root Causes,ukcrime.rootcauset1,ukcrime.rootcauset2,
27,UK Crime,5,Police,ukcrime.policet1,ukcrime.policet2,
27,UK Crime,5,Punishment,ukcrime.punisht1,ukcrime.punisht2,
27,UK Crime,5,Procedural Rights,ukcrime.procrightst1,ukcrime.procrightst2,
27,UK Crime,5,Self-Protection,ukcrime.selfprotectt1,ukcrime.selfprotectt2,
28,EU 2007,7,EU Membership,eu.support_eu_membership_t1,eu.support_eu_membership_t2,
28,EU 2007,7,Privatization of pension,eu.att_towards_privatization_t1,eu.att_towards_privatization_t2,
28,EU 2007,7,Immigration,eu.attitude_towards_migration_t1,eu.attitude_towards_migration_t2,
28,EU 2007,7,Militarism,eu.mil_att_11_12_t1,eu.mil_att_11_12_t2,
28,EU 2007,7,Pacifist EU,eu.t1q11b,eu.t2q11br,
28,EU 2007,7,Include Turkey in EU,eu.turkey_enlargement_att_t1,eu.turkey_enlargement_att_t2,
28,EU 2007,7,Countries Should have Veto,eu.eu_veto_support_t1,eu.eu_veto_support_t2,
29,CPL,7,Research,cpl.t1res,cpl.t2res,
29,CPL,7,Conservation,cpl.t1cons,cpl.t2cons,
29,CPL,7,Helping Low Income Customer,cpl.t1poor,cpl.t2poor,
29,CPL,7,Use Renewables,cpl.t1renew,cpl.t2renew,
29,CPL,7,Build Fossil Fuel Plant,cpl.t1fossil,cpl.t2fossil,
29,CPL,7,Buying/Importing Power,cpl.t1buypwr,cpl.t2buypwr,
29,CPL,7,Competition is Good,cpl.t1compet,cpl.t2compet,
986,WTU,7,Buying/Importing Power,wtu.t1att1,wtu.t2att1,
986,WTU,7,Competition is Good,wtu.t1att2,wtu.t2att2,
986,WTU,7,Minimize Environmental Impact,wtu.t1att3,wtu.t2att3,
986,WTU,7,Decreasing Need through Efficiency,wtu.t1att4,wtu.t2att4,
986,WTU,7,Use Renewables,wtu.t1att5,wtu.t2att5,
986,WTU,7,Research,wtu.t1att6,wtu.t2att6,
986,WTU,7,Build Fossil Fuel Plant,wtu.t1att7,wtu.t2att7,
3000,SWEPCO,7,Buying/Importing Power,swp.t1att1,swp.t2att1,
3000,SWEPCO,7,Competition is Good,swp.t1att2,swp.t2att2,
3000,SWEPCO,7,Minimize Environmental Impact,swp.t1att3,swp.t2att3,
3000,SWEPCO,7,Decreasing Need through Efficiency,swp.t1att4,swp.t2att4,
3000,SWEPCO,7,Use Renewables,swp.t1att5,swp.t2att5,
3000,SWEPCO,7,Research,swp.t1att6,swp.t2att6,
