caseid,source_row,pollgroup,baseline_police_raw,post_children_raw,post_tv_raw,post_discipline_raw,pre,historical_post,candidate_post,delta
10504,504,2718,5,5,5,5,1,1,1,0
10507,507,2716,5,5,5,5,1,1,1,0
10518,518,2718,4,4,4,4,0.75,0.75,0.75,0
10519,519,2709,5,5,4,5,0.6666666666666666,0.9166666666666666,0.9166666666666666,0
10520,520,2718,5,5,4,4,0.8333333333333334,0.8333333333333334,0.8333333333333334,0
10521,521,2707,4,5,4,4,0.4166666666666667,0.75,0.8333333333333334,0.08333333333333337
10522,522,2719,5,4,4,4,0.75,0.8333333333333334,0.75,-0.08333333333333337
10524,524,2717,5,5,3,5,0.9166666666666666,0.8333333333333334,0.8333333333333334,0
10526,526,2705,4,5,5,5,1,0.9166666666666666,1,0.08333333333333337
10531,531,2708,4,5,5,5,0.9166666666666666,0.9166666666666666,1,0.08333333333333337
10532,532,2714,5,4,2,5,0.8333333333333334,0.75,0.6666666666666666,-0.08333333333333337
10534,534,2720,4,5,4,5,0.75,0.8333333333333334,0.9166666666666666,0.08333333333333326
10536,536,2715,4,3,3,4,0.5833333333333334,0.6666666666666666,0.5833333333333334,-0.08333333333333326
10542,542,2712,5,5,5,5,0.9166666666666666,1,1,0
10546,546,2713,5,4,4,5,1,0.9166666666666666,0.8333333333333334,-0.08333333333333326
10549,549,2718,4,5,4,5,0.75,0.8333333333333334,0.9166666666666666,0.08333333333333326
10553,553,2708,4,5,5,5,0.8333333333333334,0.9166666666666666,1,0.08333333333333337
10559,559,2701,5,4,3,4,0.5833333333333334,0.75,0.6666666666666666,-0.08333333333333337
10560,560,2704,5,5,5,5,1,1,1,0
10561,561,2711,5,5,4,5,0.9166666666666666,0.9166666666666666,0.9166666666666666,0
10563,563,2706,5,5,4,5,0.9166666666666666,0.9166666666666666,0.9166666666666666,0
10567,567,2714,2,4,4,5,0.75,0.6666666666666666,0.8333333333333334,0.16666666666666674
10568,568,2703,5,5,5,5,1,1,1,0
10570,570,2705,4,5,3,4,0.6666666666666666,0.6666666666666666,0.75,0.08333333333333337
10574,574,2720,4,5,4,4,0.5833333333333334,0.75,0.8333333333333334,0.08333333333333337
10583,583,2717,4,3,4,5,0.75,0.8333333333333334,0.75,-0.08333333333333337
