legacy_field,caseid,historical_value,approved_value
nh.t1endexp,910059,0.875,0.875
nh.t1endexp,910029,1,1
nh.t1endexp,910075,0.875,0.875
nh.t1endexp,910060,0.675000011920929,0.625
nh.t1endexp,910026,1,1
nh.t1endexp,910039,0.5,0.5
nh.t1endexp,910069,0.5,0.5
nh.t1endexp,910006,0.875,0.875
nh.t1endexp,910012,1,1
nh.t1endexp,910043,0.875,0.875
nh.t1endexp,910025,0.5,0.5
nh.t1endexp,910097,0.375,0.375
nh.t1endexp,910071,0.875,0.875
nh.t1endexp,910129,0.5,0.5
nh.t1endexp,910037,1,1
nh.t1endexp,910032,0.25,0.25
nh.t1endexp,910066,0.375,0.375
nh.t1endexp,910086,0.875,0.875
nh.t1endexp,910014,1,1
nh.t1endexp,910103,0.875,0.875
nh.t1endexp,910018,1,1
nh.t1endexp,910070,0.875,0.875
nh.t1endexp,910027,1,1
nh.t1endexp,910017,0.675000011920929,0.625
nh.t1endexp,910091,1,1
nh.t1endexp,910047,0.125,0.125
nh.t1endexp,910052,0.875,0.875
nh.t1endexp,910065,1,1
nh.t1endexp,910019,0.875,0.875
nh.t1endexp,910009,1,1
nh.t1endexp,910118,1,1
nh.t1endexp,910058,0.125,0.125
nh.t1endexp,910125,1,1
nh.t1endexp,910082,1,1
nh.t1endexp,910121,0.875,0.875
nh.t1endexp,910099,1,1
nh.t1endexp,910116,0.675000011920929,0.625
nh.t1endexp,910101,0.675000011920929,0.625
nh.t1endexp,910113,1,1
nh.t2endexp,910073,0.875,0.875
nh.t2endexp,910102,1,1
nh.t2endexp,910036,0.875,0.875
nh.t2endexp,910049,0.375,0.375
nh.t2endexp,910094,0.5,0.5
nh.t2endexp,910122,0.5,0.5
nh.t2endexp,910001,1,1
nh.t2endexp,910127,1,1
nh.t2endexp,910013,0.75,0.75
nh.t2endexp,910072,0.125,0.125
nh.t2endexp,910068,0.875,0.875
nh.t2endexp,910005,0.125,0.125
nh.t2endexp,910022,0.75,0.75
nh.t2endexp,910117,0.75,0.75
nh.t2endexp,910083,1,1
nh.t2endexp,910085,1,1
nh.t2endexp,910041,0.875,0.875
nh.t2endexp,910098,1,1
nh.t2endexp,910074,0.75,0.75
nh.t2endexp,910016,1,1
nh.t2endexp,910020,0.875,0.875
nh.t2endexp,910120,0.5,0.5
nh.t2endexp,910095,0.875,0.875
nh.t2endexp,910105,1,1
nh.t2endexp,910107,0.875,0.875
nh.t2endexp,910096,1,1
nh.t2endexp,910035,1,1
nh.t2endexp,910028,0.5,0.5
nh.t2endexp,910023,1,1
nh.t2endexp,910044,0.5,0.5
nh.t2endexp,910090,0.875,0.875
nh.t2endexp,910100,1,1
nh.t2endexp,910057,0,0
nh.t2endexp,910111,0.5,0.5
nh.t2endexp,910054,0.375,0.375
nh.t2endexp,910056,0.375,0.375
nh.t2endexp,910050,0.5,0.5
nh.t2endexp,910055,0.125,0.125
nh.t2endexp,910131,0.875,0.875
nh.t2endexp,910104,1,1
nh.t2endexp,910053,0,0
nh.t2endexp,910048,0.875,0.875
nh.t2endexp,910004,0.5,0.5
nh.t2endexp,910010,1,1
nh.t2endexp,910008,1,1
nh.t2endexp,910042,0.5,0.5
nh.t2endexp,910126,0.75,0.75
nh.t2endexp,910077,0.5,0.5
nh.t2endexp,910078,0.875,0.875
nh.t2endexp,910034,1,1
nh.t2endexp,910067,0.875,0.875
nh.t2endexp,910114,1,1
nh.t2endexp,910130,0.875,0.875
nh.t2endexp,910031,0.5,0.5
nh.t2endexp,910108,0.875,0.875
nh.t2endexp,910132,0.875,0.875
nh.t2endexp,910079,0.75,0.75
nh.t2endexp,910003,0.875,0.875
nh.t2endexp,910040,0.25,0.25
nh.t2endexp,910062,0.375,0.375
nh.t2endexp,910045,0.5,0.5
nh.t2endexp,910119,0.375,0.375
nh.t2endexp,910046,0.25,0.25
nh.t2endexp,910115,0.675000011920929,0.625
nh.t2endexp,910080,0.675000011920929,0.625
nh.t2endexp,910081,0.5,0.5
nh.t2endexp,910112,0,0
nh.t2endexp,910110,1,1
nh.t2endexp,910011,1,1
nh.t2endexp,910088,0.75,0.75
nh.t2endexp,910024,0.25,0.25
nh.t2endexp,910089,0.375,0.375
nh.t2endexp,910128,0.875,0.875
nh.t2endexp,910064,1,1
nh.t2endexp,910124,0.375,0.375
nh.t2endexp,910109,1,1
nh.t2endexp,910051,0.125,0.125
nh.t2endexp,910076,0.25,0.25
nh.t2endexp,910021,0.25,0.25
nh.t2endexp,910106,1,1
nh.t2endexp,910092,1,1
nh.t2endexp,910061,0.5,0.5
