"estimate","null","se","df","p","conf_low","conf_high","se_two_way","df_two_way","p_two_way","two_way_variance_nonnegative","n_pairs","n_groups","n_issues","n_polls","mean_absolute","proportion_abs_gt_10","proportion_abs_gt_20","leave_one_poll_min","leave_one_poll_max","outcome","dimension"
0.00182554892345189,0,0.00352237534361237,13.9207751201194,0.612407297284314,-0.00573323044957759,0.00938432829648136,0.0032196040616289,128,0.571700136378716,TRUE,2436,396,129,21,0.0889529840364632,0.316091954022989,0.100574712643678,-0.000355202963175277,0.00308785492159709,"ext_grp","gender"
0.470853858784893,0.5,0.014708242658708,13.9207751201194,0.0676249922906651,0.439290964323982,0.502416753245805,0.0123370539150242,128,0.019659644369484,TRUE,2436,396,129,21,NA,NA,NA,0.464962121212121,0.479742173112339,"freqgrp_grp","gender"
0.0395772609324749,0,0.00664147538676457,13.9207751201194,3.57577052278372e-05,0.0253251037195883,0.0538294181453615,0.00447233483202582,128,6.08890186910789e-15,TRUE,2436,396,129,21,0.113297701604052,0.410919540229885,0.149835796387521,0.0343504893412634,0.0415907227389404,"ext_dis","gender"
0.567733990147783,0.5,0.0133177005649902,13.9207751201194,0.00016885504902926,0.539155105018638,0.596312875276928,0.0121065910594667,128,1.2805185783828e-07,TRUE,2436,396,129,21,NA,NA,NA,0.55974025974026,0.574125230202578,"freqdis_grp","gender"
-0.0366854518209379,0,0.00553961835844958,13.9207751201194,1.17957855595808e-05,-0.0485730983371554,-0.0247978053047203,0.00442432771858846,128,1.31893572514592e-13,TRUE,2436,396,129,21,0.109018226904486,0.403940886699507,0.155993431855501,-0.0389532755774045,-0.0342853040333248,"ext_adv","gender"
0.356732348111659,0.5,0.0164616440042174,13.9207751201194,5.28913941435245e-07,0.321406772894106,0.392057923329212,0.0124199383686489,128,1.51498337457652e-21,TRUE,2436,396,129,21,NA,NA,NA,0.351611552951025,0.36878453038674,"freqadv_grp","gender"
0.00150626359145497,0,0.00418917325863058,7.39939491719995,0.729219302455428,-0.00829219077858363,0.0113047179614936,0.00406533966634718,65,0.712204556733406,TRUE,1144,197,66,11,0.095662676714219,0.346153846153846,0.120629370629371,-0.00044248284534218,0.00449976925007111,"ext_grp","income"
0.505244755244755,0.5,0.0175306357671474,7.39939491719995,0.773034706985812,0.464240689755635,0.546248820733876,0.0161377796345271,65,0.746225907643511,TRUE,1144,197,66,11,NA,NA,NA,0.496204933586338,0.514008620689655,"freqgrp_grp","income"
0.0489862534780055,0,0.0146400670489663,7.39939491719995,0.011354446435816,0.0147432131219961,0.0832292938340149,0.00739520065337791,65,7.96398988235888e-09,TRUE,1144,197,66,11,0.124768242638903,0.451048951048951,0.193181818181818,0.0350302961973082,0.0548503364056738,"ext_dis","income"
0.567307692307692,0.5,0.023146675281288,7.39939491719995,0.0213820403664832,0.513167739730047,0.621447644885338,0.015246669456346,65,3.9047778680697e-05,TRUE,1144,197,66,11,NA,NA,NA,0.548625792811839,0.577290076335878,"freqdis_grp","income"
-0.0325556519693918,0,0.00800787706349784,7.39939491719995,0.00424938394922973,-0.0512860345922418,-0.0138252693465418,0.00638872618744869,65,3.21373975776441e-06,TRUE,1144,197,66,11,0.118697713333708,0.407342657342657,0.173076923076923,-0.0357460423615079,-0.025696352048941,"ext_adv","income"
0.412587412587412,0.5,0.0169508747167866,7.39939491719995,0.0011065561257483,0.372939405166738,0.452235420008086,0.018793423683066,65,1.66800143524852e-05,TRUE,1144,197,66,11,NA,NA,NA,0.404174573055028,0.420801526717557,"freqadv_grp","income"
0.0128518499469045,0,0.00593830842749608,7.50415982653461,0.0645976792508515,-0.00100102047783194,0.0267047203716408,0.00594461325537314,65,0.0343104566475965,TRUE,983,173,66,11,0.0945687055714464,0.34587995930824,0.120040691759919,0.00920991927661816,0.0159097411494637,"ext_grp","triple"
0.51881993896236,0.5,0.0152819092069643,7.50415982653461,0.255323694409537,0.483170340988224,0.554469536936497,0.0206120695005035,65,0.364588275926651,TRUE,983,173,66,11,NA,NA,NA,0.510514018691589,0.527061855670103,"freqgrp_grp","triple"
0.0294512513677183,0,0.00723268923832714,7.50415982653461,0.00408995241244804,0.0125788527605651,0.0463236499748716,0.00649941683899154,65,2.57255513315602e-05,TRUE,983,173,66,11,0.10202144280614,0.391658189216684,0.136317395727365,0.0254114479771132,0.0327711225037513,"ext_dis","triple"
0.552390640895219,0.5,0.0149329520997189,7.50415982653461,0.00883596894336692,0.5175550891515,0.587226192638938,0.0183551744939472,65,0.00578175062973815,TRUE,983,173,66,11,NA,NA,NA,0.544776119402985,0.559726962457338,"freqdis_grp","triple"
-0.0641275881127158,0,0.0153468508742958,7.50198069605272,0.00355641152734178,-0.0999306286634876,-0.028324547561944,0.0106834726214076,65,9.5880611346043e-08,TRUE,973,173,66,11,0.144399131554018,0.457348406988695,0.247687564234327,-0.0711459838403448,-0.0519537959009942,"ext_adv","triple"
0.303186022610484,0.5,0.0216141429434521,7.50198069605272,2.5678059271176e-05,0.252761864415873,0.353610180805094,0.0174695801431012,65,6.28432522860358e-17,TRUE,973,173,66,11,NA,NA,NA,0.290588235294117,0.318823529411765,"freqadv_grp","triple"
