legacy_field,caseid,historical_value,approved_value
eu.free_trade_index_t3,517,0.5,0.65
eu.mil_att_11_12_t3,649,0.4375,0.4375
eu.free_trade_index_t3,649,0.95,0.9
eu.mil_att_11_12_t3,489,0.625,0.6125
eu.free_trade_index_t3,489,0.55,0.5
eu.mil_att_11_12_t3,674,0.5625,0.6375
eu.free_trade_index_t3,674,0.6,0.5
eu.mil_att_11_12_t3,358,0.44999999999999996,0.4375
eu.free_trade_index_t3,358,0.6625,0.5625
eu.mil_att_11_12_t3,525,0.425,0.5625
eu.free_trade_index_t3,525,0.7875,0.7375
eu.mil_att_11_12_t3,515,0.5625,0.4875
eu.free_trade_index_t3,515,0.5125,0.6125
eu.mil_att_11_12_t3,370,0.5125,0.4125
eu.free_trade_index_t3,370,0.5,0.5
eu.mil_att_11_12_t3,397,0.625,0.625
eu.free_trade_index_t3,397,,0.6
eu.mil_att_11_12_t3,590,0.25,
eu.free_trade_index_t3,590,0.2,
eu.mil_att_11_12_t3,654,0.7125,0.725
eu.free_trade_index_t3,654,0.8875,0.8375
eu.mil_att_11_12_t3,704,0.225,0.25
eu.free_trade_index_t3,704,0.4,0.5
eu.mil_att_11_12_t3,734,0.35,0.4125
eu.free_trade_index_t3,734,0.875,0.725
eu.mil_att_11_12_t3,728,0.2875,0.225
eu.free_trade_index_t3,728,0.5875,0.4375
eu.mil_att_11_12_t3,742,0.4,0.2875
eu.free_trade_index_t3,742,0.4875,0.4875
eu.mil_att_11_12_t3,670,0.4375,0.375
eu.free_trade_index_t3,670,0.6125,0.6125
eu.mil_att_11_12_t3,421,0.15,0.0625
eu.free_trade_index_t3,421,0.9,0.95
eu.mil_att_11_12_t3,641,0.1875,0.45
eu.free_trade_index_t3,641,0.475,0.225
eu.mil_att_11_12_t3,522,0.3375,0.3625
eu.free_trade_index_t3,522,0.875,0.875
eu.mil_att_11_12_t3,618,0.6125,0.8375
eu.free_trade_index_t3,618,0.7875,0.8875
eu.mil_att_11_12_t3,507,0.575,0.5875
eu.free_trade_index_t3,507,0.7125,0.7125
eu.mil_att_11_12_t3,477,0.25,0
eu.free_trade_index_t3,477,1,1
eu.mil_att_11_12_t3,624,0.5,0.4375
eu.free_trade_index_t3,624,0.6875,0.6875
eu.mil_att_11_12_t3,2381,0.2625,0.325
eu.free_trade_index_t3,2381,0.6625,0.6625
eu.mil_att_11_12_t3,396,0.09999999999999999,0.3
eu.free_trade_index_t3,396,0.5875,0.5875
eu.mil_att_11_12_t3,405,0.6625,0.625
eu.free_trade_index_t3,405,0.5625,0.5125
eu.mil_att_11_12_t3,552,0.3875,0.30000000000000004
eu.free_trade_index_t3,552,0.725,0.725
eu.mil_att_11_12_t3,409,0.575,0.4625
eu.free_trade_index_t3,409,0.8,0.8
eu.mil_att_11_12_t3,368,0.6625,0.625
eu.free_trade_index_t3,368,0.75,0.75
eu.mil_att_11_12_t3,328,0.2625,0.2875
eu.free_trade_index_t3,328,0.55,0.5
eu.mil_att_11_12_t3,357,0.35,0.375
eu.free_trade_index_t3,357,0.45,0.5
eu.mil_att_11_12_t3,707,0.25,0.425
eu.free_trade_index_t3,707,0.2375,0.375
eu.mil_att_11_12_t3,700,0.4125,0.3125
eu.free_trade_index_t3,700,0.55,0.55
eu.mil_att_11_12_t3,699,0.475,0.36250000000000004
eu.free_trade_index_t3,699,0.4,0.5
eu.mil_att_11_12_t3,732,0.42500000000000004,0.4625
eu.free_trade_index_t3,732,0.1875,0.1875
eu.mil_att_11_12_t3,3473,0.625,0.675
eu.free_trade_index_t3,3473,0.875,0.825
