source_column,storage_type,source_class,parquet_type,variable_label,source_format,missing_values,missing_range,public,publication_note
wo3post0,double,numeric,float64,,%8.0g,,,TRUE,Retained
rnum,double,numeric,float64,,%8.0g,,,TRUE,Retained
grpnum,double,numeric,float64,,%8.0g,,,TRUE,Retained
____np,character,character,,non participants name,%6s,,,FALSE,Excluded; see source_field_exclusions
____0np,double,numeric,float64,gender non-participants,%8.0g,,,TRUE,Retained
____1np,double,numeric,float64,age non-participants,%8.0g,,,TRUE,Retained
v5np,double,numeric,float64,marital status non-participants,%8.0g,,,TRUE,Retained
____2np,double,numeric,float64,educatoin non-participants,%8.0g,,,TRUE,Retained
____3np,double,numeric,float64,occupation non-participants,%8.0g,,,TRUE,Retained
d2006np,double,numeric,float64,,%8.0g,,,TRUE,Retained
d2007np,double,numeric,float64,,%8.0g,,,TRUE,Retained
d2008np,double,numeric,float64,,%8.0g,,,TRUE,Retained
d2009np,double,numeric,float64,,%8.0g,,,TRUE,Retained
d2010np,double,numeric,float64,,%8.0g,,,TRUE,Retained
d2011np,double,numeric,float64,,%8.0g,,,TRUE,Retained
d2012np,double,numeric,float64,,%8.0g,,,TRUE,Retained
d2013np,double,numeric,float64,,%8.0g,,,TRUE,Retained
d2014np,double,numeric,float64,,%8.0g,,,TRUE,Retained
d2015np,double,numeric,float64,,%8.0g,,,TRUE,Retained
d2016np,double,numeric,float64,,%8.0g,,,TRUE,Retained
d2017np,double,numeric,float64,,%8.0g,,,TRUE,Retained
d2018np,double,numeric,float64,,%8.0g,,,TRUE,Retained
d2019np,double,numeric,float64,,%8.0g,,,TRUE,Retained
d2020np,double,numeric,float64,,%8.0g,,,TRUE,Retained
d2021np,double,numeric,float64,,%8.0g,,,TRUE,Retained
d2022np,double,numeric,float64,,%8.0g,,,TRUE,Retained
d2023np,double,numeric,float64,,%8.0g,,,TRUE,Retained
d2024np,double,numeric,float64,,%8.0g,,,TRUE,Retained
d2025np,double,numeric,float64,,%8.0g,,,TRUE,Retained
d2026np,double,numeric,float64,,%8.0g,,,TRUE,Retained
d2027np,double,numeric,float64,,%8.0g,,,TRUE,Retained
d2028np,double,numeric,float64,,%8.0g,,,TRUE,Retained
d2029np,double,numeric,float64,,%8.0g,,,TRUE,Retained
d2030np,double,numeric,float64,,%8.0g,,,TRUE,Retained
d2031np,double,numeric,float64,,%8.0g,,,TRUE,Retained
d2032np,double,numeric,float64,,%8.0g,,,TRUE,Retained
d2033np,double,numeric,float64,,%8.0g,,,TRUE,Retained
d2034np,double,numeric,float64,,%8.0g,,,TRUE,Retained
d2035np,double,numeric,float64,,%8.0g,,,TRUE,Retained
d20361np,double,numeric,float64,,%8.0g,,,TRUE,Retained
d20362np,double,numeric,float64,,%8.0g,,,TRUE,Retained
d20363np,double,numeric,float64,,%8.0g,,,TRUE,Retained
d20364np,double,numeric,float64,,%8.0g,,,TRUE,Retained
d20365np,double,numeric,float64,,%8.0g,,,TRUE,Retained
d2037np,double,numeric,float64,,%8.0g,,,TRUE,Retained
d20381np,double,numeric,float64,,%8.0g,,,TRUE,Retained
d20382np,double,numeric,float64,,%8.0g,,,TRUE,Retained
d20383np,double,numeric,float64,,%8.0g,,,TRUE,Retained
d20384np,double,numeric,float64,,%8.0g,,,TRUE,Retained
d2039np,double,numeric,float64,,%8.0g,,,TRUE,Retained
d2040np,double,numeric,float64,,%8.0g,,,TRUE,Retained
d2041np,double,numeric,float64,,%8.0g,,,TRUE,Retained
d2042np,double,numeric,float64,,%8.0g,,,TRUE,Retained
d3043np,double,numeric,float64,,%8.0g,,,TRUE,Retained
d3044np,double,numeric,float64,,%8.0g,,,TRUE,Retained
d3045np,double,numeric,float64,,%8.0g,,,TRUE,Retained
d3046np,double,numeric,float64,,%8.0g,,,TRUE,Retained
___merge,double,numeric,float64,,%8.0g,,,TRUE,Retained
t2know,double,numeric,float64,Mean of Four Knowledge Questions (rmean),%9.0g,,,TRUE,Retained
t1q6mean,double,numeric,float64,t1 group mean for wenchang main avenue,%9.0g,,,TRUE,Retained
t1rdistw,double,numeric,float64,t1 r's distance from wenchang main avenue,%9.0g,,,TRUE,Retained
t1q6sum,double,numeric,float64,t1 sum of wenchang main avenue,%9.0g,,,TRUE,Retained
t1q6n,double,numeric,float64,t1 n of wenchang main avenue,%8.0g,,,TRUE,Retained
t1q6sgm,double,numeric,float64,t1 for wenchang main avenue -- r's distance from small group mean (w/o r's pos),%9.0g,,,TRUE,Retained
sewagein,double,numeric,float64,"t2-t1 mean of q33, q34, and q35 sewage index dv",%9.0g,,,TRUE,Retained
t1q33mea,double,numeric,float64,t1 group mean for q33,%9.0g,,,TRUE,Retained
t1q34mea,double,numeric,float64,t1 group mean for q34,%9.0g,,,TRUE,Retained
t1q35mea,double,numeric,float64,t1 group mean for q35,%9.0g,,,TRUE,Retained
t1rdistq,double,numeric,float64,t1 r's distance from q33 group mean,%9.0g,,,TRUE,Retained
t1rdis_a,double,numeric,float64,t1 r's distance from q34 group mean,%9.0g,,,TRUE,Retained
t1rdis_b,double,numeric,float64,t1 r's distance from q35 group mean,%9.0g,,,TRUE,Retained
t1q33sum,double,numeric,float64,t1 sum for q33,%8.0g,,,TRUE,Retained
t1q34sum,double,numeric,float64,t1 sum for q34,%8.0g,,,TRUE,Retained
t1q35sum,double,numeric,float64,t1 sum for q35,%8.0g,,,TRUE,Retained
t1q33n,double,numeric,float64,t1 n for q33,%8.0g,,,TRUE,Retained
t1q34n,double,numeric,float64,t1 n for q34,%8.0g,,,TRUE,Retained
t1q35n,double,numeric,float64,t1 n for q35,%8.0g,,,TRUE,Retained
t1q33rdf,double,numeric,float64,t1 q33 -- (sum-r's pos)/(n-1) = small grp mean w/o r's pos,%9.0g,,,TRUE,Retained
t1q34rdf,double,numeric,float64,t1 q34 -- (sum-r's pos)/(n-1) = small grp mean w/o r's pos,%9.0g,,,TRUE,Retained
t1q35rdf,double,numeric,float64,t1 q35 -- (sum-r's pos)/(n-1) = small grp mean w/o r's pos,%9.0g,,,TRUE,Retained
t2t1dfq3,double,numeric,float64,t2-t1 for q33,%8.0g,,,TRUE,Retained
t2t1df_a,double,numeric,float64,t2-t1 for q34,%8.0g,,,TRUE,Retained
t2t1df_b,double,numeric,float64,t2-t1 for q35,%8.0g,,,TRUE,Retained
t2t1dfq6,double,numeric,float64,t2-t1 for q6,%9.0g,,,TRUE,Retained
environi,double,numeric,float64,"t2-t1 mean of environmental projects (30, 27, 21, 20)",%9.0g,,,TRUE,Retained
t2t1dfq2,double,numeric,float64,t2-t1 for q20,%8.0g,,,TRUE,Retained
t2t1df_c,double,numeric,float64,t2-t1 for q21,%8.0g,,,TRUE,Retained
t2t1df_d,double,numeric,float64,t2-t1 for q27,%8.0g,,,TRUE,Retained
t2t1df_e,double,numeric,float64,t2-t1 for q30,%8.0g,,,TRUE,Retained
t1q20mea,double,numeric,float64,t1 group mean for q20,%9.0g,,,TRUE,Retained
t1q21mea,double,numeric,float64,t1 group mean for q21,%9.0g,,,TRUE,Retained
t1q27mea,double,numeric,float64,t1 group mean for q27,%9.0g,,,TRUE,Retained
t1q30mea,double,numeric,float64,t1 group mean for q30,%9.0g,,,TRUE,Retained
t1rdis_c,double,numeric,float64,t1 r's distance from q20 group mean,%9.0g,,,TRUE,Retained
t1rdis_d,double,numeric,float64,t1 r's distance from q21 group mean,%9.0g,,,TRUE,Retained
t1rdis_e,double,numeric,float64,t1 r's distance from q27 group mean,%9.0g,,,TRUE,Retained
t1rdis_f,double,numeric,float64,t1 r's distance from q30 group mean,%9.0g,,,TRUE,Retained
t1q20sum,double,numeric,float64,t1 sum for q20,%8.0g,,,TRUE,Retained
t1q21sum,double,numeric,float64,t1 sum for q21,%8.0g,,,TRUE,Retained
t1q27sum,double,numeric,float64,t1 sum for q27,%9.0g,,,TRUE,Retained
t1q30sum,double,numeric,float64,t1 sum for q30,%8.0g,,,TRUE,Retained
t1q20n,double,numeric,float64,t1 n for q20,%8.0g,,,TRUE,Retained
t1q21n,double,numeric,float64,t1 n for q21,%8.0g,,,TRUE,Retained
t1q27n,double,numeric,float64,t1 n for q27,%8.0g,,,TRUE,Retained
t1q30n,double,numeric,float64,t1 n for q30,%8.0g,,,TRUE,Retained
t1q20rdf,double,numeric,float64,t1 q20 -- (sum-r's pos)/(n-1) = small grp mean w/o r's pos,%9.0g,,,TRUE,Retained
t1q21rdf,double,numeric,float64,t1 q21 -- (sum-r's pos)/(n-1) = small grp mean w/o r's pos,%9.0g,,,TRUE,Retained
t1q27rdf,double,numeric,float64,t1 q27 -- (sum-r's pos)/(n-1) = small grp mean w/o r's pos,%9.0g,,,TRUE,Retained
t1q30rdf,double,numeric,float64,t1 q30 -- (sum-r's pos)/(n-1) = small grp mean w/o r's pos,%9.0g,,,TRUE,Retained
parkinde,double,numeric,float64,"t2-t1 mean of parks (28,29, 24, 25, 26)",%9.0g,,,TRUE,Retained
t2t1df_f,double,numeric,float64,t2-t1 for q24,%8.0g,,,TRUE,Retained
t2t1df_g,double,numeric,float64,t2-t1 for q25,%8.0g,,,TRUE,Retained
t2t1df_h,double,numeric,float64,t2-t1 for q26,%8.0g,,,TRUE,Retained
t2t1df_i,double,numeric,float64,t2-t1 for q28,%8.0g,,,TRUE,Retained
t2t1df_j,double,numeric,float64,t2-t1 for q29,%8.0g,,,TRUE,Retained
t1q24mea,double,numeric,float64,t1 group mean for q24,%9.0g,,,TRUE,Retained
t1q25mea,double,numeric,float64,t1 group mean for q25,%9.0g,,,TRUE,Retained
t1q26mea,double,numeric,float64,t1 group mean for q26,%9.0g,,,TRUE,Retained
t1q28mea,double,numeric,float64,t1 group mean for q28,%9.0g,,,TRUE,Retained
t1q29mea,double,numeric,float64,t1 group mean for q29,%9.0g,,,TRUE,Retained
t1rdis_g,double,numeric,float64,t1 r's distance from q24 group mean,%9.0g,,,TRUE,Retained
t1rdis_h,double,numeric,float64,t1 r's distance from q25 group mean,%9.0g,,,TRUE,Retained
